l2_error,step,_runtime,loss,loss_boundary,time,_timestamp,loss_interior,_step
1.6318501956099956,0,9.412232637405396,2.842923544649264,2.8428219188771324,6.7702858448028564,1753644344.9401116,0.00010162577213131824,0
1.6041807018436103,1,15.893430471420288,2.3590225056626988,2.3365296077306765,13.45384407043457,1753644351.4213095,0.022492897932022148,1
1.560313025412201,2,22.37450671195984,2.1159825869547713,2.0923707984343025,19.934759855270386,1753644357.9023857,0.02361178852046883,2
1.4343751627522419,3,28.855014085769653,2.0157788963883494,1.9892886639957106,26.415467739105225,1753644364.382893,0.02649023239263901,3
1.30421817148696,4,35.35413312911987,1.7032492468490992,1.6815957835399447,32.9142541885376,1753644370.8820121,0.021653463309154516,4
1.1782842108150338,5,41.8723258972168,1.3662832967180936,1.3486907252049922,39.4324152469635,1753644377.400205,0.0175925715131013,5
1.0616216874013706,6,48.391133546829224,1.0981083024945348,1.0832393950851313,45.95127058029175,1753644383.9190125,0.01486890740940353,6
0.9575550034183359,7,54.91253399848938,0.8988923621922698,0.8866566136969495,52.47113561630249,1753644390.440413,0.012235748495320303,7
0.8635115335786716,8,61.42983436584473,0.7311561798489346,0.7209457630771837,58.98991847038269,1753644396.9577134,0.0102104167717508,8
0.7781132177060851,9,67.94705176353455,0.6284111102747454,0.6199446262386624,65.50697088241577,1753644403.4749308,0.008466484036082961,9
0.7008801078188929,10,74.4645426273346,0.4894100591497724,0.48228445815977106,72.02467060089111,1753644409.9924216,0.007125600990001396,10
0.6315523777785818,11,80.98530340194702,0.402298626794561,0.39673919992351214,78.54503893852234,1753644416.5131824,0.005559426871048905,11
0.5690026353992074,12,87.50733852386475,0.3320582710484645,0.3273795598643914,85.06735301017761,1753644423.0352175,0.004678711184073159,12
0.5124910695830457,13,94.02707290649414,0.2703715352089357,0.26651395474371,91.58673429489136,1753644429.554952,0.0038575804652256976,13
0.4615882872347022,14,100.5451774597168,0.2169201346684648,0.21380789330856148,98.10515546798706,1753644436.0730565,0.0031122413599033267,14
0.4158400295026384,15,107.06376719474792,0.1738157956170979,0.17121065917346542,104.62360382080078,1753644442.5916462,0.0026051364436324794,15
0.3745764998237902,16,113.58173680305481,0.1432057719852807,0.14107140674195026,111.14155340194702,1753644449.1096158,0.0021343652433304288,16
0.33740555448347137,17,120.09934139251709,0.11938463005766208,0.11766185202031665,117.65928339958191,1753644455.6272204,0.001722778037345421,17
0.304029205512762,18,126.61668562889099,0.09365170064737122,0.09224570545230575,124.17658066749573,1753644462.1445646,0.001405995195065475,18
0.2740064476434623,19,133.13658571243286,0.07407233746233363,0.07290948888052079,130.696471452713,1753644468.6644647,0.0011628485818128362,19
0.24687209331533053,20,139.65821027755737,0.05867977370459552,0.057728703794654855,137.21795988082886,1753644475.1860893,0.0009510699099406667,20
0.22243795252010806,21,146.17762804031372,0.047869307121825515,0.04709817259475445,143.73761248588562,1753644481.705507,0.0007711345270710698,21
0.20048077896057723,22,152.69533371925354,0.04015105406374465,0.03952128271200678,150.25523400306702,1753644488.2232127,0.0006297713517378711,22
0.1805741960456094,23,159.2149200439453,0.03217540847337268,0.03166065011770566,156.77461290359497,1753644494.742799,0.0005147583556670143,23
0.16272668369302043,24,165.73571705818176,0.027448099813081873,0.027033353642104928,163.2954306602478,1753644501.263596,0.00041474617097694345,24
0.14665509565676738,25,172.25702929496765,0.022280089353496135,0.021942430464708333,169.8167896270752,1753644507.7849083,0.0003376588887877997,25
0.13211150063738744,26,178.7783489227295,0.01729718708284538,0.0170218147762086,176.3382122516632,1753644514.306228,0.000275372306636778,26
0.11906624570003628,27,185.29911279678345,0.014424635753763392,0.014197902651922696,182.85881185531616,1753644520.8269918,0.0002267331018406955,27
0.10726277952900319,28,191.81720209121704,0.011814364867348739,0.011628530766804186,189.37698554992676,1753644527.345081,0.00018583410054455284,28
0.09661736521739138,29,198.33577752113342,0.009532154246330304,0.009379710300571206,195.89548540115356,1753644533.8636565,0.0001524439457590986,29
