_step,l2_error,loss_boundary,loss_interior,step,time,_runtime,_timestamp,loss
48,0.0006672184332243261,5.180759520959545e-07,1.1142902662614875e-07,81,532.5449588298798,532.9776391983032,1753919271.3921423,6.295049787221032e-07
49,0.0003238140822325275,1.2848668801833076e-07,3.419858243477657e-08,89,584.3696210384369,584.8022654056549,1753919323.2167685,1.6268527045310734e-07
50,0.00015996623672263042,3.064692071501649e-08,9.28504976923189e-09,98,642.663994550705,643.0967438220978,1753919381.511247,3.993197048424838e-08
51,8.08279972006992e-05,8.121645483709226e-09,3.91585096650649e-09,107,700.9635210037231,701.3961262702942,1753919439.8106294,1.2037496450215716e-08
52,3.480921324462648e-05,2.045461124802057e-09,1.6222078738322944e-09,118,772.2110459804535,772.643780708313,1753919511.0582838,3.6676689986343514e-09
53,2.5486385596157814e-05,8.357687124213032e-10,1.1298905421931278e-09,130,849.9353141784668,850.3679211139679,1753919588.7824242,1.965659254614431e-09
54,2.580117650278101e-05,8.235578653590145e-10,7.35262936396913e-10,143,934.1355817317963,934.5681874752045,1753919672.9826906,1.5588208017559275e-09
55,2.3539301850398907e-05,5.73856433834483e-10,1.224445695532044e-09,157,1024.8117897510529,1025.244401216507,1753919763.6589043,1.798302129366527e-09
56,2.0823025916023735e-05,4.084490363744414e-10,6.136108507729814e-10,172,1121.9597561359406,1122.3923797607422,1753919860.8068829,1.0220598871474228e-09
57,1.912387269319696e-05,7.177967006924193e-10,7.526490198964577e-10,190,1238.5311436653137,1238.9637038707733,1753919977.378207,1.4704457205888769e-09
58,1.747935405522714e-05,2.9022557975723924e-10,5.796808903089819e-10,208,1355.1063439846039,1355.538913488388,1753920093.9534166,8.699064700662211e-10
59,1.6567658445391905e-05,3.516495898579698e-10,5.713537264287067e-10,229,1491.104659795761,1491.5374338626862,1753920229.951937,9.230033162866765e-10
60,1.598746573051779e-05,2.864466434681594e-10,4.1377180796504166e-10,252,1640.0551879405975,1640.4877207279205,1753920378.9022238,7.002184514332011e-10
61,1.4805114182904722e-05,2.4418566224293674e-10,5.113963207035434e-10,277,1801.956874370575,1802.3894538879395,1753920540.803957,7.555819829464801e-10
62,1.350050855635713e-05,2.0814594374010433e-10,3.9360806228673743e-10,305,1983.2824635505676,1983.7150869369507,1753920722.12959,6.017540060268418e-10
63,1.2953031432400297e-05,1.631226993859171e-10,3.1792288450850283e-10,335,2177.5580701828003,2177.99063539505,1753920916.4051385,4.8104558389442e-10
64,1.2343870730604354e-05,2.873838627620851e-10,2.5530651630936695e-10,369,2397.7322285175323,2398.1648964881897,1753921136.5793996,5.426903790714521e-10
65,1.1521096703803772e-05,1.5442025183792002e-10,2.4899865325269606e-10,406,2637.357063770294,2637.7897527217865,1753921376.2042558,4.034189050906161e-10
66,1.1162562283815174e-05,1.3316464379849692e-10,2.1375519138272232e-10,446,2896.3980016708374,2896.830609560013,1753921635.2451127,3.469198351812192e-10
67,1.0831597400258726e-05,1.7584919277783512e-10,1.894040033923381e-10,462,3000.0413863658905,3000.474064350128,1753921738.8885674,3.6525319617017325e-10
