step,_runtime,loss_interior,_step,l2_error,_timestamp,loss_boundary,time,loss
0,10.657984495162964,5.1535578803075686e-05,0,4.693252795260893,1753632228.0628595,18.177685720171997,7.864920377731323,18.1777372557508
1,18.236286878585815,0.001284715513786293,1,3.9734146867057656,1753632235.641162,17.93885310870746,15.651652574539185,17.940137824221246
2,25.80670928955078,0.16259747112829262,2,3.694464823713503,1753632243.2115843,13.90826656523411,23.220465660095215,14.070864036362401
3,33.395119190216064,0.03546296974038932,3,3.3578686979020866,1753632250.7999942,12.327729764625543,30.81031060218811,12.363192734365933
4,40.97152805328369,0.04785424891527075,4,2.8610745708997887,1753632258.376403,10.396029173250026,38.386741161346436,10.443883422165298
5,48.54964637756348,0.02628197420201753,5,2.556129978578841,1753632265.9545214,8.07343645424623,45.96477007865906,8.099718428448247
6,56.12235999107361,0.04092406374989294,6,2.2096164927297766,1753632273.527235,6.394014620297669,53.53772830963135,6.4349386840475615
7,63.6962628364563,0.2225397425726439,7,1.9919523932238654,1753632281.1011379,4.715482328394299,61.111560583114624,4.938022070966943
8,71.26703357696533,0.1255646825252452,8,1.5373139259218567,1753632288.6719086,3.888370647799577,68.68184614181519,4.013935330324823
9,78.84661293029785,0.18016107797385048,9,1.1794595384732154,1753632296.251488,2.2535794582240722,76.2619891166687,2.4337405361979227
10,86.42063093185425,0.19176293201613756,10,0.8888116501204222,1753632303.825506,1.3172792527539492,83.83583378791809,1.5090421847700868
11,93.99337530136108,3.30555015628159,11,0.6641223434230619,1753632311.3982503,0.7168446371881323,91.40870332717896,4.022394793469722
12,101.57898545265198,0.7460317292510973,12,0.5096421690452447,1753632318.9838605,0.39670391337092886,98.9943585395813,1.142735642622026
13,109.16643142700195,0.35927139579531,13,0.2661294846363349,1753632326.5713065,0.2409024163960442,106.5819091796875,0.6001738121913542
14,116.73707556724548,0.8765360045398841,14,0.15150696123646762,1753632334.1419506,0.06155600050121883,114.15235447883606,0.9380920050411029
15,124.30926513671875,0.5757321314052373,15,0.090581726534572,1753632341.7141402,0.017487252435999315,121.72470045089722,0.5932193838412366
16,131.88413763046265,0.47879647019447186,16,0.07932154163908987,1753632349.2890127,0.006029359255805878,129.29961347579956,0.48482582945027775
17,139.45380687713623,2.1987717278702448,17,0.06306760380032654,1753632356.858682,0.003785849870510303,136.86904382705688,2.202557577740755
18,147.02307748794556,1.9381871208383512,18,0.05375054061303887,1753632364.4279525,0.002370574103114767,144.43845534324646,1.940557694941466
19,154.59088277816772,7.409527395206426,19,0.0821836415585845,1753632371.9957578,0.002123999006746156,152.00650095939636,7.411651394213171
20,162.16024947166443,3.1681922231177544,20,0.08576492355862197,1753632379.5651245,0.006205706433816559,159.57566690444946,3.1743979295515707
21,169.74464678764343,3.2404672207478167,21,0.06639613556441692,1753632387.1495218,0.004978365049011581,167.16001224517822,3.245445585796828
22,177.31036496162415,1.8312569438003474,22,0.05110539085361922,1753632394.71524,0.0031658068552613858,174.72586941719055,1.8344227506556088
23,184.8852994441986,3.2395687129847537,23,0.050061686617975845,1753632402.2901745,0.0018727340801975075,182.3007287979126,3.2414414470649513
24,192.46320629119873,18.727636467921823,24,0.04530233820834103,1753632409.8680813,0.0021297974887443134,189.87859869003296,18.729766265410568
25,200.02874612808228,2.6433423943420835,25,0.05997644774097938,1753632417.4336212,0.003565925989140891,197.4443817138672,2.6469083203312245
26,207.594575881958,2.7681377327491195,26,0.044432285529661726,1753632424.999451,0.005712586375887877,205.00980424880981,2.7738503191250072
27,215.176766872406,172.25467347523502,27,0.08319478195283349,1753632432.581642,0.0023621916930962605,212.5923936367035,172.25703566692812
28,222.74703192710876,1.955051024152554,28,0.06502184852063195,1753632440.151907,0.006974924597684453,220.16238379478455,1.9620259487502385
29,230.31765270233154,10.639942882784801,29,0.15484351341462554,1753632447.7225277,0.0038402934941401848,227.7332820892334,10.64378317627894
30,237.88831973075867,0.2278035748038816,30,0.1572510665969753,1753632455.2931948,0.018216958191856654,235.3037886619568,0.24602053299573826
31,245.46373891830444,0.37824420547669735,31,0.10082288381986594,1753632462.868614,0.012597499131286147,242.8793647289276,0.3908417046079835
32,253.02981686592102,13.05729365145984,32,0.05346338818085346,1753632470.434692,0.006391633097046097,250.44516777992249,13.063685284556886
33,260.60513949394226,0.48186619708561906,33,0.15921558072398576,1753632478.0100145,0.002225692845767471,258.0204620361328,0.4840918899313865
34,268.1713869571686,45.64918505586479,34,0.07365416672634403,1753632485.576262,0.007544369310084556,265.5869789123535,45.65672942517487
35,275.7372417449951,21.036504275074314,35,0.05685777170545593,1753632493.1421168,0.006649853434288524,273.1526608467102,21.043154128508604
36,283.3029487133026,0.8693523263961186,36,0.09600545977121624,1753632500.7078238,0.0020101425124427344,280.71853590011597,0.8713624689085613
37,290.87153935432434,57.83688543123512,37,0.06938467049968786,1753632508.2764144,0.007540193613365925,288.28686571121216,57.84442562484848
38,298.4360866546631,0.02921233298767687,38,0.032539356125340806,1753632515.8409617,0.004208254528485607,295.85172057151794,0.033420587516162475
39,306.0015616416931,0.00643113916241407,39,0.029112526570330494,1753632523.4064367,0.0009316704412026855,303.41689682006836,0.007362809603616755
40,313.56639552116394,0.006606948558930198,40,0.02488943654008683,1753632530.9712706,0.0008170649551298182,310.981974363327,0.007424013514060016
42,328.68065333366394,0.014701474600912317,41,0.027130679235893355,1753632546.0855284,0.0006348479932004598,326.0961525440216,0.015336322594112778
46,358.8799259662628,2.215887239392419,42,0.1344662913041681,1753632576.284801,0.0007182541064327669,356.2952883243561,2.216605493498852
