_runtime,loss_interior,time,_timestamp,loss_boundary,_step,l2_error,loss,step
10.530810594558716,0.00010162577213131824,7.2776641845703125,1753635254.9601107,2.8428219188771324,0,1.6052064699868205,2.842923544649264,0
17.539528846740723,0.048622599749087496,14.785363912582397,1753635261.968829,2.2756087179538946,1,1.5149827371856304,2.3242313177029823,1
24.546354293823242,0.036654278573707955,21.792644500732422,1753635268.9756544,1.7936940857005483,2,1.2843723648865735,1.8303483642742564,2
31.555824279785156,0.07128566870915076,28.80023694038391,1753635275.9851243,1.356506968033915,3,0.34275645837567176,1.4277926367430658,3
38.56215238571167,0.08578798388244506,35.8081419467926,1753635282.9914525,0.08485095642572361,4,0.09665411701298125,0.17063894030816867,4
45.56860971450806,0.018117014462733397,42.81442904472351,1753635289.9979098,0.012091871966579033,5,0.08862426669029937,0.03020888642931243,5
52.57784700393677,0.0038457274797337447,49.82392692565918,1753635297.007147,0.006962677142553637,6,0.018416942991080393,0.010808404622287382,6
59.58577036857605,3.381260407570668e-05,56.83148503303528,1753635304.0150704,0.00022496367742963946,7,0.0034541216892878986,0.00025877628150534616,7
66.59337997436523,2.0110858841061944e-06,63.839324712753296,1753635311.02268,7.946093605617504e-06,8,0.0009848856199799162,9.957179489723699e-06,8
73.60000896453857,7.42794742092242e-07,70.84581685066223,1753635318.029309,6.088546607014876e-07,9,0.000642788412711962,1.3516494027937295e-06,9
80.60760879516602,3.300382917367159e-07,77.85356712341309,1753635325.0369089,3.019597606294378e-07,10,0.0006317988465713309,6.319980523661537e-07,10
87.61650967597961,9.648509335273638e-08,84.86215400695801,1753635332.0458097,2.607537190356887e-07,11,0.0005729447872750633,3.572388123884251e-07,11
94.6262276172638,5.861763267944084e-08,91.87218022346497,1753635339.0555277,2.2182394156293575e-07,12,0.0004679304555101512,2.804415742423766e-07,12
101.63569712638855,4.891743073643694e-08,98.88135051727295,1753635346.0649972,1.6060735309668282e-07,13,0.00039189350362646636,2.0952478383311977e-07,13
108.6425347328186,4.216641953260944e-08,105.88850283622742,1753635353.0718348,1.2035785855693175e-07,14,0.0003309517845386935,1.6252427808954119e-07,14
115.64957022666931,3.0661050378932545e-08,112.89532113075256,1753635360.0788703,8.283726069546064e-08,15,0.00031435618848314956,1.1349831107439319e-07,15
122.65626168251038,2.3406677140847344e-08,119.90218997001648,1753635367.0855618,7.351123078330594e-08,16,0.0002626950084692738,9.691790792415329e-08,16
129.66446137428284,1.978801702189585e-08,126.91013312339783,1753635374.0937614,5.468425856630739e-08,17,0.0002203506072535345,7.447227558820324e-08,17
136.67107319831848,1.0706743366511185e-08,133.9169991016388,1753635381.1003733,3.447397894385879e-08,18,0.00020534230553470595,4.518072231036997e-08,18
143.68141531944275,9.336473898914447e-09,140.92706942558289,1753635388.1107154,2.8038768645395973e-08,19,0.0001963410339775003,3.737524254431042e-08,19
150.68899393081665,6.254012264100693e-09,147.93492770195007,1753635395.118294,2.5216697096080644e-08,20,0.0001132190309352418,3.147070936018134e-08,20
157.69590020179749,1.0916844737122782e-08,154.94190049171448,1753635402.1252003,1.189259582241001e-08,21,0.00012133015373196256,2.280944055953279e-08,21
164.70318222045898,7.245172098755715e-09,161.9489667415619,1753635409.1324823,1.2769873287208994e-08,22,0.00011666393862346074,2.001504538596471e-08,22
171.70856308937073,5.462417774497705e-09,168.9545397758484,1753635416.1378632,1.2768460684675204e-08,23,0.00010959294098879478,1.8230878459172908e-08,23
178.71473908424377,5.1467349555551295e-09,175.9605016708374,1753635423.1440392,9.504775474128596e-09,24,0.0001044329277617699,1.4651510429683724e-08,24
185.7191092967987,4.337076060776766e-09,182.965096950531,1753635430.1484094,8.87675512657021e-09,25,9.767622235729247e-05,1.3213831187346976e-08,25
192.72398948669434,3.983785260059314e-09,189.9696912765503,1753635437.1532896,7.692878017386943e-09,26,9.130303669612086e-05,1.1676663277446258e-08,26
199.72851848602295,3.915390069511518e-09,196.97449469566345,1753635444.1578186,7.513676296760013e-09,27,8.256827393068681e-05,1.142906636627153e-08,27
206.7322654724121,4.405834121068516e-09,203.9780614376068,1753635451.1615655,6.399277008478493e-09,28,7.768004940226768e-05,1.0805111129547008e-08,28
213.7372715473175,4.000291740073083e-09,210.9832262992859,1753635458.1665716,5.6001180437921014e-09,29,7.670821220932957e-05,9.600409783865185e-09,29
220.7420551776886,4.525655020955665e-09,217.98779225349426,1753635465.1713552,5.270773322623011e-09,30,7.768634456896303e-05,9.796428343578677e-09,30
227.7470097541809,3.823694501817965e-09,224.99305057525635,1753635472.1763098,4.6879222994925946e-09,31,7.645580078243897e-05,8.511616801310559e-09,31
234.75141286849976,3.6159804822322902e-09,231.99714589118958,1753635479.180713,5.310008583742008e-09,32,7.564870078349318e-05,8.925989065974298e-09,32
241.75671672821045,4.128925113221278e-09,239.0025999546051,1753635486.1860168,4.829212011827364e-09,33,7.223753299422701e-05,8.958137125048643e-09,33
248.76247596740723,4.022143008238597e-09,246.00836944580078,1753635493.191776,4.3562652683407445e-09,34,6.98989709928669e-05,8.37840827657934e-09,34
255.76639533042908,3.7187036058213885e-09,253.01241612434387,1753635500.1956954,4.40735234255051e-09,35,6.840501527294714e-05,8.126055948371898e-09,35
262.77114701271057,3.2025768639399915e-09,260.0171754360199,1753635507.200447,3.992548446081486e-09,36,6.302073669697682e-05,7.195125310021478e-09,36
269.77722001075745,3.333621421238825e-09,267.0229136943817,1753635514.20652,2.9353515507016806e-09,37,5.9174741000952336e-05,6.268972971940506e-09,37
