loss,time,_step,_runtime,loss_boundary,l2_error,_timestamp,loss_interior,step
1038.2392114941906,0.47339797019958496,0,3.3706612586975098,1028.170260714286,37.29666594669672,1753913876.7691512,10.068950779904597,0
1016.9892605464199,0.86757493019104,1,3.5221188068389893,1007.5073789809721,36.19386470847461,1753913876.9206088,9.481881565447788,1
975.2257511680831,1.0189027786254883,2,3.6734039783477783,966.0925755563132,35.258421794222286,1753913877.071894,9.133175611769822,2
855.4670145476721,1.1706831455230713,3,3.8251705169677734,846.6113366682739,34.49092665690832,1753913877.2236605,8.855677879398216,3
938.3402025938549,1.3208699226379395,4,3.9753239154815674,929.7466934836109,33.79926430611391,1753913877.3738139,8.593509110243962,4
865.5918007162089,1.4715187549591064,5,4.127511978149414,857.2540185958933,33.173526941544786,1753913877.526002,8.337782120315676,5
829.3806579988745,1.6249701976776123,6,4.2795326709747314,821.3143759232507,32.59461142639215,1753913877.6780226,8.066282075623777,6
805.9134470268896,1.77571439743042,7,4.430198669433594,798.0053297712465,32.07036569107691,1753913877.8286886,7.908117255643082,7
920.6411944968557,1.9266266822814941,8,4.581146717071533,912.9821969980168,31.519077905432187,1753913877.9796367,7.65899749883896,8
811.605282414665,2.077862501144409,9,4.732385635375977,804.0270515418299,31.01415890005429,1753913878.1308756,7.57823087283512,9
771.5923781200668,2.2283213138580322,10,4.882837295532227,764.2823912959844,30.533889142450374,1753913878.2813272,7.3099868240823485,10
725.1143767297655,2.3800368309020996,11,5.034459829330444,717.9104633478038,30.076138180634036,1753913878.4329498,7.203913381961651,11
737.0990940316508,2.5322670936584473,12,5.186154127120972,730.1611474778683,29.62012423052525,1753913878.584644,6.937946553782507,12
738.1033600596676,2.6826045513153076,13,5.337199687957764,731.4188826714691,29.182488999539384,1753913878.7356896,6.684477388198513,13
740.7179013731941,2.834332227706909,14,5.4889326095581055,733.9955420397705,28.759784522937405,1753913878.8874226,6.722359333423539,14
708.686024155853,2.9851677417755127,15,5.639758825302124,702.1138034728764,28.342171520731302,1753913879.0382488,6.572220682976668,15
676.8915342397837,3.136634111404419,16,5.791074275970459,670.3420172334896,27.930389213540796,1753913879.1895642,6.54951700629412,16
650.7486012823218,3.2883362770080566,17,5.942750692367554,644.510749872789,27.53966402767906,1753913879.3412406,6.2378514095328015,17
669.2218794968829,3.4389164447784424,18,6.093423843383789,663.0132513235428,27.149746193719594,1753913879.4919138,6.208628173340113,18
602.5920620749948,3.5895943641662598,19,6.244318962097168,596.4357109748588,26.764185099936018,1753913879.642809,6.156351100136042,19
633.077396238565,3.7417585849761963,20,6.39626669883728,627.1717199312463,26.401825601548737,1753913879.7947567,5.905676307318717,20
631.3544398261363,3.892975330352783,21,6.547484397888184,625.3432540661465,26.049229148550047,1753913879.9459743,6.011185759989768,21
630.2519412233379,4.04352593421936,22,6.698190450668335,624.515278693978,25.684525708319548,1753913880.0966804,5.736662529359965,22
543.356124103984,4.195091485977173,23,6.849592208862305,537.663290464849,25.340952704124003,1753913880.2480822,5.692833639135116,23
595.623135028201,4.345271587371826,24,6.9998345375061035,590.0419033172138,24.994968673957374,1753913880.3983245,5.581231710987118,24
599.4169531120693,4.497221946716309,25,7.151765823364258,593.8232580111367,24.658668783637204,1753913880.5502558,5.593695100932729,25
555.3196607155833,4.648719310760498,26,7.303162574768066,550.0347479420838,24.33581768743012,1753913880.7016525,5.284912773499508,26
568.4921294040026,4.799482583999634,27,7.453999042510986,563.3022755083201,24.00863235780903,1753913880.852489,5.1898538956825035,27
566.4339116883133,4.950754642486572,28,7.605309009552002,561.2392538111465,23.687201004338228,1753913881.003799,5.19465787716679,28
513.3924683288049,5.101644039154053,29,7.756165504455566,508.23701933039337,23.384567465949065,1753913881.1546555,5.155448998411431,29
475.51935120422024,5.25213098526001,30,7.90663743019104,470.5385007006813,23.08281225449677,1753913881.3051274,4.980850503538939,30
530.8163352490027,5.40342378616333,31,8.057886362075806,525.8063780462813,22.789439900023012,1753913881.4563763,5.009957202721358,31
492.11249066470833,5.554279804229736,32,8.208955526351929,487.3051858205007,22.49844361930031,1753913881.6074455,4.807304844207661,32
419.56007109053263,5.705451011657715,33,8.360046863555908,414.7825896846337,22.21747640030373,1753913881.7585368,4.777481405898926,33
506.68336141062207,5.856428861618042,34,8.510948181152344,501.87933289252317,21.92768395928218,1753913881.9094381,4.804028518098879,34
497.0397575011163,6.00710391998291,35,8.661613702774048,492.28106024540426,21.64955779665627,1753913882.0601037,4.758697255712021,35
476.0906753087653,6.158749341964722,36,8.813312530517578,471.59145876392813,21.374276457631584,1753913882.2118025,4.499216544837178,36
423.202042263524,6.309770584106445,37,8.964476823806763,418.5280271631236,21.106154421631267,1753913882.3629668,4.674015100400379,37
474.2789330928337,6.4605560302734375,38,9.11506700515747,469.8208386169971,20.83134093029221,1753913882.513557,4.458094475836601,38
447.3381479280224,6.6110217571258545,39,9.265512943267822,442.95695528263064,20.573542621958197,1753913882.664003,4.381192645391773,39
423.88499549506605,6.761708974838257,40,9.416242837905884,419.35199237373337,20.332523488422506,1753913882.8147328,4.53300312133266,40
430.89443055675565,7.06928277015686,41,9.723819494247437,426.7596113238961,19.83443605913286,1753913883.1223094,4.134819232859569,42
344.3002082414764,7.6803507804870605,42,10.335099697113037,340.311045467899,18.897146795716328,1753913883.7335896,3.989162773577383,46
380.48268128875975,8.296573877334595,43,10.951109886169434,376.4531360004706,17.991467125329596,1753913884.3495998,4.029545288289167,50
291.63222222170475,9.064639568328857,44,11.719182968139648,288.00717059144716,16.92699314786454,1753913885.117673,3.6250516302575977,55
