l2_error,_timestamp,loss,step,loss_boundary,loss_interior,_step,time,_runtime
0.29785585609580023,1744654981.7984853,18.53201559537537,0,0.47676007528213205,18.055255520093237,0,4.338134765625,12.060295343399048
1.6961921203571493,1744654984.6316316,9.110298165220604,1,0.039435714803463154,9.07086245041714,1,7.437643527984619,14.893441677093506
0.6886365167550473,1744654987.4639604,1.8769070533102092,2,1.6163466089927812,0.26056044431742803,2,10.269827604293823,17.725770473480225
0.5471228144195228,1744654990.293599,0.34925777856613194,3,0.16279333055913717,0.18646444800699477,3,13.099406480789185,20.55540895462036
0.4959378191366765,1744654993.1234467,0.2439400959168272,4,0.14963802180535674,0.09430207411147044,4,15.92949390411377,23.38525676727295
0.5548475489782508,1744654995.9548242,0.14775975421638532,5,0.10532744042839381,0.04243231378799152,5,18.76088285446167,26.216634273529053
0.5677361909469117,1744654998.7840784,0.15218545217534157,6,0.13088954139214035,0.021295910783201217,6,21.590059518814087,29.045888423919678
0.5756256076297341,1744655001.6134856,0.1582692503122338,7,0.14403485528535698,0.014234395026876826,7,24.41935682296753,31.875295639038086
0.5253473746889046,1744655004.44582,0.20401304844420926,8,0.193552386595756,0.010460661848453267,8,27.250767707824707,34.7076301574707
0.5124698861605568,1744655007.2764442,0.11561321025292677,9,0.10524120204675605,0.010372008206170725,9,30.081979751586914,37.538254261016846
0.5070732538417935,1744655010.1078644,0.15975461003297647,10,0.1534291648487072,0.006325445184269266,10,32.91339349746704,40.36967444419861
0.5108906905554818,1744655012.9383688,0.14491719586752133,11,0.1367228281148984,0.008194367752622946,11,35.7444372177124,43.20017886161804
0.542237873097801,1744655015.7674267,0.13335285176359246,12,0.12257167207776984,0.010781179685822628,12,38.57330250740051,46.029236793518066
0.536129354486279,1744655018.596828,0.14689518292689777,13,0.1308993279711851,0.015995854955712673,13,41.40290951728821,48.858638048172
0.457277931211501,1744655021.4265344,0.17837304275625587,14,0.1638834345883872,0.014489608167868666,14,44.23243069648743,51.68834447860718
0.4531783056051988,1744655024.25493,0.10283063748591778,15,0.0939391162814372,0.00889152120448059,15,47.060985803604126,54.51674008369446
0.47788065815610176,1744655027.0839934,0.10557124350229072,16,0.09844290994845237,0.007128333553838358,16,49.89008164405823,57.3458034992218
0.4201734288799764,1744655029.9151914,0.11591665062236661,17,0.10957675202349954,0.006339898598867076,17,52.721112966537476,60.17700147628784
0.447923727205809,1744655032.744984,0.0972901139874999,18,0.09099845122095805,0.006291662766541846,18,55.55102515220642,63.00679397583008
0.4833231542012551,1744655035.5773823,0.15543700118182974,19,0.14048210246361728,0.01495489871821246,19,58.38315534591675,65.8391923904419
0.43365873247769554,1744655038.4067905,0.10383042818000746,20,0.09051536274009714,0.01331506543991031,20,61.21268892288208,68.66860055923462
