_step,_runtime,_timestamp,time,l2_error,loss_boundary,loss_interior,loss,step
0,11.6915922164917,1753613522.5476482,8.825937509536743,35.13210838318994,1088.7316653859284,10.066191901282938,1098.7978572872114,0
1,20.257384538650513,1753613531.1134405,17.6258282661438,32.1246099908239,984.8693583108574,10.388246194128065,995.2576045049855,1
2,28.818145990371704,1753613539.674202,26.186333179473877,29.233151677337702,835.7696293900457,9.404694133784368,845.17432352383,2
3,37.37905478477478,1753613548.2351108,34.74720597267151,26.567345931100167,726.8582661617995,8.364603547639568,735.2228697094391,3
4,45.94053030014038,1753613556.7965863,43.3086633682251,24.26143337224555,642.2976380830079,7.387091864499346,649.6847299475072,4
5,54.50055909156799,1753613565.356615,51.8685245513916,22.10893857819707,603.9191644020891,6.356432979313683,610.2755973814028,5
6,63.06106472015381,1753613573.9171207,60.42935347557068,20.190267584080182,510.78364757614526,5.623284371138863,516.4069319472841,6
7,71.62154006958008,1753613582.477596,68.9896833896637,18.443777275484745,459.6478366250098,4.875036950773211,464.522873575783,7
8,80.1833746433258,1753613591.0394306,77.55146193504333,16.91339966072776,396.2769512193135,4.385527813025755,400.66247903233926,8
9,88.74208617210388,1753613599.5981421,86.11023926734924,15.478659941282094,346.53039862116196,3.8579650478936376,350.3883636690556,9
10,97.30562162399292,1753613608.1616776,94.67396235466003,14.242366886497054,302.288142731901,3.47537587867827,305.7635186105793,10
11,105.86823225021362,1753613616.7242882,103.23632454872131,13.065326692085018,285.3194611291583,3.107682925050879,288.4271440542092,11
12,114.42696189880371,1753613625.2830179,111.7951831817627,12.041160741188493,248.11048849051735,2.81261004981442,250.92309854033178,12
13,122.98482322692871,1753613633.8408792,120.3528938293457,11.07064530868859,217.87066967038743,2.4892147882367204,220.35988445862415,13
14,131.55893421173096,1753613642.4149902,128.92696022987366,10.200241646624557,202.95252047303464,2.346436844874297,205.29895731790893,14
15,140.14315104484558,1753613650.999207,137.5112624168396,9.423269335916741,176.63865247638566,2.0433301519960163,178.68198262838166,15
16,148.73963904380798,1753613659.595695,146.10751223564148,8.68476162771654,154.53430481373152,1.9466439306270695,156.48094874435859,16
17,157.33243227005005,1753613668.1884882,154.70037627220154,8.01312094413048,144.33403647860297,1.755294495113716,146.08933097371667,17
18,165.92426896095276,1753613676.780325,163.29228734970093,7.393505381829964,129.86249449370015,1.669601276586559,131.5320957702867,18
19,174.51794576644897,1753613685.3740017,171.88599348068237,6.83901385633356,108.68847580418276,1.474769983469088,110.16324578765185,19
20,183.12945127487183,1753613693.9855072,180.49734711647034,6.33506618165216,96.86901837326019,1.4483784928246708,98.31739686608486,20
21,191.70015859603882,1753613702.5562146,189.068293094635,5.859268491405886,89.75456746768857,1.361281526747554,91.11584899443613,21
22,200.25875806808472,1753613711.114814,197.62705516815186,5.431268595476159,80.37578656773618,1.2602437889365494,81.63603035667273,22
23,208.81574320793152,1753613719.6717992,206.18402886390686,5.032079245902481,71.01141854424463,1.2740890053015255,72.28550754954615,23
24,217.37893223762512,1753613728.2349882,214.7469983100891,4.663991279788908,61.98591486908203,1.1820904671343442,63.168005336216375,24
25,225.9420108795166,1753613736.7980669,223.31030178070068,4.339119064762106,59.12337549846624,1.1456649087526902,60.26904040721893,25
26,234.50142002105713,1753613745.357476,231.86952424049377,4.040361789830202,48.097352104987976,1.0985647291048424,49.19591683409282,26
27,243.0669240951538,1753613753.92298,240.4352264404297,3.753215841669482,46.51410110965645,1.1227834640000394,47.63688457365649,27
28,251.62337827682495,1753613762.4794343,248.99166536331177,3.4954433267026537,41.52687037151144,1.0976040286801778,42.62447440019162,28
29,260.181777715683,1753613771.0378337,257.5499777793884,3.2555579868496016,36.23934577621076,1.0413137350407546,37.280659511251514,29
30,268.73900032043457,1753613779.5950563,266.1072745323181,3.0352870376804812,31.898189734879452,1.0249793721824414,32.923169107061895,30
31,277.2975125312805,1753613788.1535685,274.66566157341003,2.8332418039297425,29.418738338430447,1.0273801417280595,30.446118480158507,31
32,285.8557505607605,1753613796.7118065,283.22404408454895,2.6515606144555055,24.794470290870887,0.9523981021874623,25.74686839305835,32
33,294.41347908973694,1753613805.269535,291.7817711830139,2.479207308397975,21.82803161594243,0.9474729867230629,22.775504602665492,33
34,302.97110247612,1753613813.8271585,300.33933210372925,2.317159983777678,20.25996767776054,0.921938517078403,21.18190619483894,34
35,311.52949571609497,1753613822.3855517,308.89772152900696,2.170564256235106,18.46882257621168,0.893570524657464,19.36239310086914,35
36,320.0891819000244,1753613830.9452379,317.45745062828064,2.035686114369499,16.33374104402916,0.8636625738550644,17.197403617884223,36
37,328.647159576416,1753613839.5032156,326.01514959335327,1.9067058332856024,14.033329655574041,0.8692271322083379,14.902556787782379,37
38,337.20550179481506,1753613848.0615578,334.57382702827454,1.7872944825952286,12.62441918283413,0.8736474631251016,13.49806664595923,38
39,345.7633810043335,1753613856.619437,343.13165521621704,1.6795436659614464,10.932251577092426,0.871433922480592,11.803685499573017,39
40,354.3229830265045,1753613865.179039,351.6911156177521,1.5797991847932986,10.191612559408217,0.7592400648945258,10.950852624302742,40
41,371.4340271949768,1753613882.2900832,368.80211877822876,1.4077053032544684,8.017033843730749,0.7518591105389232,8.768892954269672,42
42,405.60365438461304,1753613916.4597104,402.97183752059937,1.1282468246913806,5.292621875631025,0.7655921539941383,6.058214029625163,46
43,439.76968717575073,1753613950.6257432,437.13771772384644,0.9268182170685568,3.2164853539231455,0.6292970874055284,3.845782441328674,50
44,482.4773714542389,1753613993.3334274,479.8453495502472,0.7268501810465565,2.025740179929516,0.6427695579210986,2.6685097378506146,55
45,533.7183871269226,1753614044.574443,531.0863063335419,0.5599547888160035,0.9875810026628599,0.4354599360247502,1.4230409386876102,61
46,584.9568738937378,1753614095.8129299,582.3248672485352,0.43190060503303085,0.49380815371271053,0.4429243313364682,0.9367324850491787,67
47,636.1991698741913,1753614147.0552258,633.5672194957733,0.3353924280950183,0.2482460955392045,0.35568284986442356,0.6039289454036281,73
48,704.5087616443634,1753614215.3648176,701.8767464160919,0.24069155435113437,0.1414004541319508,0.25126437858890743,0.3926648327208582,81
49,772.8185932636261,1753614283.6746492,770.1867432594299,0.18091704189073823,0.0995882334226983,0.27698413545965594,0.37657236888235424,89
50,849.6668486595154,1753614360.5229046,847.034631729126,0.1439532625707441,0.11567000686126518,0.1786903848276911,0.2943603916889563,98
51,926.5110666751862,1753614437.3671227,923.8791589736938,0.1247408895452554,0.026929898987965717,0.20878835889326466,0.23571825788123038,107
52,1020.4262075424194,1753614531.2822635,1017.7941362857819,0.1154697511859286,0.06711224077138826,0.10316910471174519,0.17028134548313345,118
53,1122.8846929073334,1753614633.740749,1120.2527303695679,0.11055820868883223,0.010122311506920669,0.0764438376307006,0.08656614913762127,130
54,1233.872881412506,1753614744.7289374,1231.2409100532532,0.1063799993037853,0.007980989559572974,0.09671934630677638,0.10470033586634936,143
55,1353.3996419906616,1753614864.255698,1350.7675986289978,0.09802473120635893,0.018687074585205382,0.05429818659746682,0.0729852611826722,157
56,1481.4627842903137,1753614992.3188403,1478.8307235240936,0.09440446561504898,0.005195910970370191,0.06506855066937589,0.07026446163974608,172
57,1635.126157283783,1753615145.9822133,1632.4942800998688,0.08702214589607835,0.005959225742907927,0.03558752300475549,0.04154674874766342,190
58,1788.8054463863373,1753615299.6615024,1786.1733918190002,0.08234727566227369,0.003682117800553451,0.02506521066804336,0.028747328468596813,208
59,1968.0777077674866,1753615478.9337637,1965.445705652237,0.0715352716516543,0.003215112141645517,0.024666734617472853,0.02788184675911837,229
60,2164.426746368408,1753615675.2828023,2161.7947986125946,0.06690156476863629,0.005050075118231476,0.013864091392649446,0.018914166510880924,252
61,2377.8467497825623,1753615888.7028058,2375.2146847248077,0.05760171281108087,0.0012623015567604415,0.014812121360559838,0.01607442291732028,277
62,2616.8739035129547,1753616127.7299595,2614.2418332099915,0.05156388749402519,0.002323248657673726,0.09601177420558273,0.09833502286325645,305
63,2872.984641313553,1753616383.8406973,2870.3526294231415,0.04651324713279086,0.0015561418802213097,0.007481370220782769,0.00903751210100408,335
