step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,1098.7978572872114,19.523102521896362,18.783831119537354,34.22784703227522,10.066191901282938,1088.7316653859284,1744741378.6668515
1,1,956.7243746608442,36.66082525253296,36.22036266326904,30.87201521701214,11.223104808741684,945.5012698521025,1744741395.8045743
2,2,795.609008673126,53.81716179847717,53.37673854827881,27.491392267962315,9.056740674800901,786.5522679983251,1744741412.9609108
3,3,672.6104784735707,70.95730090141296,70.51712131500244,24.586868555313337,8.1948820122512,664.4155964613194,1744741430.10105
4,4,581.7559803832012,88.0880069732666,87.64627146720886,22.019704635036668,7.1689953347997015,574.5869850484015,1744741447.231756
5,5,532.3267918195908,105.21941423416138,104.77864480018616,19.721090789552484,6.14150073237182,526.185291087219,1744741464.3631632
6,6,438.7268971083749,122.36110186576843,121.9208414554596,17.742063824623777,5.207108172819851,433.519788935555,1744741481.5048509
7,7,387.67944440260106,139.49257564544678,139.05225777626038,15.95033143483619,4.537996784660734,383.14144761794034,1744741498.6363246
8,8,328.50781150756404,156.64326357841492,156.20307230949402,14.343489344398506,4.116900546128473,324.39091096143557,1744741515.7870126
9,9,280.1613018477287,173.8000054359436,173.3597767353058,12.928243302692763,3.6565895692876884,276.504712278441,1744741532.9437544
10,10,238.5176310364965,190.94905257225037,190.50836205482483,11.698782971137042,3.3163224933834896,235.20130854311302,1744741550.0928016
11,11,221.16544082526107,208.09074664115906,207.65065336227417,10.577695018092488,2.926740948589061,218.238699876672,1744741567.2344956
12,12,187.96938493490055,225.23513221740723,224.7946765422821,9.568741710713052,2.748851082763752,185.22053385213678,1744741584.3788812
13,13,161.5540891199294,242.38969349861145,241.94945073127747,8.68928594221869,2.4751445243085195,159.07894459562087,1744741601.5334425
14,14,148.80704271318527,259.5449261665344,259.10471415519714,7.879844544648476,2.385668580970279,146.421374132215,1744741618.6886752
15,15,126.97449362803145,276.67436814308167,276.2339346408844,7.153576564199046,2.0959359801587154,124.87855764787274,1744741635.8181171
16,16,108.6729807186161,293.8168525695801,293.37672233581543,6.480357522734652,2.030263473861253,106.64271724475485,1744741652.9606016
17,17,99.98201930473067,310.94508481025696,310.5042197704315,5.895555406662671,1.8709147947729663,98.1111045099577,1744741670.0888338
18,18,88.30186698381223,328.0882065296173,327.6479961872101,5.3491044806508325,1.8368903093794335,86.4649766744328,1744741687.2319555
19,19,71.69928793327377,345.2229206562042,344.7824025154114,4.876751035219123,1.6798104838942918,70.01947744937948,1744741704.3666697
20,20,63.10626645701136,362.3737931251526,361.9329717159271,4.446457670784207,1.6727909887263286,61.43347546828503,1744741721.5175421
21,21,56.502743279082075,379.5240390300751,379.08347749710083,4.062562501701409,1.5664211529058265,54.93632212617625,1744741738.667788
22,22,49.92461137398848,396.6735076904297,396.2326488494873,3.707792773103945,1.4882648974635448,48.43634647652494,1744741755.8172567
23,23,43.36990069668693,413.82586145401,413.38486218452454,3.381877950551492,1.4772422015490676,41.892658495137866,1744741772.9696105
24,24,37.05237294436061,430.971312046051,430.53076243400574,3.0951170559670915,1.422610539870792,35.629762404489824,1744741790.115061
25,25,34.605699625498325,448.1116373538971,447.6708381175995,2.8279296200464876,1.3863630260083688,33.21933659948996,1744741807.2553864
26,26,27.232913273127803,465.2554428577423,464.814790725708,2.595894401223952,1.3620654300272816,25.87084784310052,1744741824.3991919
27,27,26.074011912245666,482.40273237228394,481.9623963832855,2.3832626263809655,1.3799713826641715,24.694040529581496,1744741841.5464814
28,28,22.86578992915924,499.54822969436646,499.10730504989624,2.185547085324936,1.3616858027966736,21.504104126362567,1744741858.6919787
29,29,19.32491319358231,516.6911392211914,516.2505617141724,2.0057241894446314,1.212064055063722,18.11284913851859,1744741875.8348882
30,30,17.18954057826045,533.8428297042847,533.4022862911224,1.8425515211596057,1.206886691135002,15.982653887125446,1744741892.9865787
31,31,15.149196400704295,550.9920146465302,550.5517632961273,1.69539529254006,1.1655502391510673,13.983646161553228,1744741910.1357636
32,32,12.631269704828423,568.123626947403,567.6828241348267,1.5665898538477327,1.1181097511169302,11.513159953711492,1744741927.267376
33,33,11.016844635060933,585.2644176483154,584.8243169784546,1.44985521146829,1.1313924620874158,9.885452172973517,1744741944.4081666
34,34,10.151996130641571,602.4081933498383,601.9676864147186,1.3419251104820504,1.1150175566300033,9.036978574011568,1744741961.5519423
35,35,9.272190116474627,619.558007478714,619.1177475452423,1.2435822884529806,1.0136091282201822,8.258580988254446,1744741978.7017565
36,36,8.039024989504268,636.7091715335846,636.2689197063446,1.15650799770468,1.0331124445842421,7.005912544920026,1744741995.8529205
37,37,7.007633900811968,653.8475677967072,653.4073405265808,1.0776365037688125,1.1216941258645694,5.885939774947399,1744742012.9913168
38,38,6.17816107451408,670.97500872612,670.5349614620209,1.007449263562477,0.9528395985555433,5.225321475958536,1744742030.1187577
39,39,5.281207390392304,688.1028926372528,687.6622622013092,0.9482813553802037,0.946095294165302,4.335112096227002,1744742047.2466416
40,40,5.094540095123202,705.251366853714,704.8112201690674,0.891688944878957,0.8689156464324198,4.225624448690782,1744742064.3951159
42,41,3.894715768578417,739.5394599437714,739.0987808704376,0.8052151180460135,0.8331291742971101,3.061586594281307,1744742098.683209
46,42,2.7374090607163875,808.0880708694458,807.6472768783569,0.6667431604610745,0.7894917865095811,1.9479172742068063,1744742167.2318199
50,43,1.8579682594036213,876.6071057319641,876.166570186615,0.5718210324205433,0.7509638198984884,1.1070044395051328,1744742235.7508547
55,44,1.4629438743089322,962.230001449585,961.7894871234894,0.45832588198509017,0.714905562423049,0.7480383118858832,1744742321.3737504
61,45,0.7995761279119298,1065.0168356895447,1064.576201915741,0.3604280896082654,0.46892163063417636,0.3306544972777534,1744742424.1605847
67,46,0.6339643905648927,1167.8078713417053,1167.3668246269226,0.2769149465986465,0.4810179600819809,0.15294643048291182,1744742526.9516203
73,47,0.40679208377925563,1270.6095860004425,1270.1690888404846,0.2209309953937414,0.3242440595045997,0.08254802427465589,1744742629.753335
81,48,0.3003587185309279,1407.6612751483917,1407.2206754684448,0.180346668147873,0.24662959061947062,0.05372912791145726,1744742766.8050241
89,49,0.31523354593437847,1544.6640129089355,1544.2233850955963,0.16833734338375358,0.2537071386529216,0.06152640728145688,1744742903.807762
98,50,0.26339436799543603,1698.8198010921478,1698.379356622696,0.16704420760438385,0.17799852556948,0.08539584242595605,1744743057.96355
107,51,0.20353814878796475,1852.9718718528748,1852.5311846733093,0.15349196923785402,0.18096507502164255,0.022573073766322203,1744743212.1156209
118,52,0.14620382356155562,2041.3666145801544,2040.9258799552917,0.14615622825465455,0.09171108578337456,0.05449273777818107,1744743400.5103636
130,53,0.10127624932337309,2246.8864686489105,2246.4457898139954,0.1386701628428679,0.09092080084909156,0.01035544847428153,1744743606.0302176
143,54,0.10162034928363484,2469.5429034233093,2469.102376937866,0.12515131280893138,0.09269835798933955,0.008921991294295281,1744743828.6866524
157,55,0.06642058739782371,2709.3146588802338,2708.874012231827,0.10822901678017369,0.048364428408752436,0.018056158989071276,1744744068.4584079
172,56,0.05779460358874361,2966.2039127349854,2965.7634925842285,0.09698011597577534,0.05230051671304911,0.0054940868756945,1744744325.3476617
190,57,0.041606613322338844,3274.4621686935425,3274.0216541290283,0.08813016493272545,0.03571965819011725,0.005886955132221596,1744744633.6059177
208,58,0.031210249934608796,3582.7025463581085,3582.2620301246643,0.0783038179460858,0.027069085912521,0.004141164022087798,1744744941.8462954
229,59,0.028465655379312983,3942.344128847122,3941.9035835266113,0.0680757818994719,0.025288741202388863,0.0031769141769241206,1744745301.4878778
252,60,0.02407527919416851,4336.224391222,4335.7839505672455,0.0636935155465512,0.019731322450786355,0.004343956743382153,1744745695.3681402
277,61,0.01915434593703336,4764.308262586594,4763.867810964584,0.05390891233298486,0.017460134603850846,0.0016942113331825143,1744746123.4520116
305,62,0.08786033447207754,5243.7798228263855,5243.339314222336,0.04824515447338341,0.08583422287693296,0.0020261115951445774,1744746602.9235718
335,63,0.0097945600635564,5757.498185634613,5757.057507514954,0.04530436934088485,0.008080441985304991,0.001714118078251409,1744747116.6419346
369,64,0.006275900324100891,6339.761290073395,6339.320810079575,0.03469237605712569,0.005505191668214342,0.000770708655886549,1744747698.905039
406,65,0.004378443876310859,6973.411838293076,6972.9713134765625,0.036709958399898664,0.0037909921329095497,0.0005874517434013096,1744748332.5555873
446,66,0.007963244751664952,7658.449548006058,7658.00900387764,0.03080709384654923,0.007474655028143267,0.0004885897235216847,1744749017.593297
491,67,0.00254359838379024,8429.085437059402,8428.644803285599,0.02783148051237563,0.0022024110644157397,0.0003411873193745002,1744749788.229186
540,68,0.003371883438827655,9268.299314498901,9267.858692646027,0.03447766264648475,0.002574714094410215,0.0007971693444174403,1744750627.4430635
594,69,0.003798387140137783,10193.481270074844,10193.040248155594,0.019754445446383953,0.003542193275097651,0.0002561938650401321,1744751552.625019
653,70,0.004470749102180066,11204.692909240723,11204.251845359802,0.020280412705066562,0.0024875130155780543,0.0019832360866020122,1744752563.8366582
718,71,0.00180656275510948,12319.851068258286,12319.410247564316,0.016876667683135692,0.0009325400235006257,0.0008740227316088542,1744753678.9948173
790,72,0.0015398405063388708,13553.630903959274,13553.19033575058,0.01452642104202225,0.00139724019460285,0.00014260031173602086,1744754912.774653
869,73,0.001090611940137115,14906.745745420456,14906.305079460144,0.012774547361818512,0.0009464364029329637,0.00014417553720415136,1744756265.8894944
956,74,0.000671826896054768,16396.655393362045,16396.214962482452,0.012420082213249115,0.0005816934079225535,9.013348813221447e-05,1744757755.7991424
1052,75,0.0007503091602992134,18040.724267482758,18040.28379034996,0.012310803437409711,0.0006712958454010138,7.90133148981996e-05,1744759399.8680165
1157,76,0.0004673190790715194,19838.941368579865,19838.501008033752,0.011419710886244931,0.0004193889904725246,4.793008859899477e-05,1744761198.0851176
1167,77,0.00034842852918303546,20010.198276519775,20009.757869243622,0.010091079965147612,0.0002998737112264363,4.8554817956599164e-05,1744761369.3420255
