step,_step,_timestamp,time,_runtime,l2_error,loss_boundary,loss_interior,loss
42,41,1753921466.5052977,371.74231457710266,372.362735748291,1.0442215932658079,4.907164583831617,1.4854164591682195,6.392581042999836
46,42,1753921500.8180711,406.05518198013306,406.67550921440125,0.8544271213479244,3.4846589370458174,1.1288370410988555,4.613495978144673
50,43,1753921535.1308887,440.36774468421936,440.9883267879486,0.6964793988244471,2.227009452694375,0.8961203070724552,3.1231297597668304
55,44,1753921578.0135858,483.25077748298645,483.8710238933563,0.5394275301554341,1.487847200966759,1.952415529439768,3.440262730406527
61,45,1753921629.467901,534.7049112319946,535.3253390789032,0.4027734299213692,0.9248627403515288,0.41618163321704377,1.3410443735685726
67,46,1753921680.9246643,586.1611905097961,586.7821023464203,0.3005632200639334,0.43986587627845064,5.090646869057266,5.530512745335717
73,47,1753921732.4099097,637.6465466022491,638.2673478126526,0.22818164954802392,0.3087072047903595,0.33558537634847385,0.6442925811388334
81,48,1753921801.0159168,706.2522783279419,706.8733549118042,0.1663469836475468,0.1356915418999177,0.15451986492440808,0.2902114068243258
89,49,1753921869.6150997,774.8516306877136,775.4725377559662,0.12988170785636524,0.09163394814911541,0.2843333079768816,0.375967256125997
98,50,1753921946.7936208,852.0303053855896,852.6510589122772,0.10792715337538604,0.0768899592457903,0.06314054536845187,0.14003050461424216
107,51,1753922023.96929,929.2060830593109,929.826728105545,0.09903563151453826,0.028906991336835365,0.12498871684165794,0.1538957081784933
118,52,1753922118.3010054,1023.5380575656891,1024.1584434509277,0.09307351571130679,0.004692495292676405,0.13398695587693704,0.13867945116961344
130,53,1753922221.1939402,1126.4307572841644,1127.051378250122,0.08957675605964868,0.002842884695166942,0.012998109129073393,0.015840993824240337
143,54,1753922332.6982381,1237.9349420070648,1238.5556762218475,0.0861004373525706,0.003008440782646418,0.010106211550993912,0.01311465233364033
157,55,1753922452.7292235,1357.9661138057709,1358.5866615772247,0.079905805959061,0.0030769013975487473,0.005044535973872224,0.008121437371420973
172,56,1753922581.3323615,1486.5687646865845,1487.1897995471954,0.0704121648198095,0.002471824684527605,0.005321217605202395,0.0077930422897299996
190,57,1753922735.6892304,1640.9258115291595,1641.5466685295105,0.05618208792875042,0.001857179119761443,0.0020112927765030112,0.003868471896264454
208,58,1753922890.0125818,1795.2492847442627,1795.8700199127197,0.04216021009120045,0.0010792535268091684,0.0009570618779583107,0.002036315404767479
229,59,1753923070.0641942,1975.300505399704,1975.9216322898865,0.029325097309162117,0.0005570882464307085,0.00045408082305158803,0.0010111690694822966
252,60,1753923267.2886217,2172.5249598026276,2173.1460597515106,0.018827771239837903,0.0002501849841999873,0.00021222710843411038,0.0004624120926340977
277,61,1753923481.6363146,2386.8728561401367,2387.493752717972,0.01216131791850282,0.00010173341015382536,9.11636074906896e-05,0.00019289701764451495
305,62,1753923721.6976779,2626.934307575226,2627.5551159381866,0.007839610121835403,4.4615867949382903e-05,0.00033182603063029335,0.00037644189857967625
335,63,1753923978.9851444,2884.221707344055,2884.842582464218,0.005121078057296871,2.1396289303216264e-05,3.304821654947624e-05,5.444450585269251e-05
369,64,1753924270.738197,3175.974911928177,3176.595635175705,0.003531534259470466,1.0860429086906573e-05,1.7620018373374556e-05,2.8480447460281127e-05
406,65,1753924587.9667296,3493.2037675380707,3493.824167728424,0.0029067175529738447,6.6471008856659415e-06,1.5655774308441958e-05,2.2302875194107898e-05
446,66,1753924931.1703758,3836.4069879055023,3837.027813911438,0.0022346933059208753,4.284606494090359e-06,2.5723045005188172e-05,3.000765149927853e-05
491,67,1753925316.9668036,4222.203466892242,4222.824241638184,0.0019577334377394932,3.537499617915182e-06,1.9445107842715922e-05,2.2982607460631104e-05
540,68,1753925737.0283067,4642.26504278183,4642.885744810104,0.001796434898912583,2.8146484009110055e-06,1.8292040496899762e-05,2.110668889781077e-05
594,69,1753926200.0621834,5105.298991918564,5105.91962146759,0.0016425700026961015,2.1176276984060326e-06,1.501619578014422e-05,1.7133823478550252e-05
653,70,1753926705.9339244,5611.170468330383,5611.791362524033,0.0014658089661691107,2.8870842321422387e-06,1.046939256853409e-05,1.3356476800676327e-05
699,71,1753927100.3905206,6005.627312660217,6006.247958660126,0.0014728562875075707,1.9712535702955688e-06,8.770587251410192e-06,1.074184082170576e-05
