step,_step,_timestamp,time,_runtime,l2_error,loss_boundary,loss_interior,loss
0,0,1753921105.1723962,9.462318658828735,11.029834270477295,29.79003588807747,1088.7316653859284,10.066191901282938,1098.7978572872114
1,1,1753921113.790317,19.028173685073853,19.64775514602661,24.39429019971422,756.6554008290101,6.44399927464781,763.0994001036579
2,2,1753921122.4255047,27.66267204284668,28.28294277191162,20.388166270120745,548.2436229535099,6.4850573851634685,554.7286803386734
3,3,1753921131.0319908,36.26927351951599,36.88942885398865,17.730722887031007,437.7662936310917,5.575802217217071,443.34209584830876
4,4,1753921139.6363668,44.87141132354736,45.493804931640625,15.702783123588826,367.01118045195466,4.983603870335041,371.9947843222897
5,5,1753921148.2700229,53.50730586051941,54.127460956573486,13.787165820667772,340.2606813939483,4.716501600181622,344.9771829941299
6,6,1753921156.8805363,62.11805748939514,62.737974405288696,12.188052759094207,272.67766526405757,3.9611786343562505,276.6388438984138
7,7,1753921165.4791327,70.71648049354553,71.3365707397461,10.956085208147158,235.5440207415754,3.4417509007025693,238.98577164227797
8,8,1753921174.077639,79.31513166427612,79.93507719039917,9.900742979771444,199.3402603809303,3.1831840407707555,202.52344442170104
9,9,1753921182.6721475,87.90934491157532,88.52958559989929,8.995074633109706,169.93908595396655,2.8816484627376155,172.82073441670417
10,10,1753921191.2760122,96.51355147361755,97.1334502696991,8.176294504278776,144.22048706081307,2.788448619136091,147.00893567994916
11,11,1753921199.8840954,105.12134790420532,105.74153351783752,7.45720602207295,133.87064187241972,2.6429831263858428,136.51362499880557
12,12,1753921208.4831553,113.72066402435303,114.3405933380127,6.837775519018247,116.0138342445063,2.4222734992226176,118.43610774372891
13,13,1753921217.0812411,122.31903004646301,122.93867921829224,6.301251489849612,100.08618304116115,2.495820075101263,102.58200311626241
14,14,1753921225.6771667,130.91428327560425,131.53460478782654,5.794759830540769,92.35125089924689,2.505321252917089,94.85657215216398
15,15,1753921234.2769675,139.5143473148346,140.13440561294556,5.355685574253723,80.37904913542903,2.397247515638731,82.77629665106775
16,16,1753921242.8730729,148.11053705215454,148.7305109500885,4.95869578811331,69.03199953287962,2.4638207056770387,71.49582023855666
17,17,1753921251.4774795,156.7149224281311,157.3349175453186,4.59163981644246,64.55021129682491,2.37079185296622,66.92100314979113
18,18,1753921260.075628,165.3130385875702,165.93306612968445,4.266837001514106,58.04044063537594,2.586109282928247,60.626549918304185
19,19,1753921268.6690474,173.90653729438782,174.52648544311523,3.9724172238844755,48.03760301819132,2.162916323092151,50.20051934128347
20,20,1753921277.270054,182.50761485099792,183.12749218940735,3.7031193229283996,42.42683372178578,2.29701403327358,44.72384775505936
21,21,1753921285.8690188,191.10646200180054,191.72645688056946,3.4612628164108803,39.82683478813904,2.237647078600482,42.06448186673952
22,22,1753921294.4727368,199.70981001853943,200.33017492294312,3.2390139783557323,35.99148177535816,2.0579348916878435,38.049416667046
23,23,1753921303.0690732,208.3064739704132,208.9265112876892,3.0325447282390408,32.20231501455587,2.861715931265239,35.06403094582111
24,24,1753921311.6652842,216.90283060073853,217.5227222442627,2.843542445497945,27.97657176930987,2.1983195285295327,30.1748912978394
25,25,1753921320.2614791,225.49899196624756,226.11891722679138,2.672731748314695,26.21236760863238,3.3784519223254716,29.59081953095785
26,26,1753921328.8589225,234.09630012512207,234.71636056900024,2.5108602179241517,21.488499927220175,2.222558506108,23.711058433328176
27,27,1753921337.4593005,242.69350385665894,243.31673860549927,2.365622461559417,21.169541580438413,2.336473140243937,23.50601472068235
28,28,1753921346.057554,251.29499173164368,251.91499209403992,2.2303556065347263,19.327442114424937,2.174691571372653,21.502133685797588
29,29,1753921354.65727,259.89461851119995,260.5147080421448,2.1063813237826,16.843987495621935,2.0093429558378464,18.853330451459783
30,30,1753921363.2527132,268.4905593395233,269.11015129089355,1.9868176665394413,15.104021541519094,2.0367332529026174,17.14075479442171
31,31,1753921371.8537557,277.09118461608887,277.71119379997253,1.8760985393656253,14.241253108175767,2.5731205828398758,16.814373691015643
32,32,1753921380.450605,285.6879315376282,286.3080430030823,1.774833299292051,11.868070476902798,2.280494868011534,14.148565344914331
33,33,1753921389.0468786,294.2841806411743,294.90431666374207,1.681009496057761,10.799594938714604,2.0634857217077567,12.86308066042236
34,34,1753921397.6595562,302.89689540863037,303.5169942378998,1.5926225275159491,10.10563399486128,2.0874912750850436,12.193125269946325
35,35,1753921406.2996278,311.5369780063629,312.1570658683777,1.5102676091283294,9.65584933945174,1.5320137156810094,11.187863055132748
36,36,1753921414.896933,320.1342422962189,320.75437116622925,1.4324044082412926,8.629490406127648,1.6907694349567022,10.32025984108435
37,37,1753921423.4948761,328.7323281764984,329.3523142337799,1.3582074040959973,7.507889002626099,1.9471097953128302,9.454998797938929
38,38,1753921432.1352975,337.3727135658264,337.99273562431335,1.2884641145917215,6.929650906878532,1.5811678352824399,8.510818742160971
39,39,1753921440.739928,345.97729563713074,346.59736609458923,1.2227454280374637,6.1045912513198015,1.3453178914246469,7.449909142744448
40,40,1753921449.3348532,354.57226181030273,355.1922912597656,1.1594444810249982,6.0234618586351205,1.2933346426271446,7.3167965012622656
