_runtime,_timestamp,l2_error,loss_boundary,loss,_step,loss_interior,step,time
3.0809199810028076,1744684023.178655,0.9687788574180026,0.5054216378402727,0.5058536438260903,0,0.00043200598581757537,0,1.3501245975494385
3.141892194747925,1744684023.2396271,0.872007572594074,0.5123109608275922,0.512554334708536,1,0.00024337388094378153,1,2.710216522216797
3.202207326889038,1744684023.2999423,0.8080684992707864,0.4478664912767626,0.44826847803573355,2,0.0004019867589709776,2,2.770582675933838
3.2622196674346924,1744684023.3599546,0.7425949707379793,0.3613542581103064,0.3617533948115974,3,0.0003991367012909916,3,2.8305904865264893
3.318319320678711,1744684023.4160542,0.6672630410349382,0.24507758898680743,0.24599970780004501,4,0.0009221188132375984,4,2.8874216079711914
3.3694562911987305,1744684023.4671912,0.6085595506057577,0.23724388939339458,0.23837789310798882,5,0.00113400371459425,5,2.937143325805664
3.418825626373291,1744684023.5165606,0.556218911696909,0.17042978002484188,0.17199807896426297,6,0.001568298939421093,6,2.9878430366516113
3.4682860374450684,1744684023.566021,0.5087693253590349,0.15243796557460085,0.15364317267146743,7,0.001205207096866571,7,3.0372252464294434
3.517576217651367,1744684023.6153111,0.46363290803637314,0.12122694815784985,0.12289887204870713,8,0.0016719238908572782,8,3.0866007804870605
3.5670135021209717,1744684023.6647484,0.4219281434657467,0.10679326798214167,0.10789665634254814,9,0.0011033883604064723,9,3.1361758708953857
3.6166861057281494,1744684023.714421,0.38534905376519146,0.11707608897251211,0.11837257536876393,10,0.0012964863962518281,10,3.185640811920166
3.6661107540130615,1744684023.7638457,0.3525242231369188,0.06530562771001625,0.06640230816775379,11,0.0010966804577375495,11,3.2351863384246826
3.715698003768921,1744684023.813433,0.3205858212385342,0.05719251979421494,0.0582965986991961,12,0.0011040789049811587,12,3.284724235534668
3.7653889656066895,1744684023.863124,0.2922036969578728,0.048252601477235604,0.049698281739131545,13,0.0014456802618959413,13,3.334425926208496
3.8151066303253174,1744684023.9128416,0.2673137165822987,0.04047502888781493,0.04182290364259135,14,0.0013478747547764208,14,3.384143114089966
3.8648436069488525,1744684023.9625785,0.2449855095784858,0.031567897899945636,0.03277923875608313,15,0.001211340856137495,15,3.433875322341919
3.91459584236145,1744684024.0123308,0.22429626627732674,0.0259229155564429,0.027037538368924145,16,0.0011146228124812442,16,3.483642339706421
3.9640791416168213,1744684024.061814,0.2046798471274691,0.024815502894603738,0.025562506698435936,17,0.0007470038038321981,17,3.533113718032837
4.01324987411499,1744684024.1109848,0.18743207978876494,0.023999350849028992,0.024626042387752987,18,0.000626691538723993,18,3.5823185443878174
4.062701463699341,1744684024.1604364,0.17143889152218125,0.019272724514504843,0.0200502025087838,19,0.0007774779942789575,19,3.631744146347046
4.111812114715576,1744684024.209547,0.15671900367618405,0.017079716542791203,0.017735308291010013,20,0.0006555917482188098,20,3.6808743476867676
4.161106586456299,1744684024.2588415,0.14327220370442678,0.012272457289181499,0.01295365240504599,21,0.00068119511586449,21,3.7301721572875977
4.210549831390381,1744684024.3082848,0.13129357674793746,0.011710900576056421,0.012426917484067154,22,0.0007160169080107318,22,3.779616117477417
4.259962320327759,1744684024.3576972,0.11978678100434914,0.009010987434346831,0.009811017937784267,23,0.0008000305034374356,23,3.828951835632324
4.309421062469482,1744684024.407156,0.10949620583326525,0.006823091576821552,0.007421385995075693,24,0.0005982944182541409,24,3.8784899711608887
4.358961582183838,1744684024.4566965,0.1007505134777292,0.006029455867343659,0.0067876347780688965,25,0.0007581789107252378,25,3.9280073642730713
4.408689737319946,1744684024.5064247,0.09216654113238981,0.005937090816999962,0.006698324804600266,26,0.0007612339876003036,26,3.977538585662842
4.45866322517395,1744684024.5563982,0.08374584549908284,0.004127136720298145,0.005146030476075283,27,0.0010188937557771378,27,4.027654409408569
4.508086442947388,1744684024.6058214,0.07764372818482945,0.002781073666958943,0.003904839182273044,28,0.001123765515314101,28,4.077106475830078
4.557523727416992,1744684024.6552587,0.07132103408862857,0.0024022311251375643,0.0030728584316719694,29,0.0006706273065344051,29,4.126657724380493
4.607086181640625,1744684024.704821,0.06551904839965299,0.002811013532292414,0.0034790667273893092,30,0.0006680531950968954,30,4.176174879074097
4.656553745269775,1744684024.7542887,0.05997069776783892,0.002281903824937295,0.003441636549892356,31,0.001159732724955061,31,4.225562334060669
4.705860376358032,1744684024.8035953,0.05493505832832441,0.0019717812349391356,0.002687057081991714,32,0.0007152758470525782,32,4.274846792221069
4.755326509475708,1744684024.8530614,0.05039919053938605,0.0025900202044848385,0.003411276233582546,33,0.0008212560290977078,33,4.324358701705933
4.804915904998779,1744684024.9026508,0.0471046766318499,0.0011592367419373942,0.0018998697643811265,34,0.0007406330224437323,34,4.373951435089111
4.854202747344971,1744684024.9519377,0.04387630339919698,0.0012312180666378938,0.0017945162139305485,35,0.0005632981472926546,35,4.423252105712891
4.903733968734741,1744684025.001469,0.04077333362226572,0.0014911396184529864,0.0021105463053742684,36,0.000619406686921282,36,4.472687482833862
4.953046798706055,1744684025.0507817,0.03837219699000458,0.0005956929046330547,0.0012167665363687543,37,0.0006210736317356996,37,4.522148609161377
5.002669811248779,1744684025.1004047,0.0359502381127626,0.0009905804696245732,0.0015055748111802453,38,0.0005149943415556723,38,4.571688652038574
5.052130937576294,1744684025.1498659,0.034251883442866865,0.00046329107830687916,0.0012860715984533636,39,0.0008227805201464844,39,4.621174573898315
5.101754426956177,1744684025.1994894,0.0319060026079974,0.0005574565607963147,0.0013202058743080952,40,0.0007627493135117805,40,4.670844793319702
