_step,l2_error,loss,step,_runtime,loss_boundary,_timestamp,loss_interior,time
0,1.00805730727453,0.5058536438260903,0,2.1308722496032715,0.5054216378402727,1744683792.7933211,0.00043200598581757537,1.377882719039917
1,1.0054142920548585,0.5515330529715237,1,2.1948354244232178,0.5511214458082588,1744683792.8572843,0.0004116071632647756,1.7796745300292969
2,1.003329004621588,0.5896310941504789,2,2.2575392723083496,0.5892335143494698,1744683792.9199882,0.00039757980100904486,1.842545986175537
3,1.0013795615447947,0.5610228499450713,3,2.3197968006134033,0.5606109195698616,1744683792.9822457,0.00041193037520971434,1.9048614501953125
4,0.9997059004649534,0.4543986974367126,4,2.373732328414917,0.4539821173915021,1744683793.0361812,0.00041658004521042714,1.9570865631103516
5,0.9981131662439637,0.5291998099484011,5,2.4255611896514893,0.5287733434703563,1744683793.08801,0.00042646647804476254,2.0108606815338135
6,0.9965859205241215,0.46381104073978363,6,2.4772346019744873,0.46343213072425415,1744683793.1396835,0.0003789100155294993,2.0625293254852295
7,0.9951879367100228,0.4840001024911812,7,2.52897310256958,0.4836051668940861,1744683793.191422,0.0003949355970950788,2.114204168319702
8,0.9938251121002994,0.4573801545665598,8,2.580321788787842,0.45699028761201105,1744683793.2427707,0.00038986695454872446,2.1656153202056885
9,0.9924831442758862,0.47061637904187326,9,2.6316452026367188,0.4702009204395563,1744683793.294094,0.00041545860231696654,2.2169504165649414
10,0.9912046495661134,0.6442721016925889,10,2.682891845703125,0.6438717940306803,1744683793.3453407,0.0004003076619086246,2.2681593894958496
11,0.9899761743975021,0.43368893507768597,11,2.7344253063201904,0.4332638336871283,1744683793.3968742,0.0004251013905576659,2.319688320159912
12,0.9887632213619544,0.44829121049085763,12,2.7857892513275146,0.44793845110880137,1744683793.4482381,0.0003527593820562361,2.3710720539093018
13,0.9875946946937132,0.4550689082217881,13,2.837245464324951,0.4546640967591263,1744683793.4996943,0.0004048114626617984,2.422530174255371
14,0.9864462086078342,0.46275010707911396,14,2.888526678085327,0.4623391571233222,1744683793.5509756,0.0004109499557917869,2.4738352298736572
15,0.9853723043123476,0.4479258774726697,15,2.9399328231811523,0.44754466126780246,1744683793.6023817,0.00038121620486722657,2.5252280235290527
16,0.9842502280683874,0.4505018045000609,16,2.9912407398223877,0.4501281251865706,1744683793.6536896,0.00037367931349032986,2.5765395164489746
17,0.9831477360517648,0.4804414117860225,17,3.042619228363037,0.480045710377099,1744683793.705068,0.0003957014089235312,2.6279258728027344
18,0.9820914986019131,0.5768593865179013,18,3.093921661376953,0.5764951500121478,1744683793.7563705,0.0003642365057534351,2.6792373657226562
19,0.9810517389088605,0.5468536838276034,19,3.1451501846313477,0.5464257083108205,1744683793.807599,0.00042797551678284566,2.73046875
20,0.9800244113015839,0.551060233288501,20,3.196406364440918,0.550672172919144,1744683793.8588552,0.0003880603693568478,2.7816789150238037
21,0.979015229736935,0.4993700942762053,21,3.2476587295532227,0.49898307660467006,1744683793.9101076,0.0003870176715352576,2.8329596519470215
22,0.9780330760829594,0.5134499396535688,22,3.299149751663208,0.5130642115026227,1744683793.9615986,0.00038572815094605015,2.8843274116516113
23,0.9770534032083613,0.5037995467950451,23,3.350874185562134,0.5034853897539471,1744683794.013323,0.0003141570410980865,2.936152935028076
24,0.9760916327117503,0.48185291180001394,24,3.4019174575805664,0.4814711715659961,1744683794.0643663,0.0003817402340178294,2.9872171878814697
25,0.9751066885326445,0.5096017380350549,25,3.452653646469116,0.5092322840516254,1744683794.1151025,0.0003694539834295423,3.0379533767700195
26,0.9741229483752286,0.5260328582933691,26,3.5039615631103516,0.5256890033265382,1744683794.1664104,0.0003438549668308166,3.089233160018921
27,0.9731441584225371,0.4764452004353605,27,3.5552713871002197,0.47606963343825115,1744683794.2177203,0.0003755669971093259,3.140545606613159
28,0.9721657155137992,0.4015858935867696,28,3.6066770553588867,0.4011900476718306,1744683794.269126,0.00039584591493901754,3.191970109939575
29,0.9711382009710601,0.4151043859633109,29,3.6579055786132812,0.41476665541813484,1744683794.3203545,0.00033773054517605155,3.243185520172119
30,0.970096783814878,0.465267264901165,30,3.7093594074249268,0.46489875866078906,1744683794.3718083,0.0003685062403759422,3.294590473175049
31,0.9690484276164237,0.4544829941234296,31,3.761493682861328,0.45412827509672776,1744683794.4239426,0.000354719026701817,3.3466174602508545
32,0.9680096851680043,0.4785542759583399,32,3.8134958744049072,0.4782176679075187,1744683794.4759448,0.0003366080508212098,3.3987553119659424
33,0.9669459625202221,0.58587127576328,33,3.8648691177368164,0.5854729572942075,1744683794.527318,0.00039831846907255927,3.4501616954803467
34,0.9658859082377099,0.4511091850230237,34,3.9187839031219482,0.4507445815833971,1744683794.5812328,0.0003646034396266333,3.503998041152954
35,0.9647824612705298,0.47488339712975447,35,3.970054864883423,0.47450105966765355,1744683794.6325037,0.000382337462100914,3.5553743839263916
36,0.9636502433803775,0.5983744153580318,36,4.021361589431763,0.5979854990494288,1744683794.6838105,0.0003889163086030895,3.606334686279297
37,0.9625134999635507,0.33941695774600394,37,4.07366418838501,0.3390465804405055,1744683794.736113,0.0003703773054984108,3.6587369441986084
38,0.9613343194546807,0.5343747265245624,38,4.125355958938599,0.534017084019128,1744683794.7878048,0.00035764250543451724,3.710500955581665
39,0.9601442249470482,0.44756235697855545,39,4.176989793777466,0.4472258164062717,1744683794.8394387,0.00033654057228377297,3.762279987335205
40,0.9589155244612754,0.46541854523732,40,4.228068828582764,0.46506213203424074,1744683794.8905177,0.0003564132030792714,3.813375234603882
41,0.9563766606009457,0.45644365726419284,42,4.3282856941223145,0.4561072571161941,1744683794.9907346,0.0003364001479987128,3.91359281539917
42,0.9508547203591254,0.4973462503034223,46,4.527571201324463,0.496956815428805,1744683795.19002,0.0003894348746172967,4.112841606140137
43,0.944670818026886,0.4093293631216886,50,4.726690769195557,0.40898379067597285,1744683795.3891397,0.0003455724457157306,4.311965465545654
44,0.9359619275363938,0.47433096365083827,55,4.975722789764404,0.47402830993807543,1744683795.6381717,0.0003026537127628215,4.56093168258667
45,0.9236647120435361,0.4806210743359103,61,5.273629665374756,0.48030527215684565,1744683795.9360785,0.00031580217906460956,4.858883619308472
