loss,step,_runtime,loss_boundary,_step,l2_error,_timestamp,time,loss_interior
0.4111585265167073,0,4.182974338531494,0.41082979857840574,0,0.3093886293089452,1744400797.8674684,1.3987493515014648,0.000328727938301596
0.06114301151870211,1,4.284298658370972,0.04550976311791145,1,0.3159480680229914,1744400797.9687927,1.7338314056396484,0.01563324840079066
0.06799694129693294,2,4.386150121688843,0.06163428652764623,2,0.2968233217031523,1744400798.0706441,1.8341946601867676,0.006362654769286717
0.07681325525551204,3,4.484332323074341,0.0709406354591115,3,0.2726939661062726,1744400798.1688263,1.9338586330413818,0.005872619796400536
0.05624932593958162,4,4.578663110733032,0.05044253512389094,4,0.24596158042724506,1744400798.2631571,2.0283117294311523,0.005806790815690675
0.04581256819145142,5,4.6727728843688965,0.041154964010074985,5,0.2162849344112203,1744400798.357267,2.122279167175293,0.004657604181376434
0.033924461985981195,6,4.7669713497161865,0.029118056778265986,6,0.20232592062849805,1744400798.4514654,2.2166130542755127,0.0048064052077152085
0.030533434679333785,7,4.861099720001221,0.025907881034129537,7,0.1680928440505716,1744400798.5455937,2.310743570327759,0.004625553645204248
0.015216713366166494,8,4.95969820022583,0.009631478766608127,8,0.15343729504729584,1744400798.6441922,2.4091076850891113,0.005585234599558368
0.02181158706044579,9,5.056162357330322,0.01728630634571998,9,0.09882125988147553,1744400798.7406564,2.5058109760284424,0.00452528071472581
0.01161794974535435,10,5.151503324508667,0.007154889028862048,10,0.0615936376726837,1744400798.8359973,2.6010029315948486,0.004463060716492302
0.00424172850313635,11,5.245449781417847,0.002934336878410879,11,0.05070872678209483,1744400798.9299438,2.695115804672241,0.0013073916247254706
0.0031919683535781723,12,5.340097904205322,0.0020038970089921253,12,0.06749184519435512,1744400799.024592,2.789729595184326,0.001188071344586047
0.003438934469574278,13,5.431863307952881,0.0027498114211586466,13,0.048359804110154114,1744400799.1163573,2.8814475536346436,0.0006891230484156313
0.002241379852397952,14,5.524020433425903,0.00140310456448019,14,0.04586327135984593,1744400799.2085145,2.9736292362213135,0.0008382752879177621
0.0015077927725642751,15,5.6146063804626465,0.0008205164288525476,15,0.03795238788607583,1744400799.2991004,3.064296007156372,0.0006872763437117276
0.0010930274088677275,16,5.7044641971588135,0.0005798261814318917,16,0.03282919575642271,1744400799.3889582,3.1541383266448975,0.0005132012274358358
0.0010810433165431002,17,5.794174671173096,0.0005203201215482015,17,0.02886177418882337,1744400799.4786687,3.2437655925750732,0.0005607231949948985
0.0010477967037040704,18,5.884951114654541,0.0005861346033503088,18,0.03262453007139366,1744400799.5694451,3.3345048427581787,0.00046166210035376154
0.0011501137982280773,19,5.977210998535156,0.0006815180349382342,19,0.028409549972695368,1744400799.661705,3.4268319606781006,0.00046859576328984304
0.0014342660631195504,20,6.069189071655273,0.0004987003346024287,20,0.023719692892471875,1744400799.753683,3.5188052654266357,0.0009355657285171218
0.0011498043908192558,21,6.159215211868286,0.0005418600960361854,21,0.03108238070033152,1744400799.8437092,3.6088669300079346,0.0006079442947830705
0.0008640744748629639,22,6.250278949737549,0.0005993009707462055,22,0.02989435197392043,1744400799.934773,3.6997158527374268,0.0002647735041167583
0.0009636613097704213,23,6.341692209243774,0.0006120778737611317,23,0.02848598191045035,1744400800.0261862,3.7913007736206055,0.00035158343600928964
0.0008267391019551815,24,6.433039426803589,0.0005916844087387329,24,0.029412232575640507,1744400800.1175334,3.8827059268951416,0.00023505469321644858
0.0008268366256304316,25,6.5253517627716064,0.0005253270365255478,25,0.018150987320586152,1744400800.2098458,3.974900007247925,0.0003015095891048839
0.0004974553026702031,26,6.616562604904175,0.0003205156826799668,26,0.02042045638524062,1744400800.3010566,4.06617546081543,0.00017693961999023621
0.0004973804332812995,27,6.707016706466675,0.0003051441993581015,27,0.02244595290896188,1744400800.3915107,4.156595468521118,0.00019223623392319799
0.0005638796607985221,28,6.79728364944458,0.00041777844597901907,28,0.023992725358554148,1744400800.4817777,4.2467405796051025,0.00014610121481950308
0.0004842242651177237,29,6.887573003768921,0.0003447264575778625,29,0.019212536359820353,1744400800.572067,4.337196350097656,0.00013949780753986116
0.0005603857419467766,30,6.97780442237854,0.0003336493654301368,30,0.02011801133501656,1744400800.6622984,4.427526235580444,0.00022673637651663987
0.00028765863129939014,31,7.0775439739227295,0.0001551517383455978,31,0.01882483896792998,1744400800.762038,4.5269012451171875,0.00013250689295379232
0.00024947870339734403,32,7.172141790390015,0.00015542169074483594,32,0.018242373665927014,1744400800.8566358,4.621818542480469,9.40570126525081e-05
0.0005375336197804015,33,7.266320466995239,0.00029199278566330067,33,0.013365970872593476,1744400800.9508145,4.7159788608551025,0.00024554083411710084
0.0002713332299497336,34,7.361618757247925,0.00011745198512943752,34,0.017648055541891135,1744400801.0461128,4.811156988143921,0.00015388124482029606
0.00035224724457322504,35,7.456339120864868,0.00020814626327924398,35,0.01937038229695146,1744400801.1408331,4.905959129333496,0.00014410098129398103
0.0004450641253337523,36,7.552659273147583,0.00034677217032805236,36,0.013428476283939011,1744400801.2371533,5.0021326541900635,9.829195500569994e-05
0.00018311628952234302,37,7.648239374160767,9.113098646226055e-05,37,0.015006732551672026,1744400801.3327334,5.097861051559448,9.198530306008246e-05
0.00027633740043526495,38,7.7417778968811035,0.0001662960177431818,38,0.013498050003883906,1744400801.426272,5.191484451293945,0.00011004138269208314
0.0002076249556848607,39,7.836857557296753,0.00010379007112750002,39,0.015959597112943133,1744400801.5213516,5.286404848098755,0.00010383488455736069
