step,_runtime,l2_error,time,_timestamp,_step,loss_boundary,loss,loss_interior
67,957.4076449871063,0.00026455116383271716,954.7961671352386,1744755126.377506,46,4.8246462641370756e-08,2.3348341606132206e-07,1.852369534199513e-07
73,1041.2331092357635,0.00017215696344405018,1038.62167429924,1744755210.2029703,47,2.1864353048252658e-08,7.57594912777424e-08,5.389513822948974e-08
81,1152.99645113945,9.166214768802944e-05,1150.3851053714752,1744755321.9663122,48,8.411270821149255e-09,3.649326996068575e-08,2.8081999139536495e-08
89,1264.7605094909668,7.711123477789468e-05,1262.1488206386566,1744755433.7303705,49,5.677392095830903e-09,3.159572870556563e-08,2.5918336609734724e-08
98,1390.4895091056824,8.217544966416759e-05,1387.8779859542847,1744755559.4593701,50,4.652859594805327e-09,1.860530092832597e-08,1.3952441333520645e-08
107,1516.219589471817,4.821147847152221e-05,1513.6081099510193,1744755685.1894505,51,2.4549174633045728e-09,1.4234298583308765e-08,1.1779381120004192e-08
118,1669.8852603435516,4.1853649971091814e-05,1667.2740774154663,1744755838.8551214,52,1.3486539459856283e-09,6.823708949933403e-09,5.475055003947775e-09
130,1837.5236639976501,6.013539702984678e-05,1834.9123847484589,1744756006.493525,53,1.5002316031649783e-09,1.0695542275048613e-08,9.195310671883635e-09
143,2019.1235990524292,4.3552948518197145e-05,2016.5123753547668,1744756188.09346,54,9.836353792355284e-10,3.887342553304614e-09,2.9037071740690856e-09
157,2214.690118789673,9.640069161140501e-05,2212.0785450935364,1744756383.6599798,55,1.003561264808266e-09,5.502734880544764e-08,5.4023787540639375e-08
172,2424.2268373966217,3.4640217016679773e-05,2421.615352153778,1744756593.1966984,56,9.92945372358423e-10,3.563600119179337e-09,2.570654746820914e-09
190,2675.6640548706055,2.366774222626291e-05,2673.052831888199,1744756844.633916,57,4.460995342191175e-10,2.375695250231449e-09,1.9295957160123314e-09
208,2927.1010382175446,2.13792197202244e-05,2924.4898357391357,1744757096.0708992,58,4.782140144999472e-10,2.078456363105081e-09,1.600242348605134e-09
229,3220.4436507225037,1.9873116331026556e-05,3217.8324472904205,1744757389.4135118,59,3.669164389762915e-10,1.6840697574466063e-09,1.3171533184703148e-09
252,3541.7187480926514,2.369742653995761e-05,3539.1072976589203,1744757710.6886091,60,3.6499710721543965e-10,1.5059219392088134e-09,1.1409248319933738e-09
277,3890.9286530017853,2.1140502320602337e-05,3888.3171911239624,1744758059.898514,61,5.893898112810592e-10,1.457935332206249e-09,8.685455209251898e-10
305,4282.042953252792,2.956840766289496e-05,4279.431416749954,1744758451.0128143,62,3.4590703573041224e-10,2.844065952876451e-09,2.498158917146039e-09
335,4701.092755079269,1.7505414301289733e-05,4698.4815130233765,1744758870.062616,63,2.531612029562592e-10,6.92245225717626e-10,4.3908402276136687e-10
369,5176.006018161774,1.8249742176672988e-05,5173.394504547119,1744759344.9758792,64,2.2232966810236656e-10,6.119238874650633e-10,3.8959421936269676e-10
406,5692.820976495743,2.0319400148634245e-05,5690.209532260895,1744759861.7908375,65,3.1486061494457914e-10,7.194089808955849e-10,4.045483659510058e-10
446,6251.541171312332,1.1926752188115277e-05,6248.929955244064,1744760420.5110323,66,1.5669986727061358e-10,3.924542010668499e-10,2.3575433379623633e-10
491,6880.092969417572,1.89257727581375e-05,6877.481820106506,1744761049.0628304,67,1.7482249332115066e-10,4.5589360324581637e-10,2.810711099246657e-10
500,7005.821538448334,1.480617128320278e-05,7003.210191011429,1744761174.7913995,68,1.890711032282226e-10,5.45643460751113e-10,3.565723575228904e-10
