step,_runtime,l2_error,time,_timestamp,_step,loss_boundary,loss,loss_interior
0,18.27350354194641,1.024877309547898,15.285933256149292,1744754187.2433646,0,0.5393068352738192,0.5397251543595274,0.00041831908570821223
1,32.25882053375244,1.0242204161510524,29.648990392684937,1744754201.2286816,1,0.5378282299294929,0.5382198508289022,0.00039162089940931923
2,46.24020957946777,1.023439314333875,43.62918543815613,1744754215.2100706,2,0.5092362644539453,0.509626601568881,0.00039033711493558025
3,60.22445058822632,1.022315440923313,57.6149206161499,1744754229.1943116,3,0.5460972730872363,0.5464629136657823,0.0003656405785458883
4,74.20731663703918,1.0201443825469065,71.59772062301636,1744754243.1771777,4,0.5617108305260186,0.5620602646037537,0.0003494340777351686
5,88.1906373500824,1.008557711284776,85.5802092552185,1744754257.1604984,5,0.5413787557629175,0.5416645775626195,0.0002858217997020323
6,102.1766905784607,0.9984799988588944,99.56654858589172,1744754271.1465516,6,0.5094900733319281,0.5096308240843535,0.00014075075242535513
7,116.16441893577576,0.9936309757605675,113.55335855484009,1744754285.13428,7,0.5193784591432511,0.5195067147077664,0.000128255564515382
8,130.2043342590332,0.9888712739765102,127.59374117851257,1744754299.1741953,8,0.5020339808557956,0.5021390600144884,0.00010507915869274708
9,144.26783347129822,0.9834985622366161,141.656813621521,1744754313.2376945,9,0.49972993060854265,0.49982157902568386,9.164841714122388e-05
10,158.33272910118103,0.976713070822119,155.72198152542114,1744754327.3025901,10,0.4878158620655097,0.48790336377997895,8.750171446924062e-05
11,172.3985071182251,0.9682860069635316,169.78781843185425,1744754341.3683681,11,0.4858544199047646,0.48593397149349554,7.955158873098514e-05
12,186.4624662399292,0.9583998448307424,183.85113263130188,1744754355.4323273,12,0.5286002334733545,0.5286781541031981,7.792062984357528e-05
13,200.52920007705688,0.944167197463062,197.91822600364685,1744754369.499061,13,0.45183627045874436,0.4519117355421411,7.546508339671095e-05
14,214.59931898117065,0.9171216220963231,211.98834776878357,1744754383.56918,14,0.4714668407576644,0.47153767536529745,7.083460763309935e-05
15,228.66673922538757,0.8265865555417587,226.05512642860413,1744754397.6366003,15,0.45740429368649593,0.4578888890979739,0.0004845954114779252
16,242.73250770568848,0.7506973816845501,240.12133502960205,1744754411.7023687,16,0.3562729834273276,0.36095142233700317,0.004678438909675539
17,256.7931454181671,0.6393790243019126,254.1821060180664,1744754425.7630064,17,0.3028030554947688,0.3089767492211618,0.006173693726392954
18,270.85753321647644,0.3594469019582647,268.245934009552,1744754439.8273942,18,0.21466262355548088,0.23364577826711758,0.018983154711636696
19,284.925128698349,0.22703579205606664,282.3138768672943,1744754453.8949897,19,0.06851239372513605,0.1263267834999323,0.05781438977479623
20,298.9912405014038,0.2040693445010385,296.3801941871643,1744754467.9611015,20,0.030346091592723817,0.07334197500617436,0.04299588341345054
21,313.0568311214447,0.17414177648220477,310.44525051116943,1744754482.0266922,21,0.021856025619833363,0.02624984529286275,0.004393819673029385
22,327.11500310897827,0.13944242505815396,324.50381731987,1744754496.0848641,22,0.015811298805282,0.018915890506714546,0.0031045917014325478
23,341.1758060455322,0.09743193792121413,338.56456327438354,1744754510.145667,23,0.010162771839393334,0.012862280854672243,0.0026995090152789085
24,355.24316453933716,0.06927742943980454,352.63156747817993,1744754524.2130256,24,0.004933516251676458,0.00769554446604586,0.0027620282143694026
25,369.3068780899048,0.05299203750745368,366.6956796646118,1744754538.2767391,25,0.002479514191582036,0.004819821603530455,0.0023403074119484188
26,383.37304306030273,0.04144025958751083,380.7619688510895,1744754552.342904,26,0.0014626578307023982,0.002610153451301088,0.0011474956205986902
27,397.4340515136719,0.026781953304540865,394.8227164745331,1744754566.4039125,27,0.0008670465347619341,0.0012327865679130456,0.00036574003315111145
28,411.491459608078,0.015626128122177466,408.88009667396545,1744754580.4613206,28,0.0003616997772151886,0.00043413779704049114,7.243801982530256e-05
29,425.55044054985046,0.012667511949144134,422.93935441970825,1744754594.5203016,29,0.00013136358931802107,0.000187629841016136,5.6266251698114926e-05
30,439.60939741134644,0.007697835620597569,436.9980978965759,1744754608.5792584,30,9.104618948921239e-05,0.0001380682195471481,4.7022030057935705e-05
31,453.66887497901917,0.004684642411497839,451.05746150016785,1744754622.638736,31,3.4194800223530124e-05,7.904520693774668e-05,4.485040671421656e-05
32,467.72875714302063,0.003940722559228974,465.117746591568,1744754636.6986182,32,1.3180103846323062e-05,4.1032666944668095e-05,2.7852563098345032e-05
