loss_boundary,_step,l2_error,loss_interior,step,_runtime,loss,time,_timestamp
0.47676007528213205,0,0.8256265036089903,18.055255520093237,0,3.0039517879486084,18.53201559537537,1.9846184253692627,1744694122.0454137
0.35632394388486305,1,0.8716630403180889,14.922597358257354,1,3.6802189350128174,15.278921302142217,2.902904748916626,1744694122.7216809
0.4147710985295805,2,0.777005257035302,11.270730129018041,2,4.356436014175415,11.685501227547622,3.579143524169922,1744694123.397898
0.26755600508307453,3,0.701340208243101,8.930104261185496,3,5.032597303390503,9.19766026626857,4.25528883934021,1744694124.0740592
0.2510325937225847,4,0.6183005309198581,7.095645215064586,4,5.708543300628662,7.34667780878717,4.93121075630188,1744694124.7500052
0.1746589751876204,5,0.5531584796808671,5.748450734836259,5,6.3857786655426025,5.923109710023879,5.607095718383789,1744694125.4272406
0.17660349506882633,6,0.495286485568628,4.567597966697604,6,7.061331510543823,4.74420146176643,6.284101247787476,1744694126.1027935
0.12819873955212555,7,0.4454854560094523,3.6960629030973737,7,7.739442348480225,3.8242616426494993,6.96213173866272,1744694126.7809043
0.08700547328192024,8,0.41444118668159413,3.053200651470709,8,8.41516923904419,3.140206124752629,7.637742519378662,1744694127.4566312
0.07505533434154142,9,0.39154520273577864,2.4087550968806926,9,9.091020822525024,2.483810431222234,8.313871622085571,1744694128.1324828
0.06640687833442038,10,0.362610662305965,1.9237907751997017,10,9.766564846038818,1.9901976535341221,8.98934555053711,1744694128.8080268
0.07018284134341939,11,0.33277458837076207,1.602816159859545,11,10.442033052444458,1.6729990012029643,9.664673089981079,1744694129.483495
0.05210872917518447,12,0.3096375997186593,1.3272689064103815,12,11.117675542831421,1.379377635585566,10.340392827987671,1744694130.1591375
0.06316532885212554,13,0.28483384689096775,1.0777761724143706,13,11.793381690979004,1.140941501266496,11.016162157058716,1744694130.8348436
0.03344737397734339,14,0.2661540892372737,0.8643616360369049,14,12.469120502471924,0.8978090100142483,11.691884756088257,1744694131.5105824
0.04070751497735449,15,0.25184165658896707,0.7129077586875677,15,13.144922971725464,0.7536152736649222,12.367584466934204,1744694132.186385
0.03694982174796253,16,0.24059701886598225,0.5794879648341289,16,13.820546388626099,0.6164377865820915,13.043221712112427,1744694132.8620083
0.02801389181810797,17,0.22586903835141633,0.45126177787192573,17,14.495823383331299,0.4792756696900337,13.718569993972778,1744694133.5372853
0.028961243106978767,18,0.21285640284984314,0.37988469283548876,18,15.171159029006958,0.40884593594246754,14.393986225128174,1744694134.212621
0.03414347611305355,19,0.19975039212654425,0.31304873029516983,19,15.846270322799683,0.3471922064082234,15.068975925445557,1744694134.8877323
0.022077556309254828,20,0.19395074395924325,0.25571282602136836,20,16.521732330322266,0.2777903823306232,15.74438190460205,1744694135.5631943
0.017447680161184653,21,0.1884198440412072,0.2080257506537176,21,17.197891235351562,0.22547343081490223,16.420451879501343,1744694136.2393532
0.02045518123922923,22,0.18150552896566455,0.1681628929217876,22,17.873337745666504,0.18861807416101684,17.096009969711304,1744694136.9147997
0.015320657658965753,23,0.17367988311356508,0.14226349893639997,23,18.54853081703186,0.15758415659536573,17.77117109298706,1744694137.5899928
0.01390827229779834,24,0.17083212994884403,0.11741124107448726,24,19.225867986679077,0.1313195133722856,18.448764324188232,1744694138.26733
0.017553425694004594,25,0.16602153331837272,0.09797478503212434,25,19.900175094604492,0.11552821072612893,19.12302541732788,1744694138.941637
0.016138089999620586,26,0.15941896589652124,0.07606943574115228,26,20.57480025291443,0.09220752574077287,19.797635078430176,1744694139.6162622
0.009295533375160855,27,0.15815161746199918,0.06916588070402503,27,21.248950004577637,0.07846141407918589,20.47190833091736,1744694140.290412
0.01404520016538169,28,0.15443760457627695,0.04959493925751692,28,21.92319941520691,0.06364013942289862,21.14598298072815,1744694140.9646614
0.012726341634145648,29,0.15053051498216496,0.052399113751655194,29,22.5974178314209,0.06512545538580083,21.820323705673218,1744694141.6388798
0.01754798404919467,30,0.14425899837430725,0.045696343991577106,30,23.27406358718872,0.06324432804077178,22.494956970214844,1744694142.3155255
0.011734852210138806,31,0.1407539575378802,0.03827035762299469,31,23.94901704788208,0.050005209833133495,23.171799898147583,1744694142.990479
0.00954595214810575,32,0.13697096840905193,0.030386662099270635,32,24.62313938140869,0.03993261424737639,23.845916271209717,1744694143.6646013
0.01295958967402573,33,0.13401909254203687,0.027984338277394577,33,25.29779624938965,0.04094392795142031,24.52074408531189,1744694144.3392582
0.010452333046256701,34,0.13232145228184944,0.02366117323874889,34,25.972276210784912,0.03411350628500559,25.19514536857605,1744694145.0137382
0.007096773123747934,35,0.12983496480128537,0.023783708476434993,35,26.64649271965027,0.030880481600182925,25.8693528175354,1744694145.6879547
0.008615327500734906,36,0.1298248817132358,0.019498764651745232,36,27.320785999298096,0.02811409215248014,26.543643951416016,1744694146.362248
0.008141113635773616,37,0.12685756540521037,0.01697624875756839,37,27.99512529373169,0.025117362393342006,27.21787452697754,1744694147.0365872
0.011284254192910386,38,0.12462213259939182,0.014565330913165595,38,28.669772386550903,0.025849585106075983,27.892462968826294,1744694147.7112343
0.007521445277598431,39,0.1228010317799639,0.012533844312966048,39,29.344011306762695,0.02005528959056448,28.56691074371338,1744694148.3854733
0.009362432866272667,40,0.12260705392034044,0.010957328848191415,40,30.01869487762451,0.020319761714464084,29.24158501625061,1744694149.0601568
0.006463485018921402,41,0.11851001303085956,0.011531673414131478,42,31.359163999557495,0.017995158433052882,30.582063913345337,1744694150.400626
