loss_boundary,loss_interior,loss,step,_step,_runtime,_timestamp,time,l2_error
0.47676007528213205,18.055255520093237,18.53201559537537,0,0,7.1974992752075195,1745431740.1948762,3.1335973739624023,0.8614028864385282
0.3855201842073127,14.704607556864769,15.09012774107208,1,1,7.665428876876831,1745431740.6628058,4.579196453094482,0.9019040226403693
0.47486529866552984,10.851026315526237,11.325891614191766,2,2,8.088954210281372,1745431741.0863311,5.002704381942749,0.5633125990839845
0.11995990060991048,7.415140685878489,7.5351005864884,3,3,8.512795448303223,1745431741.5101724,5.426366329193115,6.322154204076126
18.694697116505683,17.201946439711175,35.89664355621686,4,4,8.936249256134033,1745431741.9336262,5.849856853485107,5.518126709231473
15.034465584628943,16.2568745428638,31.291340127492745,5,5,9.360019445419312,1745431742.3573964,6.273524522781372,7.208000032066622
27.448691823331547,21.34501035743866,48.79370218077021,6,6,9.785805702209473,1745431742.7831826,6.697171449661255,6.5142852821420245
21.860867737887038,17.5154338927053,39.37630163059234,7,7,10.20908522605896,1745431743.2064621,7.122695446014404,6.044979845429329
18.633981892600392,12.304733498510203,30.938715391110595,8,8,10.63279104232788,1745431743.630168,7.546267747879028,6.009404344113737
18.1270900494005,10.339411024867617,28.466501074268116,9,9,11.056553363800049,1745431744.0539303,7.970006465911865,5.443842470568986
15.180136280925815,8.06486565697557,23.245001937901385,10,10,11.48035216331482,1745431744.477729,8.393847465515137,5.096982477581211
12.895732201262204,6.972908913339323,19.868641114601527,11,11,11.904127359390259,1745431744.9015043,8.817678451538086,4.789878312488975
11.701859291121453,5.780769798625085,17.48262908974654,12,12,12.32771611213684,1745431745.325093,9.241209745407104,4.518957544841906
9.876574164319823,4.266368595544676,14.1429427598645,13,13,12.751351833343506,1745431745.7487288,9.664797306060791,4.210917948575217
8.872920478552183,3.860974040630653,12.733894519182837,14,14,13.175097227096558,1745431746.1724741,10.08859133720398,3.8387992615421203
7.067751420889081,3.5580418587902183,10.6257932796793,15,15,13.598787546157837,1745431746.5961645,10.512302875518799,3.716869632412761
6.739579787859098,3.5022143116258975,10.241794099484995,16,16,14.022674798965454,1745431747.0200517,10.93627381324768,3.587502451256587
6.382628875294029,2.911707431324791,9.29433630661882,17,17,14.44667100906372,1745431747.444048,11.360163927078247,3.508989415754771
5.940929198328777,2.594910717398626,8.535839915727403,18,18,14.870771408081055,1745431747.8681483,11.784070491790771,3.2738052667537447
5.4441306004605945,2.1607389319526837,7.604869532413279,19,19,15.294999122619629,1745431748.292376,12.208451271057129,3.0678602441320977
4.687498537802396,2.1198293352745448,6.807327873076941,20,20,15.718345403671265,1745431748.7157223,12.631898164749146,2.817771665680365
3.7646134938518117,1.741268566527366,5.505882060379178,21,21,16.14194416999817,1745431749.139321,13.055323362350464,2.6823166226035693
3.396347833153261,1.5177973906102222,4.914145223763484,22,22,16.56601095199585,1745431749.5633879,13.479452133178711,2.564156706754123
3.096910906174565,1.2421846019105531,4.339095508085118,23,23,16.990120887756348,1745431749.9874978,13.90354299545288,2.717438280133607
3.6717793110587253,1.2458588119809049,4.91763812303963,24,24,17.414119005203247,1745431750.411496,14.327553510665894,2.564572015627648
3.1928005227517846,1.061598984789144,4.254399507540929,25,25,17.838018655776978,1745431750.8353956,14.751452684402466,2.372977416007255
2.6745065466636766,0.987390386269496,3.6618969329331725,26,26,18.262475967407227,1745431751.259853,15.175854444503784,2.3251588169334845
2.802978203832189,0.8664522843219327,3.6694304881541218,27,27,18.68626117706299,1745431751.683638,15.59964370727539,2.276263301039309
2.558242918486281,0.9680425712430417,3.526285489729323,28,28,19.11007785797119,1745431752.1074548,16.023669242858887,2.1902007250996514
2.4716585580911774,0.8262761452313941,3.2979347033225714,29,29,19.53374695777893,1745431752.5311239,16.44718885421753,2.2442125988396526
2.324386992857919,0.7108579911297227,3.0352449839876416,30,30,19.9571692943573,1745431752.9545462,16.870583057403564,2.5289549513099265
3.2641632110344427,0.6835705267201201,3.9477337377545627,31,31,20.381062746047974,1745431753.3784397,17.294601678848267,2.467702190354071
3.0471892737894892,0.9747214128235823,4.021910686613071,32,32,20.804819107055664,1745431753.802196,17.718205213546753,2.64992424257118
3.320947758346731,1.0350553662012436,4.356003124547975,33,33,21.228394269943237,1745431754.2257712,18.141851663589478,2.4934798617370855
3.1850686288455434,0.8828918336727175,4.067960462518261,34,34,21.652427911758423,1745431754.6498048,18.565903902053833,2.5256380905235214
3.3082716467717876,0.9653161110542691,4.273587757826057,35,35,22.0765700340271,1745431755.073947,18.990000247955322,2.3321198596597448
2.6605398947474623,0.9767218809720706,3.6372617757195327,36,36,22.500589847564697,1745431755.4979668,19.413999795913696,2.273598622389625
2.488189753010122,0.9893640138213974,3.4775537668315195,37,37,22.92457866668701,1745431755.9219556,19.83800220489502,2.385073484353882
2.8251108453441987,0.9288659365208537,3.7539767818650525,38,38,23.348374366760254,1745431756.3457513,20.26172971725464,2.243192100637623
2.43229574841932,1.0184860201093915,3.450781768528712,39,39,23.772228002548218,1745431756.769605,20.685631036758423,2.1976314261265433
2.3345398189600592,0.8582363338690071,3.192776152829066,40,40,24.196584701538086,1745431757.1939616,21.110020399093628,2.150530088466081
2.128694314484378,0.6687433312985231,2.7974376457829013,42,41,25.03649663925171,1745431758.0338736,21.949995040893555,1.8390184200680635
1.6489520836000844,0.6554358838911466,2.304387967491231,46,42,26.710155725479126,1745431759.7075326,23.622644186019897,1.749054621386415
1.0707566840487244,0.7100724536685451,1.7808291377172694,50,43,28.390418767929077,1745431761.3877957,25.302913188934326,1.3846617591382424
