_step,l2_error,_timestamp,loss_boundary,loss,time,loss_interior,step,_runtime
0,0.8574417404644287,1745954739.5735729,0.47676007528213205,18.53201559537537,3.048954725265503,18.055255520093237,0,7.326909780502319
1,0.8786961391009778,1745954740.5087583,0.3831892182659473,15.29007812375816,5.051614761352539,14.906888905492213,1,8.262095212936401
2,0.7798476772594539,1745954741.4407125,0.42479417918220885,11.692021833538188,5.983488321304321,11.26722765435598,2,9.19404935836792
3,0.7087151335114693,1745954742.372261,0.2683929542725645,9.195393766843484,6.915158033370972,8.927000812570919,3,10.125597953796387
4,0.6415066645658106,1745954743.3040104,0.2697397664522268,7.648555758488402,7.8467981815338135,7.378815992036175,4,11.057347297668457
5,0.5588150972839377,1745954744.235782,0.184873744522913,6.633811638568704,8.778666019439697,6.448937894045791,5,11.989118814468384
6,0.528770057745386,1745954745.1691823,0.18336594794211128,5.926501587605776,9.7107994556427,5.743135639663664,6,12.922519207000732
7,0.46646160280319426,1745954746.1012058,0.14959858648927502,5.311964189006687,10.643954277038574,5.162365602517412,7,13.85454273223877
8,0.4071851634165899,1745954747.033024,0.09483244870886753,4.881124618485088,11.575791597366333,4.78629216977622,8,14.7863609790802
9,0.38074804650944677,1745954747.9645433,0.07330193729790548,4.4037033036018585,12.507447957992554,4.330401366303953,9,15.717880249023438
10,0.36094633922926656,1745954748.8965025,0.06339548519660756,4.047234818018856,13.43917989730835,3.983839332822248,10,16.649839401245117
11,0.33256304302647705,1745954749.8303483,0.05953497305584307,3.810422402557018,14.371601104736328,3.7508874295011747,11,17.583685159683228
12,0.2978214765427285,1745954750.7626147,0.058720320941225784,3.549392314362998,15.30544137954712,3.4906719934217723,12,18.51595163345337
13,0.28032101563685324,1745954751.6940224,0.057176558684662544,3.329092524732076,16.236955165863037,3.2719159660474135,13,19.447359323501587
14,0.24359868431348308,1745954752.6256123,0.032838107194786643,3.044035360838368,17.168307065963745,3.0111972536435814,14,20.37894916534424
15,0.21903489882100594,1745954753.5589612,0.02984155284854,2.9125820451030084,18.10182499885559,2.8827404922544684,15,21.3122980594635
16,0.20267581742894028,1745954754.4907067,0.029410330533323883,2.708757991658718,19.033423900604248,2.6793476611253944,16,22.244043588638306
17,0.18929146038243386,1745954755.4226665,0.022735191904326296,2.58037308478221,19.965596914291382,2.557637892877884,17,23.176003456115723
18,0.18351196953569432,1745954756.3547494,0.019162610049056096,2.4286243611278597,20.89756679534912,2.4094617510788034,18,24.108086347579956
19,0.18188544070476068,1745954757.286621,0.027464587766628818,2.2741032340325504,21.829534769058228,2.2466386462659216,19,25.039958000183105
20,0.1782616647727232,1745954758.2180367,0.017968855039133005,2.1968477627813234,22.760777235031128,2.1788789077421904,20,25.971373558044434
21,0.17984160224148815,1745954759.1493657,0.00971196691480201,2.0678837914596158,23.692153930664062,2.058171824544814,21,26.902702569961548
22,0.1887040445257565,1745954760.0809052,0.015286009128172556,1.954965653443157,24.623282194137573,1.9396796443149844,22,27.83424210548401
23,0.20517389014123857,1745954761.0127516,0.011481902940577764,1.8619201131475553,25.555603981018066,1.8504382102069776,23,28.766088485717773
24,0.21002131296250046,1745954761.9444733,0.01787133729826167,1.7935504992470073,26.487292766571045,1.7756791619487455,24,29.697810173034668
25,0.21159904018281808,1745954762.876175,0.015492648769334736,1.678358863970735,27.41874361038208,1.6628662152014002,25,30.629511833190918
26,0.22624558588878574,1745954763.8082116,0.02849811978387682,1.6408071800914061,28.35091519355774,1.6123090603075294,26,31.561548471450806
27,0.23353267183252543,1745954764.740309,0.023448350849944077,1.553098452586227,29.282623052597046,1.529650101736283,27,32.493645906448364
28,0.23317461627424593,1745954765.6717286,0.028857202797381007,1.4948808019176743,30.21452236175537,1.4660235991202932,28,33.42506551742554
29,0.24822214792245106,1745954766.6035159,0.028202849559295116,1.4790631240822925,31.14608120918274,1.4508602745229973,29,34.356852769851685
30,0.26284716511758754,1745954767.5358498,0.025347114352686353,1.412618587992251,32.078678607940674,1.3872714736395646,30,35.28918671607971
31,0.2728386792648169,1745954768.4739077,0.02826298507417132,1.3381512860442866,33.01649832725525,1.3098883009701152,31,36.22724461555481
32,0.2838660164553836,1745954769.4057193,0.036558222630460796,1.3020527729325304,33.9484658241272,1.2654945503020696,32,37.159056186676025
33,0.2963110255844053,1745954770.3382406,0.03179762021266405,1.2329497220626942,34.880905866622925,1.2011521018500302,33,38.09157752990723
34,0.3149195919690163,1745954771.271167,0.04539934519940406,1.1758336121163742,35.81385040283203,1.13043426691697,34,39.02450394630432
35,0.3310221690450131,1745954772.2030723,0.051499142600240785,1.1716589619122801,36.745914459228516,1.1201598193120395,35,39.956409215927124
36,0.33575165610589847,1745954773.1368787,0.04925439190891913,1.1008883259967885,37.677972078323364,1.0516339340878693,36,40.89021563529968
37,0.34642931451293146,1745954774.0690868,0.05751819427616679,1.028447824258203,38.611878633499146,0.970929629982036,37,41.822423696517944
38,0.35991841563037913,1745954775.000623,0.05745494537676869,0.9852770793931733,39.54399132728577,0.9278221340164047,38,42.7539598941803
39,0.36468657760456163,1745954775.9327693,0.05174784162620433,0.9295299681096987,40.475504875183105,0.8777821264834944,39,43.68610620498657
40,0.3811393354895897,1745954776.8636746,0.05842465389193958,0.8836291067786831,41.40656757354736,0.8252044528867435,40,44.61701154708862
41,0.38878935504746615,1745954778.7184415,0.09230333683041242,0.8927560471317706,43.261075258255005,0.8004527103013582,42,46.47177839279175
42,0.4136731299182871,1745954782.4240954,0.08920292802092451,0.7847915049550783,46.96686601638794,0.6955885769341538,46,50.17743229866028
