l2_error,loss_interior,loss,_step,_runtime,_timestamp,loss_boundary,step,time
1.5945381056580497,123.25134859863059,124.79941088089237,0,3.920480489730835,1743905263.7232895,1.5480622822617889,0,1.0203194618225098
1.5931454118034,123.0013410147379,124.59751485504302,1,3.953272581100464,1743905263.7560816,1.5961738403051082,1,1.3378400802612305
1.591783879814331,117.5507676378891,119.21816934071414,2,3.9812581539154053,1743905263.7840672,1.6674017028250456,2,1.362701654434204
1.5903286213962888,119.98170050777472,121.52674148439519,3,4.006145715713501,1743905263.8089547,1.5450409766204707,3,1.3873565196990967
1.5889432229098719,122.34566156235663,123.86307438666537,4,4.032482862472534,1743905263.8352919,1.517412824308744,4,1.4140651226043701
1.5875745522516076,120.96731017925894,122.46324900093663,5,4.057581901550293,1743905263.860391,1.4959388216776888,5,1.439075231552124
1.5863263656462325,125.39461669553195,126.92644303228778,6,4.08660888671875,1743905263.889418,1.5318263367558205,6,1.4643349647521973
1.584924187693903,121.7543387233376,123.33292719304643,7,4.111608266830444,1743905263.9144173,1.5785884697088342,7,1.4927825927734375
1.5836556747006032,119.86245712336721,121.3932396445509,8,4.136051893234253,1743905263.938861,1.5307825211836925,8,1.5170934200286865
1.582405797165709,115.62973648718165,117.14625564783474,9,4.162252187728882,1743905263.9650612,1.5165191606530932,9,1.542433261871338
1.5810795402228741,123.2070342995462,124.68724116146863,10,4.186966419219971,1743905263.9897754,1.4802068619224389,10,1.5682907104492188
1.5798175383078745,121.26607150261611,122.69169436551739,11,4.2104737758636475,1743905264.0132828,1.4256228629012766,11,1.592649221420288
1.5786104204911726,119.22477788892276,120.68527769768133,12,4.235659599304199,1743905264.0384686,1.4604998087585739,12,1.619016170501709
1.5774656089143557,122.17995315784724,123.62884532225641,13,4.258298397064209,1743905264.0611074,1.448892164409179,13,1.6414587497711182
1.5762236767879174,125.85802050508387,127.42529086888443,14,4.280965805053711,1743905264.0837748,1.5672703638005547,14,1.664318323135376
1.5749627892865237,124.75605412791055,126.27109362953342,15,4.303317546844482,1743905264.1061265,1.5150395016228815,15,1.6867051124572754
1.5736026748318521,123.4272178596801,124.88356437900114,16,4.325976371765137,1743905264.1287854,1.4563465193210412,16,1.7095420360565186
1.572261200612721,123.32167558048116,124.68890829516856,17,4.3487708568573,1743905264.1515799,1.3672327146873982,17,1.7319653034210205
1.5707980966921882,121.69557610828697,123.05562531647628,18,4.380136251449585,1743905264.1829453,1.3600492081893163,18,1.763383150100708
1.5694353425306202,122.92035150243987,124.22841011143892,19,4.402158737182617,1743905264.2049677,1.3080586089990542,19,1.7856764793395996
1.5680483708417723,119.54396842507911,120.99070494855086,20,4.4276628494262695,1743905264.2304718,1.446736523471739,20,1.8109261989593506
1.56660051692298,117.50545921461035,118.9769797146984,21,4.4501941204071045,1743905264.2530031,1.4715205000880427,21,1.8336634635925293
1.5650060587256391,121.36141207830039,122.83042067051504,22,4.473236799240112,1743905264.2760458,1.469008592214651,22,1.8566107749938965
1.5633177016199489,121.1524687909714,122.68888167064331,23,4.501911640167236,1743905264.3047206,1.5364128796719179,23,1.8859364986419678
1.5615867243376564,121.24032659665872,122.70739359181033,24,4.528988838195801,1743905264.3317978,1.4670669951516107,24,1.912735939025879
1.5597362724471078,121.73528828440342,123.16402607567092,25,4.553514003753662,1743905264.356323,1.4287377912674881,25,1.937229871749878
1.5578080897057316,125.36740889429215,126.79389567944094,26,4.577710390090942,1743905264.3805194,1.4264867851487752,26,1.961223840713501
1.555939707634701,124.904192512884,126.26134451570492,27,4.601970672607422,1743905264.4047797,1.3571520028209223,27,1.9853112697601318
1.554032955230658,121.71347143531425,123.1232542863476,28,4.626959800720215,1743905264.4297688,1.409782851033352,28,2.010474443435669
1.5519066051860684,121.3655207118791,122.82338048691581,29,4.6507909297943115,1743905264.4536,1.4578597750367075,29,2.034327268600464
1.549600695256658,120.59878853967743,122.17528066294645,30,4.679361820220947,1743905264.4821708,1.5764921232690132,30,2.062833786010742
1.547317028492192,118.01310280212284,119.37709194812467,31,4.702970504760742,1743905264.5057795,1.3639891460018239,31,2.0865252017974854
1.5450198206176156,117.44533729278746,118.75058617162215,32,4.727248430252075,1743905264.5300574,1.3052488788346823,32,2.111093759536743
1.5424453332069217,126.5816244759383,128.06772538600327,33,4.7532477378845215,1743905264.5560567,1.486100910064979,33,2.1367552280426025
1.5398410615671578,116.50293780465812,117.9040127077441,34,4.7762603759765625,1743905264.5790694,1.4010749030859797,34,2.1599814891815186
1.536914577798329,123.31284623656448,124.79040907807324,35,4.798869371414185,1743905264.6016784,1.477562841508762,35,2.18243408203125
1.5337614168361173,120.33138306982416,121.79286747102012,36,4.821289300918579,1743905264.6240983,1.4614844011959636,36,2.2047574520111084
1.530290001632629,121.16623141967342,122.58564911422228,37,4.845224142074585,1743905264.6480331,1.419417694548855,37,2.2288906574249268
1.5266354202365864,121.23833013506369,122.6106442328688,38,4.870188474655151,1743905264.6729975,1.3723140978050954,38,2.2536463737487793
1.5228959751193354,118.88086048401469,120.27005112819221,39,4.893612384796143,1743905264.6964214,1.389190644177513,39,2.2770981788635254
1.5185992727447604,123.57891759879867,124.84255948219008,40,4.917073726654053,1743905264.7198827,1.2636418833914203,40,2.3009650707244873
1.50892099824787,119.4332142104494,120.75454333942042,41,4.960278272628784,1743905264.7630873,1.321329128971019,42,2.3439853191375732
1.4824248896815042,128.05008144612256,129.3056799449051,42,5.045752048492432,1743905264.848561,1.255598498782552,46,2.4292047023773193
