_step,loss_interior,loss,step,time,_runtime,l2_error,loss_boundary,_timestamp
46,5.286833481908898e-07,7.08868100322011e-07,67,30.504369974136353,33.20129656791687,0.000353929785621294,1.8018475213112117e-07,1745446279.4453506
47,4.648495385947321e-07,6.532332137472563e-07,73,33.04389572143555,35.741206884384155,0.0003719151528098361,1.883836751525242e-07,1745446281.985261
48,3.917286308914963e-07,5.353117395190924e-07,81,36.41113495826721,39.10819363594055,0.0003010220151937596,1.4358310862759608e-07,1745446285.3522477
49,3.3988237196048313e-07,5.096674564713887e-07,89,39.76049017906189,42.45759105682373,0.0004362874371518213,1.6978508451090565e-07,1745446288.7016451
50,3.189764199717986e-07,4.3615490284117433e-07,98,43.56430530548096,46.26154017448425,0.0002640712311239985,1.171784828693757e-07,1745446292.5055943
51,3.116017767276258e-07,4.3492016176344073e-07,107,47.36993980407715,50.06691908836365,0.0003137989964016248,1.2331838503581492e-07,1745446296.3109732
52,2.5711550258307e-07,3.5851187412423657e-07,118,52.010194540023804,54.707175731658936,0.00025460442342740345,1.0139637154116656e-07,1745446300.9512298
53,2.1457864793872198e-07,2.99428127992112e-07,130,57.057976961135864,59.7550745010376,0.00023632081986130907,8.484948005339001e-08,1745446305.9991286
54,1.498182803251115e-07,2.279403518634526e-07,143,62.50729036331177,65.20419049263,0.00021366640670712785,7.812207153834108e-08,1745446311.4482446
55,1.5457223332837587e-07,2.145676510955322e-07,157,68.43304657936096,71.13036799430847,0.00020165025289606322,5.999541776715634e-08,1745446317.374422
56,1.1355049659459104e-07,1.7082280992216193e-07,172,74.67116093635559,77.36819338798523,0.00018661128133762162,5.727231332757088e-08,1745446323.6122475
57,1.0705051787769099e-07,1.5219918952851714e-07,190,82.2473475933075,84.94439578056335,0.00020265730127411654,4.514867165082613e-08,1745446331.1884499
58,9.513497010004797e-08,1.358917471645492e-07,208,89.77428388595581,92.4712598323822,0.0001716972303697621,4.075677706450122e-08,1745446338.715314
59,7.516710508731937e-08,1.2211890437240746e-07,229,98.70796132087708,101.40522289276123,0.00016694904038076067,4.69517992850881e-08,1745446347.649277
60,6.19171430227736e-08,9.715103978084416e-08,252,108.34329986572266,111.04031538963318,0.00015639889843525672,3.523389675807055e-08,1745446357.2843695
61,6.41925138352471e-08,9.822494163664981e-08,277,118.90379357337952,121.60088181495667,0.0001546099382072237,3.403242780140272e-08,1745446367.844936
62,5.5393385822228446e-08,8.418003807149287e-08,305,130.690505027771,133.38754725456238,0.00014155286033174408,2.8786652249264432e-08,1745446379.6316013
63,4.63213880783466e-08,7.27835203303284e-08,335,143.18356442451477,145.88061547279358,0.00013228052558730794,2.6462132251981805e-08,1745446392.1246696
64,3.57334041516029e-08,5.8130414673607555e-08,369,157.43000173568726,160.12707114219666,0.0001243199417185649,2.2397010522004656e-08,1745446406.3711252
65,3.247649856863608e-08,5.6524357700363106e-08,406,173.024352312088,175.72146773338318,0.0001194127787300664,2.4047859131727026e-08,1745446421.9655218
66,3.151794086116632e-08,5.086193918968812e-08,446,189.86819124221802,192.56571054458618,0.00011172732063772602,1.9343998328521795e-08,1745446438.8097646
67,3.776772008681065e-08,5.9436648056056507e-08,491,208.52935194969177,211.22657084465027,0.00010905510130262428,2.166892796924586e-08,1745446457.470625
68,2.852738340805927e-08,4.7142491280181175e-08,540,228.9787003993988,231.6758587360382,0.00011144363550329098,1.8615107872121904e-08,1745446477.9199128
69,3.166198114921771e-08,4.766110156824034e-08,594,251.75119042396545,254.44822359085083,9.785228142870655e-05,1.5999120419022625e-08,1745446500.6922777
70,1.9546973095523202e-08,3.20847683093398e-08,653,276.5020544528961,279.1991500854492,9.650487031019721e-05,1.2537795213816595e-08,1745446525.4432042
71,2.2724505257140162e-08,3.461450498314243e-08,718,303.8287968635559,306.5260510444641,8.480389195001559e-05,1.1889999726002266e-08,1745446552.7701051
72,1.6938039958757978e-08,2.5667846566780495e-08,790,334.048686504364,336.745938539505,8.475971340548709e-05,8.72980660802252e-09,1745446582.9899926
73,1.4430199118580806e-08,2.3347686765851884e-08,869,367.2282359600067,369.9252939224243,7.426679840754045e-05,8.917487647271079e-09,1745446616.169348
74,1.3024246784651871e-08,2.060148885645649e-08,956,403.57831835746765,406.27536821365356,7.468005239267272e-05,7.577242071804617e-09,1745446652.5194223
75,1.3647989180808616e-08,2.0950449206774507e-08,1052,444.0743911266327,446.7714443206787,7.590436359695879e-05,7.302460025965891e-09,1745446693.0154984
76,9.814365249278615e-09,1.6003976238175727e-08,1157,488.20208406448364,490.9002866744995,6.04490972836919e-05,6.189610988897113e-09,1745446737.1443408
77,9.489992446375368e-09,1.6001656350795644e-08,1272,536.5812745094299,539.2784008979797,6.202581590673522e-05,6.511663904420275e-09,1745446785.522455
78,8.035860069162477e-09,1.3812980305907973e-08,1400,590.0210466384888,592.7180807590485,5.7985453787163466e-05,5.777120236745497e-09,1745446838.9621348
79,6.423203319214718e-09,1.1125169033660255e-08,1539,645.6924071311951,648.3893222808838,5.863242684479586e-05,4.701965714445538e-09,1745446894.6333764
80,6.165083685651849e-09,9.86237797930675e-09,1693,708.8274471759796,711.5246605873108,5.124675927911895e-05,3.6972942936549013e-09,1745446957.7687147
81,5.926122180793002e-09,9.903804129576537e-09,1863,778.9783148765564,781.6755080223083,5.00951282506703e-05,3.977681948783535e-09,1745447027.919562
82,4.9655401867151215e-09,8.178334684998672e-09,2049,853.3987805843353,856.0958302021027,4.8162462349280895e-05,3.2127944982835512e-09,1745447102.3398843
83,4.43348101398134e-09,7.236720109449131e-09,2254,934.6961312294006,937.3941674232483,4.750791575280955e-05,2.8032390954677915e-09,1745447183.6382215
84,3.938793680465655e-09,6.436420521219253e-09,2479,1022.8570876121521,1025.554049730301,4.0976991914483326e-05,2.4976268407535973e-09,1745447271.7981038
85,3.925964338297256e-09,6.255992928682978e-09,2727,1120.5120542049408,1123.2091295719147,3.879334068451267e-05,2.3300285903857224e-09,1745447369.4531837
86,3.281680572438452e-09,5.5389934022707964e-09,3000,1229.3816487789154,1232.0786261558533,3.8172640208753625e-05,2.257312829832344e-09,1745447478.3226802
87,2.956523743337415e-09,4.522313549762629e-09,3299,1350.0917315483093,1352.7891414165497,3.348530916915436e-05,1.5657898064252135e-09,1745447599.0331955
88,2.4854514277655774e-09,4.435131773337932e-09,3629,1484.021713256836,1486.7200484275818,3.2713135074532895e-05,1.9496803455723544e-09,1745447732.9641025
89,2.3961012712208116e-09,3.665861033489887e-09,3992,1632.4591262340546,1635.1562850475311,3.028842990711461e-05,1.269759762269075e-09,1745447881.4003391
90,2.144337264720818e-09,3.3627406530115377e-09,4391,1796.9001922607422,1799.5973963737488,2.8281870050131837e-05,1.2184033882907196e-09,1745448045.8414505
91,2.078241704323508e-09,3.1540024835961313e-09,4831,1974.017678976059,1976.7166512012482,2.775142746947013e-05,1.0757607792726237e-09,1745448222.9607053
92,1.8697880414531363e-09,2.826224969077866e-09,5314,2173.158677339554,2175.855720758438,2.58681942698563e-05,9.564369276247298e-10,1745448422.0997748
93,1.639423716324754e-09,2.4057324462570574e-09,5845,2392.180921792984,2394.877965450287,2.2441847529215402e-05,7.663087299323034e-10,1745448641.1220195
94,1.281138656805745e-09,2.197446534313733e-09,6429,2632.8664915561676,2635.563488960266,2.3405643252175104e-05,9.163078775079878e-10,1745448881.807543
95,1.2270098902365354e-09,1.8461482553774593e-09,7072,2898.0625038146973,2900.7595357894897,2.0757555879341904e-05,6.191383651409239e-10,1745449147.0035899
96,1.1681702653418104e-09,1.7638140600644583e-09,7779,3189.7667207717896,3192.463808298111,1.978625513069585e-05,5.95643794722648e-10,1745449438.7078624
97,9.823121355844426e-10,1.501803429337134e-09,8557,3510.2160477638245,3512.9149084091187,1.810777661297034e-05,5.194912937526915e-10,1745449759.1589625
98,9.605993978564154e-10,1.5044628766651692e-09,9413,3864.5519890785217,3867.249167442322,1.9927476632808184e-05,5.438634788087538e-10,1745450113.4932215
99,8.014538562899028e-10,1.2257275365363308e-09,10354,4254.702656984329,4257.399981021881,1.6127748480903213e-05,4.24273680246428e-10,1745450503.644035
100,7.121995647203365e-10,1.0876114559794798e-09,11389,4683.678864955902,4686.375933408737,1.5919878467395924e-05,3.7541189125914316e-10,1745450932.6199875
101,6.827277932380433e-10,1.0083284924705785e-09,12528,5155.3009786605835,5157.9980046749115,1.431624336848457e-05,3.256006992325351e-10,1745451404.2420588
102,5.665799911916184e-10,8.780960913916902e-10,13781,5672.26704955101,5674.9640283584595,1.3544941306755677e-05,3.115161002000718e-10,1745451921.2080824
103,5.79853342811392e-10,8.430443952614156e-10,15159,6248.790098905563,6251.487409114838,1.257528511160088e-05,2.6319105245002354e-10,1745452497.7314632
104,4.754739008516172e-10,6.925489636963943e-10,16675,6851.642562150955,6854.339604616165,1.2297481027407577e-05,2.1707506284477707e-10,1745453100.5836587
105,4.741646062619636e-10,6.6467309524646e-10,17053,7000.190280199051,7002.8882377147675,1.1040416162521906e-05,1.9050848898449643e-10,1745453249.1322918
