_step,_runtime,loss_boundary,_timestamp,loss_interior,step,l2_error,time,loss
44,368.3223650455475,3.431080748045694e-08,1744660387.522852,6.547608622183245e-08,55,0.00015290905797414706,365.83125925064087,9.978689370228939e-08
45,406.94860911369324,3.2021182312668446e-08,1744660426.149096,6.447965623158011e-08,61,0.00013915012425393008,404.4572858810425,9.650083854424855e-08
46,445.6620192527771,3.547920401900745e-08,1744660464.8625062,7.555050970781165e-08,67,0.00014346093593487725,443.1706597805023,1.1102971372681909e-07
47,484.4522707462311,2.7137522379083145e-08,1744660503.6527576,5.5571942099121414e-08,73,0.0001441462200915783,481.9609191417694,8.270946447820457e-08
48,536.2539012432098,2.8214512049325357e-08,1744660555.4543881,5.040653573791374e-08,81,0.00015985173086639843,533.762660741806,7.86210477872391e-08
49,588.2141029834747,2.9482445231829617e-08,1744660607.41459,4.845852456641135e-08,89,0.0001283628307653765,585.7228853702545,7.794096979824097e-08
50,646.5683286190033,2.291806895000769e-08,1744660665.7688155,3.972435621690214e-08,98,0.00012691768983210197,644.0772476196289,6.264242516690983e-08
51,704.8004093170166,2.1443612658882255e-08,1744660724.0008962,4.12041809553486e-08,107,0.00012277804215415303,702.3091559410095,6.264779361423086e-08
52,776.2365846633911,2.005604154191931e-08,1744660795.4370716,3.026388912525806e-08,118,0.00011632074359531448,773.7452590465546,5.0319930667177373e-08
53,854.5671646595001,2.0295722121093345e-08,1744660873.7676516,2.9537955054333628e-08,130,0.0001097868541313513,852.0760612487793,4.983367717542697e-08
54,939.5609080791473,2.2389328694011282e-08,1744660958.761395,2.5470845309059903e-08,143,0.000130822745313665,937.0664973258972,4.7860174003071185e-08
55,1031.5168821811676,1.5519710742179903e-08,1744661050.717369,2.7319107822770518e-08,157,0.0001257712358826728,1029.0255270004272,4.283881856495042e-08
56,1130.0407814979553,1.618187994697823e-08,1744661149.2412684,1.8973515904450038e-08,172,0.00010022783308691258,1127.5466775894165,3.515539585142827e-08
57,1249.0355076789856,1.1665597174296248e-08,1744661268.2359946,2.0885505565744354e-08,190,9.54154097600411e-05,1246.544133424759,3.25511027400406e-08
58,1368.558100938797,9.327563896154263e-09,1744661387.7585878,1.9563000098911e-08,208,9.326348478979025e-05,1366.0668530464172,2.8890563995065263e-08
59,1508.7500231266022,7.731667366585122e-09,1744661527.95051,1.7167764316083896e-08,229,7.537710572499441e-05,1506.2589802742004,2.4899431682669018e-08
60,1661.8233270645142,8.60579230964383e-09,1744661681.023814,1.4640030161084743e-08,252,6.892474169847164e-05,1659.3322660923004,2.3245822470728573e-08
61,1828.8165831565857,6.64555441067248e-09,1744661848.01707,1.1375296732026673e-08,277,6.981259928446986e-05,1826.3252186775208,1.8020851142699153e-08
62,2016.6992001533508,6.939368472625009e-09,1744662035.899687,1.1822503086210836e-08,305,6.764086107884993e-05,2014.2084004878998,1.8761871558835845e-08
63,2218.390711069107,6.2507945511283445e-09,1744662237.591198,1.1463458167212384e-08,335,7.173493057417219e-05,2215.8998789787292,1.7714252718340727e-08
64,2447.897624731064,5.750351468434921e-09,1744662467.0981116,9.305636362369303e-09,369,6.872602630872021e-05,2445.406826734543,1.5055987830804225e-08
65,2697.9993526935577,4.935315522014097e-09,1744662717.1998396,8.039773229377463e-09,406,6.817859519483737e-05,2695.5080513954163,1.297508875139156e-08
66,2969.426859140396,4.73123953142102e-09,1744662988.627346,6.549139555299168e-09,446,5.4933841332790156e-05,2966.93577170372,1.1280379086720189e-08
67,3275.2374877929688,3.1566478516912634e-09,1744663294.4379747,7.541421475142954e-09,491,4.8809742706289807e-05,3272.7462770938873,1.0698069326834217e-08
68,3609.9437890052795,2.8873792027468697e-09,1744663629.144276,6.611095162257409e-09,540,4.126142290274705e-05,3607.4529099464417,9.498474365004279e-09
69,3980.8362667560577,3.1216393983679753e-09,1744664000.0367537,5.36511701139283e-09,594,4.9791840143108726e-05,3978.34513092041,8.486756409760806e-09
70,4387.258293867111,2.277310643695032e-09,1744664406.4587808,5.265433880943238e-09,653,4.092970824657875e-05,4384.767468214035,7.54274452463827e-09
71,4837.4492790699005,2.1217881656795388e-09,1744664856.649766,4.835924982979801e-09,718,3.305139082453403e-05,4834.958478450775,6.95771314865934e-09
72,5337.555922031403,1.8004951086292793e-09,1744665356.756409,4.136370373988655e-09,790,3.7170730742720455e-05,5335.064839363098,5.936865482617934e-09
73,5888.840563297272,1.2702299049274171e-09,1744665908.0410502,3.3650857271884042e-09,869,2.855302350628682e-05,5886.349296569824,4.635315632115821e-09
74,6498.681621551514,1.0984753754402093e-09,1744666517.8821084,3.3625147362080194e-09,956,2.5848154500822215e-05,6495.555457830429,4.460990111648229e-09
75,7004.0387308597565,9.488293039848974e-10,1744667023.2392178,2.727133215262488e-09,1028,2.4073818917688298e-05,7001.547627210617,3.675962519247385e-09
