_runtime,_timestamp,loss_boundary,l2_error,loss,time,_step,loss_interior,step
7.64667010307312,1743776452.035244,1.5480622822617889,1.5981519064059684,124.79941088089237,3.5691709518432617,0,123.25134859863059,0
8.260239839553833,1743776452.6488137,1.602923885329698,1.6073549986069724,124.3437180013834,5.2302515506744385,1,122.74079411605369,1
8.871779203414917,1743776453.260353,1.698083284892563,1.6356814575532101,118.51729885729362,5.844256401062012,2,116.81921557240106,2
9.488387107849121,1743776453.876961,1.6111644263660365,1.709657108224291,118.96217638772032,6.4609153270721436,3,117.35101196135429,3
10.093958139419556,1743776454.482532,1.7484936600231045,1.6951984731378504,116.42851294030412,7.066347360610962,4,114.68001928028102,4
10.699534893035889,1743776455.0881088,1.656834426752281,1.4553021267574262,103.95043082146539,7.671935558319092,5,102.2935963947131,5
11.305302381515503,1743776455.6938763,1.383522445352813,1.0197499414581213,83.21956792778373,8.277735710144043,6,81.83604548243092,6
11.90968656539917,1743776456.2982605,0.7108963523372768,1.1461965161104888,36.521112746269814,8.88202166557312,7,35.810216393932535,7
12.515856742858887,1743776456.9044306,0.6985802950791511,1.0549627140566469,28.895141995200515,9.488297939300537,8,28.196561700121364,8
13.121212720870972,1743776457.5097866,0.5907359037675958,1.0085405760644517,23.281571365210333,10.093603134155273,9,22.690835461442738,9
13.726814270019531,1743776458.1153882,0.5037321425919469,0.5916364584704301,15.8465442285209,10.699211597442627,10,15.342812085928953,10
14.335837602615356,1743776458.7244115,0.21928134033770905,0.4113603093942097,9.621038694314137,11.308258533477783,11,9.401757353976429,11
14.940773725509644,1743776459.3293476,0.10937174726009836,0.7534735233538974,5.133856644142671,11.91317629814148,12,5.024484896882573,12
15.545189142227173,1743776459.933763,0.2994435827684458,0.4168604375328287,2.091772650907683,12.517654418945312,13,1.7923290681392372,13
16.15693736076355,1743776460.5455112,0.10143074689681761,0.48314586409170146,1.3547773014979139,13.12916350364685,14,1.2533465546010962,14
16.763378381729126,1743776461.1519523,0.12967809352180643,0.149930225794882,0.6248357335630803,13.735717296600342,15,0.4951576400412738,15
17.370601177215576,1743776461.759175,0.015009848457291598,0.08544784159030075,0.19152281095909143,14.342921257019043,16,0.17651296250179985,16
17.978882551193237,1743776462.3674564,0.004712427380234056,0.05862869421811826,0.10516926142048574,14.951246738433838,17,0.10045683404025169,17
18.586089849472046,1743776462.9746637,0.002345416623714963,0.030526400502883192,0.008183683442754523,15.558381080627441,18,0.00583826681903956,18
19.19182276725769,1743776463.5803967,0.0005808584286858613,0.02956943876283256,0.002971149756135985,16.164130449295044,19,0.002390291327450124,19
19.802232027053833,1743776464.190806,0.0005176650844977427,0.019380612746170933,0.001390052376472504,16.774389028549194,20,0.0008723872919747613,20
20.409793376922607,1743776464.7983673,0.00021150161509869993,0.01529479387775114,0.0005099791526080603,17.38214373588562,21,0.00029847753750936043,21
21.01935052871704,1743776465.4079244,0.00011656977589727936,0.01171221500735864,0.00030530526176040563,17.991657972335815,22,0.00018873548586312628,22
21.627458333969116,1743776466.0160322,6.972463160354083e-05,0.009749612674780979,0.0001368907736672805,18.599722146987915,23,6.716614206373968e-05,23
22.234142303466797,1743776466.6227162,4.802644893101112e-05,0.003767278810142,9.389202522877339e-05,19.206401586532593,24,4.5865576297762274e-05,24
22.842735528945923,1743776467.2313094,8.231071451348572e-06,0.0010267612043563924,3.177467801167328e-05,19.81476855278015,25,2.3543606560324708e-05,25
23.44989037513733,1743776467.8384643,6.998718602241457e-07,0.0009458996281361808,1.6897010965305156e-05,20.42222809791565,26,1.619713910508101e-05,26
24.066092014312744,1743776468.454666,5.342149132534728e-07,0.0008664998613383972,1.3119161038635732e-05,21.03840708732605,27,1.258494612538226e-05,27
24.67392110824585,1743776469.062495,4.65757745156072e-07,0.0009646097456060563,1.0797450034437159e-05,21.646125555038452,28,1.0331692289281087e-05,28
25.282186269760132,1743776469.6707602,5.725734981030625e-07,0.0008654932090492092,7.100284431304164e-06,22.254512071609497,29,6.527710933201102e-06,29
25.890233755111694,1743776470.2788076,4.7106028352362095e-07,0.0007391077849393932,6.240597345814019e-06,22.862491607666016,30,5.769537062290398e-06,30
26.501739025115967,1743776470.890313,3.627106968667319e-07,0.0009013291445122921,5.395012718862744e-06,23.474016904830933,31,5.032302021996012e-06,31
27.11135768890381,1743776471.4999316,5.01554947096668e-07,0.000794164459014118,2.839635192424712e-06,24.083637237548828,32,2.3380802453280443e-06,32
27.72188711166382,1743776472.110461,3.879624376772141e-07,0.0008311442413102828,2.4774509806390017e-06,24.69418239593506,33,2.0894885429617875e-06,33
28.336389780044556,1743776472.7249637,4.091534714741133e-07,0.0007372378792320367,2.045437035068199e-06,25.308737754821777,34,1.6362835635940857e-06,34
28.9457745552063,1743776473.3343484,3.029060783098032e-07,0.00055529689650497,1.874616805351492e-06,25.918090105056763,35,1.5717107270416888e-06,35
29.55572533607483,1743776473.9442992,2.0572270003316046e-07,0.0006169636625502151,1.6222649234010538e-06,26.527944803237915,36,1.4165422233678934e-06,36
30.165298461914062,1743776474.5538723,1.992289138508744e-07,0.0007365315040117845,1.4516384669032941e-06,27.137620210647583,37,1.2524095530524198e-06,37
30.77911925315857,1743776475.1676931,3.239298140670365e-07,0.0007000063083106406,1.135922317945211e-06,27.751373291015625,38,8.119925038781745e-07,38
31.39165210723877,1743776475.780226,2.787778909508202e-07,0.0006528154863930033,9.302996401578037e-07,28.363883018493652,39,6.515217492069835e-07,39
