_step,_runtime,time,l2_error,loss_boundary,step,_timestamp,loss_interior,loss
0,6.237677097320557,2.2598013877868652,1.6106802943980425,1.5480622822617889,0,1745425150.3913682,123.25134859863059,124.79941088089237
1,6.653837203979492,3.445768356323242,3.0518694105101445,1.6328190741702397,1,1745425150.8075283,121.9750717065221,123.60789078069234
2,7.068193197250366,3.8588199615478516,1.6456162631176134,4.5707189971980995,2,1745425151.2218843,83.80829937972376,88.37901837692186
3,7.47261905670166,4.264514446258545,1.1913403775765377,1.319242766819116,3,1745425151.62631,66.98545850318934,68.30470127000845
4,7.87744927406311,4.6693806648254395,0.6387240104661229,0.7611503493020043,4,1745425152.0311403,64.9540247797848,65.7151751290868
5,8.287749767303467,5.079623699188232,1.0153114014914817,0.23318964576537474,5,1745425152.4414408,43.02885537223248,43.26204501799785
6,8.701735019683838,5.493568420410156,1.0304809701721354,0.5174490585788707,6,1745425152.855426,33.96718166763838,34.48463072621725
7,9.114232063293457,5.906134128570557,1.0317176577722376,0.5355874667438996,7,1745425153.267923,28.411403975346058,28.946991442089956
8,9.527841091156006,6.31976580619812,0.407964781166255,0.5401952506175958,8,1745425153.6815321,24.537331442190187,25.077526692807783
9,9.944862842559814,6.736794948577881,0.28193600018479525,0.09956571417700798,9,1745425154.098554,17.462524720257427,17.562090434434435
10,10.351617097854614,7.143488168716431,0.25174092558956,0.06600126882524728,10,1745425154.5053082,9.208045698046638,9.274046966871884
11,10.75646710395813,7.548328876495361,0.22547576696750146,0.04554651291458987,11,1745425154.9101582,5.274185586469271,5.31973209938386
12,11.161324262619019,7.953179597854614,0.18661968459938139,0.03275917645870385,12,1745425155.3150153,3.4182903155142768,3.4510494919729804
13,11.569970846176147,8.361909866333008,0.15813572559236208,0.024191814312279476,13,1745425155.723662,2.3648492134329357,2.389041027745215
14,11.983502864837646,8.77540135383606,0.14658487990038968,0.015588202502326436,14,1745425156.137194,1.6795090751064548,1.6950972776087811
15,12.395220279693604,9.187119483947754,0.18865844176332985,0.012436356780023907,15,1745425156.5489113,1.3761821799644482,1.388618536744472
16,12.799081087112427,9.591039180755615,0.19973971711780697,0.01764051960311709,16,1745425156.9527721,0.6815979909350366,0.6992385105381537
17,13.205430030822754,9.997310638427734,0.18390838392356823,0.021485323778189125,17,1745425157.359121,0.5357815905813288,0.5572669143595179
18,13.614335298538208,10.406143426895142,0.16673209501763941,0.016292359185088735,18,1745425157.7680264,0.3516957468826152,0.36798810606770394
19,14.020498991012573,10.81232213973999,0.14602572832131827,0.013865722431318176,19,1745425158.17419,0.26177596190195546,0.27564168433327363
20,14.425408840179443,11.21724796295166,0.1294058763822754,0.011673460952734338,20,1745425158.5791,0.16698996240541436,0.1786634233581487
21,14.838142395019531,11.62719178199768,0.12387001415187879,0.008511826261223095,21,1745425158.9918334,0.11189724565377517,0.12040907191499826
22,15.248451709747314,12.040293455123901,0.11667111983877179,0.007666072823403562,22,1745425159.4021428,0.1026020131873829,0.11026808601078647
23,15.65773892402649,12.449632406234741,0.10494259323422048,0.00645051454446792,23,1745425159.81143,0.06695231963823245,0.07340283418270037
24,16.066955089569092,12.858886003494263,0.09386329535151139,0.00526189028914391,24,1745425160.2206461,0.046660482239746705,0.05192237252889061
25,16.478557348251343,13.270446538925171,0.08153316246310503,0.004148411729570944,25,1745425160.6322484,0.034455069422690325,0.03860348115226127
26,16.8955135345459,13.687453746795654,0.07213023731072,0.0030999335419765964,26,1745425161.0492046,0.027489193996219952,0.03058912753819655
27,17.30492854118347,14.096802473068237,0.06047119673120033,0.0026537768503539293,27,1745425161.4586196,0.02603674559916277,0.0286905224495167
28,17.71460223197937,14.50652265548706,0.050838576549751435,0.0018370208652310981,28,1745425161.8682933,0.014822050046378423,0.016659070911609522
29,18.1288423538208,14.92075514793396,0.04655749868276409,0.0012975772957878582,29,1745425162.2825334,0.012369351057805242,0.013666928353593101
30,18.542855739593506,15.334811687469482,0.0506752549522787,0.0010213716731591873,30,1745425162.6965468,0.051232032974054126,0.052253404647213314
31,18.946169137954712,15.738095760345459,0.043574418443865275,0.0012531347960041343,31,1745425163.0998602,0.00913038180586284,0.010383516601866974
32,19.353665828704834,16.14559769630432,0.03875027066059869,0.0009892076278671116,32,1745425163.507357,0.028359791452867326,0.029348999080734437
33,19.77298378944397,16.56490397453308,0.03366950484859397,0.0007965836103641708,33,1745425163.9266748,0.006202394828058724,0.006998978438422895
34,20.17724299430847,16.969170570373535,0.02823976521471555,0.0006287448576365841,34,1745425164.330934,0.0031857990203151385,0.0038145438779517227
35,20.586829900741577,17.3786940574646,0.02341064561011599,0.0004285268977113207,35,1745425164.740521,0.002410840788798572,0.002839367686509893
36,20.99047613143921,17.7823703289032,0.0204588256730321,0.0002739210189896688,36,1745425165.1441672,0.002287351603960546,0.0025612726229502147
37,21.393516063690186,18.185416221618652,0.018025845973438454,0.0002119584758881442,37,1745425165.547207,0.0012957921224878884,0.0015077505983760325
38,21.802635192871094,18.594566106796265,0.015003335762834026,0.00019179305902897555,38,1745425165.9563262,0.0010514029696664412,0.0012431960286954167
39,22.20639991760254,18.99833583831787,0.007119716474292535,0.00013741793500141026,39,1745425166.360091,0.00213882510895288,0.0022762430439542906
40,22.61610746383667,19.408013343811035,0.00514867018008935,5.045246975594233e-05,40,1745425166.7697985,0.0017375982721615766,0.001788050741917519
41,23.433107376098633,20.22498083114624,0.006681257768411979,4.983886345312415e-05,42,1745425167.5867984,0.0006123965025036275,0.0006622353659567517
