time,_step,l2_error,_runtime,_timestamp,loss_boundary,loss,step,loss_interior
2.628190040588379,0,1.5955482658428457,5.4013285636901855,1743767524.2388265,1.5480622822617889,124.79941088089237,0,123.25134859863059
4.106403350830078,1,1.6091491150265094,6.681205987930298,1743767525.518704,1.5984079428238942,124.61168288659601,1,123.01327494377212
5.387969255447388,2,1.609653843638518,7.961807489395142,1743767526.7993054,1.7007275987280637,118.10105198550711,2,116.40032438677905
6.6708738803863525,3,1.8652159611822257,9.24395203590393,1743767528.08145,1.575572618872333,120.36845436826245,3,118.79288174939012
7.952185392379761,4,1.700966757545071,10.525095224380493,1743767529.3625932,1.9616585197867422,110.99869428033988,4,109.03703576055314
9.23478651046753,5,1.444929917515202,11.807746648788452,1743767530.6452446,1.5977441304358837,96.80938832209927,5,95.21164419166338
10.515468120574951,6,1.0689601299804175,13.08836817741394,1743767531.9258661,1.3750214963831004,83.61793398754968,6,82.24291249116658
11.795954465866089,7,0.4832174680983314,14.368972778320312,1743767533.2064707,0.6728242984158779,29.979136230082705,7,29.306311931666826
13.081683158874512,8,0.27112726151683175,15.654511451721191,1743767534.4920094,0.14467190943497577,3.5156000630510453,8,3.37092815361607
14.358074188232422,9,0.2641148002170406,16.930903434753418,1743767535.7684014,0.04492616546565683,1.0540982718858394,9,1.0091721064201826
15.638369798660278,10,0.17180231622285885,18.2112135887146,1743767537.0487115,0.04191553099104354,0.3950266718251482,10,0.35311114083410466
16.918899297714233,11,0.1133329769025758,19.4917733669281,1743767538.3292713,0.016968291583894037,0.19587834222355768,11,0.17891005063966364
18.20010995864868,12,0.08278021468957307,20.77294158935547,1743767539.6104395,0.007161621346567261,0.09974690823760193,12,0.09258528689103468
19.48100709915161,13,0.06438284591371081,22.053842544555664,1743767540.8913405,0.003922590626279337,0.06828350221538919,13,0.06436091158910985
20.76253080368042,14,0.05207323644315291,23.33549451828003,1743767542.1729925,0.0027394157143744977,0.04765574627935367,14,0.04491633056497917
22.04464101791382,15,0.046624177965896796,24.617812633514404,1743767543.4553106,0.0019543077251325293,0.03484347612841733,15,0.032889168403284805
23.337186574935913,16,0.04225376229697272,25.91027855873108,1743767544.7477765,0.0015142333712764243,0.028002028357007422,16,0.026487794985731
24.62176203727722,17,0.04152970453633046,27.19461679458618,1743767546.0321147,0.0011722603579945954,0.022139196043667375,17,0.020966935685672778
25.911804676055908,18,0.04368395433493765,28.48483633995056,1743767547.3223343,0.0010054060340111476,0.01757246119815973,18,0.01656705516414858
27.198427200317383,19,0.04260028068391786,29.77129292488098,1743767548.6087909,0.001230259602708094,0.014788012181306874,19,0.01355775257859878
28.483370542526245,20,0.04702194378184155,31.056187629699707,1743767549.8936856,0.001189263686289693,0.012512632655731954,20,0.011323368969442261
29.769638776779175,21,0.04318906550414651,32.342520236968994,1743767551.1800182,0.001267377132141373,0.00995682538443542,21,0.008689448252294047
31.050878047943115,22,0.04030246976781725,33.623685359954834,1743767552.4611833,0.0010096435721664327,0.008509626604162938,22,0.007499983031996504
32.332371950149536,23,0.038049191484440456,34.90531325340271,1743767553.7428112,0.0008863502773408631,0.007107447638961176,23,0.006221097361620313
33.609397649765015,24,0.03937638166884272,36.182239055633545,1743767555.019737,0.0008105420898489586,0.006116869616387931,24,0.005306327526538973
34.89076590538025,25,0.034785740058972,37.46356511116028,1743767556.301063,0.0008283904234013548,0.004782000030377321,25,0.003953609606975966
36.17156672477722,26,0.037465776241641005,38.744438886642456,1743767557.5819368,0.000631765997844168,0.004388864283116847,26,0.003757098285272679
37.45527100563049,27,0.03679832080545618,40.02809119224548,1743767558.8655891,0.000837147862030097,0.0036932237079559875,27,0.0028560758459258906
38.73303985595703,28,0.03403467217381925,41.30616521835327,1743767560.1436632,0.0007661662504438678,0.0027203105559415837,28,0.0019541443054977158
40.016433000564575,29,0.03203568449616866,42.58949255943298,1743767561.4269905,0.0006413366339659115,0.0022367793915967433,29,0.0015954427576308319
41.30390667915344,30,0.030416083962591357,43.87689805030823,1743767562.714396,0.0005149730147876567,0.001897006295877532,30,0.0013820332810898753
42.585718631744385,31,0.030352454059230403,45.15860342979431,1743767563.9961014,0.0005045009812242604,0.0016918967020913436,31,0.0011873957208670832
43.866867542266846,32,0.028696013175431096,46.439754247665405,1743767565.2772522,0.0004994478589570734,0.0013685335205390814,32,0.0008690856615820079
45.14942789077759,33,0.02574767980223203,47.722227573394775,1743767566.5597255,0.0004652365365415236,0.0012304514540614911,33,0.0007652149175199674
46.42901873588562,34,0.023200367050556107,49.00195789337158,1743767567.8394558,0.0003627733897788419,0.0009238241465562927,34,0.0005610507567774507
47.70545792579651,35,0.02091133628591457,50.27829313278198,1743767569.115791,0.00028561445740228137,0.0007128291198188025,35,0.0004272146624165211
48.98615884780884,36,0.01913585247229156,51.559038162231445,1743767570.396536,0.00023717549231594775,0.0005925140530197577,36,0.0003553385607038099
50.27171087265015,37,0.017082125367138074,52.84452486038208,1743767571.6820228,0.00019449162280766246,0.0004447118005611567,37,0.0002502201777534942
51.5562469959259,38,0.013863462394264612,54.12904405593872,1743767572.966542,0.0001646641425039434,0.00031055800656437757,38,0.00014589386406043417
52.833213567733765,39,0.013023228675887283,55.40604257583618,1743767574.2435405,0.00011461133585533821,0.00021631269214252767,39,0.00010170135628718946
54.11343812942505,40,0.009860530048744931,56.68627166748047,1743767575.5237696,8.974540557695156e-05,0.0001795564767868461,40,8.981107120989455e-05
56.670554637908936,41,0.008404547447998342,59.24378752708435,1743767578.0812855,4.670797533110325e-05,7.952765661532778e-05,42,3.2819681284224536e-05
