loss_interior,_step,loss,l2_error,step,time,_timestamp,loss_boundary,_runtime
123.25134859863059,0,124.79941088089237,1.6033671395082305,0,1.6595838069915771,1745961736.1917794,1.5480622822617889,4.688533306121826
122.7057797940136,1,124.32756185758362,1.5578926402002071,1,2.170224189758301,1745961736.460351,1.6217820635700264,4.957104921340942
114.5756356261017,2,116.14677136833285,1.8460636119257463,2,2.435645818710327,1745961736.7273614,1.571135742231153,5.224115371704102
112.50434527718369,3,114.57067154638072,1.8460636119257463,3,2.699256658554077,1745961736.989107,2.066326269197035,5.485860824584961
114.36897844910571,4,116.3038736750914,1.8460636119257463,4,2.976835012435913,1745961737.2668188,1.9348952259856897,5.763572692871094
113.07113828253377,5,115.03612400147604,1.8522492387867056,5,3.2548773288726807,1745961737.5447476,1.964985718942272,6.041501522064209
115.7431724729099,6,117.59306360413598,1.873963512359556,6,3.5387356281280518,1745961737.8286371,1.8498911312260706,6.325391054153442
114.30184247668522,7,116.46785797094824,1.873963512359556,7,3.82550311088562,1745961738.1158252,2.1660154942630263,6.612579107284546
111.84088499179487,8,113.74959719610557,1.873963512359556,8,4.1044769287109375,1745961738.394647,1.9087122043106972,6.8914008140563965
107.79601877186053,9,109.79382758844574,1.873963512359556,9,4.380125522613525,1745961738.6698864,1.9978088165852086,7.166640281677246
114.46658840241899,10,116.49032359768111,1.873963512359556,10,4.645723581314087,1745961738.9358156,2.023735195262125,7.43256950378418
113.00939989882878,11,114.86337621938361,1.873963512359556,11,4.918982267379761,1745961739.2087443,1.8539763205548283,7.705498218536377
111.75030769505095,12,113.62611850235812,1.873963512359556,12,5.18447732925415,1745961739.4742997,1.8758108073071769,7.971053600311279
115.39510550568586,13,117.1629540524101,1.873963512359556,13,5.460407018661499,1745961739.750139,1.7678485467242369,8.246892929077148
116.47242426404205,14,118.42457033052708,1.901751636335168,14,5.72781777381897,1745961740.0180848,1.952146066485022,8.514838695526123
115.4104221668967,15,117.33549582343893,1.9270350051358613,15,5.988258600234985,1745961740.2781549,1.9250736565422395,8.774908781051636
115.18753664926203,16,117.37721989650848,1.9270350051358613,16,6.249696731567383,1745961740.53975,2.1896832472464505,9.036504030227661
114.35778971099757,17,116.30342799281931,1.9270350051358613,17,6.517864942550659,1745961740.8076794,1.9456382818217481,9.304433345794678
113.67744183958287,18,115.80078214314915,1.9270350051358613,18,6.793471336364746,1745961741.0832098,2.123340303566275,9.579963684082031
114.28461606743416,19,116.1024613578676,1.9270350051358613,19,7.076428174972534,1745961741.3662167,1.817845290433439,9.86297059059143
112.15073767927169,20,114.13169753266422,1.9270350051358613,20,7.357517957687378,1745961741.6473858,1.9809598533925328,10.144139766693115
111.00435537976152,21,113.04276032926687,1.9270350051358613,21,7.644371509552002,1745961741.934366,2.038404949505354,10.431119918823242
114.30609227863823,22,116.47886989576958,1.9270350051358613,22,7.923243284225464,1745961742.2131226,2.172777617131339,10.709876537322998
112.68960806419005,23,114.86266389407464,1.9357771609568333,23,8.214202880859375,1745961742.5042012,2.173055829884592,11.00095510482788
112.09159599384388,24,114.18247427686303,1.9357771609568333,24,8.494902610778809,1745961742.7847693,2.090878283019146,11.28152322769165
115.07093918681785,25,117.26756022709668,1.9357771609568333,25,8.763073205947876,1745961743.0529528,2.1966210402788326,11.54970669746399
116.83445153904411,26,119.05120491714828,1.9357771609568333,26,9.024327516555786,1745961743.3141649,2.216753378104174,11.810918807983398
117.00016393782776,27,118.92579679887373,1.9357771609568333,27,9.285691499710083,1745961743.5757904,1.9256328610459663,12.07254433631897
112.57607573725508,28,114.61680100592434,1.9716688435155074,28,9.558253765106201,1745961743.8483474,2.040725268669261,12.345101356506348
112.15544222632023,29,114.40914375652528,2.106926011242094,29,9.8178551197052,1745961744.107717,2.253701530205046,12.60447096824646
112.78236788224149,30,115.51111253242011,2.106926011242094,30,10.080066442489624,1745961744.369904,2.72874465017863,12.866657972335815
109.61955617744627,31,112.06765118821563,2.106926011242094,31,10.341007471084595,1745961744.6308599,2.4480950107693698,13.12761378288269
109.15024592350147,32,111.39350079691683,2.2817745067290938,32,10.61391806602478,1745961744.903759,2.2432548734153506,13.400512933731079
118.67160186811377,33,121.37615838934992,2.2817745067290938,33,10.88640832901001,1745961745.1761696,2.7045565212361518,13.672923564910889
108.85790228012362,34,111.50613099387132,2.2817745067290938,34,11.154917001724243,1745961745.4447849,2.648228713747703,13.94153881072998
114.71774779805541,35,117.42687167180132,2.2817745067290938,35,11.432350158691406,1745961745.7221513,2.709123873745909,14.218905210494995
114.29801194548826,36,117.1250725577368,2.2817745067290938,36,11.710512638092041,1745961746.0005715,2.8270606122485384,14.497325420379639
113.08869014511507,37,116.11044520194953,2.4006465017553786,37,11.980834484100342,1745961746.2706487,3.0217550568344627,14.767402648925781
113.6404580495473,38,116.63209645054215,2.1215045568662436,38,12.254053115844727,1745961746.544051,2.9916384009948462,15.040804862976074
105.8864478090362,39,108.11423368412505,2.1215045568662436,39,12.519623756408691,1745961746.809386,2.22778587508886,15.306139945983887
112.37534178963327,40,114.73026265529363,2.0325735049230125,40,12.787616729736328,1745961747.077716,2.354920865660359,15.574470043182373
108.8354750436707,41,110.9883158379577,1.5072441815198276,42,13.312410116195679,1745961747.6022367,2.1528407942870045,16.09899067878723
108.12561090300123,42,110.87846179404016,2.0969356318793673,46,14.359327554702759,1745961748.6491454,2.752850891038935,17.145899295806885
99.93702786420386,43,102.64680853515044,2.1359043831952884,50,15.430137395858765,1745961749.7199059,2.709780670946585,18.216659784317017
