_runtime,time,_step,loss_interior,_timestamp,loss_boundary,loss,l2_error,step
6.754755735397339,3.046765089035034,0,123.25134859863059,1743741494.7647967,1.5480622822617889,124.79941088089237,2.0418127879460863,0
8.037241458892822,5.1285974979400635,1,115.53812401871666,1743741496.0472825,2.249760925537482,117.78788494425415,1.9145297928828264,1
9.329840898513794,6.422217130661011,2,110.6497939185879,1743741497.339882,2.2574118059358086,112.9072057245237,1.6872629495776896,2
10.610885858535767,7.703429937362671,3,110.1177111527605,1743741498.6209269,1.556575831261615,111.67428698402212,1.7481825593246996,3
11.89011263847351,8.982718229293823,4,105.18750626992733,1743741499.9001536,1.7182585667965702,106.90576483672389,1.2118135815036353,4
13.169793128967285,10.262291431427002,5,65.81671919247742,1743741501.1798341,0.8763466144029142,66.69306580688034,1.8273292008847606,5
14.449520111083984,11.542088031768799,6,33.46532069327435,1743741502.459561,2.072041731084535,35.53736242435888,1.3568823015982907,6
15.730615377426147,12.823028087615967,7,22.140557265336135,1743741503.7406564,1.1261316834447046,23.26668894878084,0.8144944107834833,7
17.011603593826294,14.104291677474976,8,4.458277939608791,1743741505.0216446,0.40692349509589815,4.865201434704689,1.0337120542727887,8
18.290410041809082,15.383103609085083,9,0.4085940670888887,1743741506.300451,0.573333119525295,0.9819271866141837,0.3267917506935697,9
19.575063228607178,16.667668342590332,10,0.08315161428395665,1743741507.5851042,0.07503249434444394,0.1581841086284006,0.1134294111329063,10
20.859714031219482,17.952300310134888,11,0.012659806967724646,1743741508.869755,0.009220093531177637,0.02187990049890228,0.0876081573406723,11
22.136562824249268,19.229078769683838,12,0.007871307044144918,1743741510.1466038,0.00479919068247795,0.012670497726622869,0.07309664929910127,12
23.413735151290894,20.506407737731934,13,0.005486411098102555,1743741511.4237761,0.0032243403520890376,0.008710751450191592,0.06120800806854906,13
24.693888425827026,21.786418676376343,14,0.003951955180472774,1743741512.7039294,0.0024469772669956226,0.006398932447468397,0.052956681453083757,14
25.983158588409424,23.07538604736328,15,0.002626489588100954,1743741513.9931996,0.001712195759343465,0.004338685347444419,0.04373144848724394,15
27.27340793609619,24.365793466567993,16,0.0018950088523249666,1743741515.283449,0.0011506507092013147,0.0030456595615262812,0.03714239430994574,16
28.56245255470276,25.655115842819214,17,0.0013421025646186693,1743741516.5724936,0.0008872691320524582,0.0022293716966711274,0.03362441967771981,17
29.854562759399414,26.946882009506226,18,0.0009035661662843563,1743741517.8646038,0.0006299033228239949,0.001533469489108351,0.028325961259072687,18
31.138289213180542,28.23084545135498,19,0.0006338733671217952,1743741519.1483302,0.0004934023446328597,0.0011272757117546548,0.01819747625058271,19
32.4212589263916,29.513925552368164,20,0.00034630921426936586,1743741520.4313,0.00020623228985942573,0.0005525415041287916,0.015234135453121517,20
33.70559525489807,30.79818820953369,21,0.00025257511859402967,1743741521.7156363,0.00013516795150464,0.00038774307009866967,0.012845815127613892,21
34.99691414833069,32.08950924873352,22,0.00017527031222266517,1743741523.0069551,0.00010241777928137855,0.0002776880915040437,0.010786301615353907,22
36.27413988113403,33.366806507110596,23,9.978422295217574e-05,1743741524.2841809,6.85419548168364e-05,0.00016832617776901213,0.009598564482887133,23
37.55560779571533,34.64830422401428,24,6.156584196530711e-05,1743741525.5656488,5.448199350526086e-05,0.00011604783547056797,0.005922556790079569,24
38.84036326408386,35.932997703552246,25,2.725397791950296e-05,1743741526.8504043,1.8938950748224263e-05,4.6192928667727225e-05,0.0029405918951294144,25
40.1197669506073,37.21240544319153,26,1.3397432304166435e-05,1743741528.129808,5.004787258590647e-06,1.8402219562757082e-05,0.002095657371347913,26
41.40469217300415,38.49703407287598,27,7.176206390778881e-06,1743741529.4147332,2.762176541559244e-06,9.938382932338125e-06,0.0015855875960949653,27
42.689865827560425,39.78248357772827,28,5.043004975830589e-06,1743741530.6999068,1.7300528036304201e-06,6.773057779461009e-06,0.0013299306529288987,28
43.97418189048767,41.066604137420654,29,2.9955266546829126e-06,1743741531.984223,1.0761860285794797e-06,4.071712683262392e-06,0.001093233992794249,29
45.25933074951172,42.35171318054199,30,1.6638435849096623e-06,1743741533.2693717,8.322050545034865e-07,2.496048639413149e-06,0.0008576705351318695,30
46.54365634918213,43.636311769485474,31,1.1268398282604444e-06,1743741534.5536973,4.854423466049446e-07,1.6122821748653891e-06,0.0008309173887938413,31
47.82574248313904,44.91841721534729,32,8.773283632528784e-07,1743741535.8357835,4.1883078182967547e-07,1.2961591450825538e-06,0.0007475410152190222,32
49.110896825790405,46.203545570373535,33,6.940321688181994e-07,1743741537.1209378,3.670237332111303e-07,1.0610559020293296e-06,0.0005320763816238451,33
50.39695763587952,47.489208459854126,34,5.722284476485007e-07,1743741538.4069986,1.7752451613672455e-07,7.497529637852252e-07,0.00048795503057027443,34
51.68126463890076,48.77381873130798,35,4.955831270669921e-07,1743741539.6913056,1.3791970866044708e-07,6.335028357274392e-07,0.0004862636384997632,35
52.969765424728394,50.06237173080444,36,3.6784188605517737e-07,1743741540.9798064,1.431912639405059e-07,5.110331499956832e-07,0.00047032595820189474,36
54.25503420829773,51.34758424758911,37,2.6742439470149156e-07,1743741542.2650752,1.536253145894177e-07,4.2104970929090926e-07,0.00033255150538140973,37
55.54115056991577,52.63380241394043,38,1.5685107184201896e-07,1743741543.5511916,7.713175394334981e-08,2.3398282578536878e-07,0.00032724043408244335,38
56.82455897331238,53.9171929359436,39,1.3179368005588414e-07,1743741544.8346,6.619951064945536e-08,1.979931907053395e-07,0.00031522253503056264,39
