loss_boundary,loss,step,_step,_runtime,time,l2_error,_timestamp,loss_interior
1.5480622822617889,124.79941088089237,0,0,15.579699039459229,12.606505870819092,1.5925698542597109,1744654918.604585,123.25134859863059
1.5903281609980613,124.35455800810747,1,1,26.37381672859192,23.699933767318726,1.5982885068790973,1744654929.3987026,122.76422984710942
1.680764497359557,118.85428071483753,2,2,36.79124736785889,34.11655950546265,1.5927561322382493,1744654939.8161333,117.17351621747797
1.5286084239782631,120.16241665095443,3,3,47.02459383010864,44.35026264190674,1.5572016294199673,1744654950.0494797,118.63380822697616
1.452860246703436,117.46796694198942,4,4,54.74037289619446,52.06679010391235,1.5705341782562456,1744654957.7652588,116.01510669528598
1.452624268445969,112.57127813314592,5,5,62.06668019294739,59.3933527469635,1.550137679314229,1744654965.091566,111.11865386469995
1.4672196916623135,110.16698447913194,6,6,69.11325573921204,66.44001460075378,1.6367223264761475,1744654972.1381416,108.69976478746963
1.526046080732333,93.78405491061605,7,7,75.9274206161499,73.25420832633972,1.9563616094458207,1744654978.9523065,92.25800882988372
2.1363579787998166,34.266643952718354,8,8,82.21194624900818,79.53880095481873,1.2502583048155498,1744654985.2368321,32.13028597391854
0.7848635665479132,7.673830791870271,9,9,88.32408452033997,85.65063953399658,1.1875222982507456,1744654991.3489704,6.888967225322358
0.7043230878141811,4.353958609236697,10,10,94.58125495910645,91.90790557861328,0.39289032446434735,1744654997.6061409,3.6496355214225162
0.08385622624861472,0.998702935990124,11,11,101.03936386108398,98.36598658561707,0.4686453201015889,1744655004.0642498,0.9148467097415094
0.10474183889342244,0.3377910588776829,12,12,107.42450881004333,104.75131607055664,0.21970828221888344,1744655010.4493947,0.23304921998426045
0.026705496636013237,0.0814838358518252,13,13,114.12643265724182,111.45325064659119,0.07440342586848654,1744655017.1513186,0.05477833921581197
0.00327524086175599,0.030044204842594215,14,14,120.8903455734253,118.2171196937561,0.03109550240864017,1744655023.9152315,0.026768963980838226
0.0006285866363431869,0.01439158669510095,15,15,127.7264449596405,125.0532476902008,0.06255170328742664,1744655030.7513309,0.013763000058757763
0.0019440645829992293,0.00503374566599109,16,16,134.6097056865692,131.93650794029236,0.011648115410953553,1744655037.6345916,0.0030896810829918603
8.480261166108077e-05,0.0014400001657365118,17,17,141.52064776420593,138.84652256965637,0.02716039613306302,1744655044.5455337,0.001355197554075431
0.00036573898414292026,0.0006567948665158226,18,18,148.54867935180664,145.87507319450378,0.008425358009980195,1744655051.5735652,0.0002910558823729023
3.6227721187126196e-05,0.00021241758634998051,19,19,155.63978028297424,152.96661376953125,0.00660075457703035,1744655058.6646662,0.00017618986516285432
2.328871944762916e-05,6.893694828628313e-05,20,20,162.76154804229736,160.08838939666748,0.0032846005488758804,1744655065.786434,4.564822883865398e-05
5.926114930726433e-06,3.0699465853978506e-05,21,21,169.8589208126068,167.185729265213,0.0013396464251813221,1744655072.8838067,2.4773350923252074e-05
1.2497891918265773e-06,1.342950245181545e-05,22,22,176.95169234275818,174.27855587005615,0.0013674603545984403,1744655079.9765782,1.2179713259988872e-05
1.1651506391319886e-06,8.80881184455912e-06,23,23,184.0712809562683,181.39812755584717,0.001554912519892899,1744655087.0961668,7.64366120542713e-06
1.526984342005927e-06,6.38678135971657e-06,24,24,191.12357258796692,188.44993472099304,0.0014649199270361864,1744655094.1484585,4.859797017710643e-06
1.234696720113991e-06,5.299290773841824e-06,25,25,198.23735404014587,195.56399393081665,0.0009910467623135135,1744655101.26224,4.064594053727834e-06
6.510077283429503e-07,3.7665289750707806e-06,26,26,205.34346842765808,202.66943049430847,0.000737098141593238,1744655108.3683543,3.1155212467278303e-06
3.7388082742954464e-07,2.987710224618491e-06,27,27,212.50311040878296,209.82917594909668,0.0007191886894816907,1744655115.5279963,2.6138293971889465e-06
3.691269759650707e-07,2.1192271258001175e-06,28,28,219.57436633110046,216.90119671821594,0.0006234039178435973,1744655122.5992522,1.7501001498350468e-06
2.7399393090961115e-07,1.6854158677458788e-06,29,29,226.6761646270752,224.0022599697113,0.0005559412335223539,1744655129.7010505,1.4114219368362677e-06
2.004310809343719e-07,1.2908074662569491e-06,30,30,233.84035873413086,231.16539001464844,0.0004893800963337654,1744655136.8652446,1.0903763853225772e-06
1.7984441447835156e-07,1.0951601144137348e-06,31,31,241.0137596130371,238.33988332748413,0.0005150221506157462,1744655144.0386455,9.153156999353832e-07
1.7307424775407728e-07,8.093479126303438e-07,32,32,248.13257455825806,245.45920634269714,0.0004324567993898123,1744655151.1574605,6.362736648762665e-07
1.1172698516891152e-07,6.972125308641339e-07,33,33,255.2753608226776,252.60167121887207,0.0003340373616753473,1744655158.3002467,5.854855456952224e-07
7.59571162303196e-08,5.723258693402592e-07,34,34,262.39132165908813,259.7179834842682,0.00043296674836158436,1744655165.4162076,4.963687531099397e-07
1.0048890906567203e-07,4.176318880893494e-07,35,35,269.56907892227173,266.89584946632385,0.0003777588668094976,1744655172.5939648,3.171429790236774e-07
9.684992378726988e-08,3.825720572532867e-07,36,36,276.76566648483276,274.0920190811157,0.00031899327192130947,1744655179.7905524,2.857221334660168e-07
7.00064611224552e-08,3.2383022772116675e-07,37,37,283.94215655326843,281.2687313556671,0.0003094889237315142,1744655186.9670424,2.5382376659871156e-07
6.987951450287687e-08,3.001533141427524e-07,38,38,291.125940322876,288.4527394771576,0.00027878235534763537,1744655194.1508262,2.3027379963987553e-07
4.590629816473912e-08,2.630652434339513e-07,39,39,298.23629570007324,295.5630795955658,0.0002740733397568717,1744655201.2611816,2.1715894526921222e-07
