loss_interior,loss,loss_boundary,step,time,l2_error,_step,_runtime,_timestamp
123.25134859863059,124.79941088089237,1.5480622822617889,0,1.858384609222412,1.590002159738644,0,4.647543668746948,1745961733.7218947
122.79994244361073,124.36938096856143,1.569438524950699,1,2.5925707817077637,1.5948751304614661,1,5.139689207077026,1745961734.2140403
117.1964841706601,118.87449654893315,1.678012378273055,2,3.080878496170044,1.6069655458651801,2,5.6293957233428955,1745961734.7037468
118.33294633507427,119.90820965494842,1.5752633198741497,3,3.5632665157318115,1.6016587168846756,3,6.110464096069336,1745961735.1848152
119.78484916726006,121.32821578286058,1.543366615600522,4,4.040304660797119,1.5933090594041384,4,6.587510585784912,1745961735.6618617
117.6162160651731,119.12298025083217,1.5067641856590612,5,4.524418830871582,1.5927278736175794,5,7.071830987930298,1745961736.146182
117.43856859795842,118.97989951670898,1.5413309187505624,6,5.00822901725769,1.5781837022719973,6,7.555662631988525,1745961736.6300137
98.83608291775256,100.42722107921253,1.5911381614599622,7,5.49687123298645,1.393629496713807,7,8.044273376464844,1745961737.1186244
77.75527572348342,78.82505446730649,1.0697787438230666,8,5.979949951171875,3.927012884903948,8,8.527671575546265,1745961737.6020226
49.11618092714334,56.90204980394515,7.78586887680181,9,6.46628737449646,2.2446238633411237,9,9.013948440551758,1745961738.0882995
27.952546579706297,30.58613092257817,2.6335843428718744,10,6.950291395187378,0.7757279148203886,10,9.498264789581299,1745961738.5726159
9.311202205549183,9.66341946950969,0.35221726396050806,11,7.4352707862854,0.3565426809630586,11,9.982656478881836,1745961739.0570076
4.052136949825013,4.128721953388396,0.07658500356338269,12,7.921608924865723,0.5348530526399954,12,10.469654321670532,1745961739.5440054
0.5274045433407409,0.6837048078194556,0.15630026447871473,13,8.406731367111206,0.3173207972310847,13,10.954419374465942,1745961740.0287704
0.13112116249610728,0.1860660675833498,0.05494490508724251,14,8.890529870986938,0.09728854508046253,14,11.438089609146118,1745961740.5124407
0.012895664810468152,0.01790997959987747,0.005014314789409317,15,9.372294425964355,0.06126885255187304,15,11.919807195663452,1745961740.9941583
0.0031272245697779523,0.005048740280017904,0.0019215157102399523,16,9.85471773147583,0.0554592530146533,16,12.402780771255493,1745961741.4771318
0.002461938189018304,0.004051128254472355,0.001589190065454051,17,10.353223085403442,0.05031798100638035,17,12.9009108543396,1745961741.975262
0.0022149162535089733,0.0034498102112212763,0.001234893957712303,18,10.848881959915161,0.05031798100638035,18,13.396268844604492,1745961742.47062
0.0022083310762143096,0.0035964854348718134,0.0013881543586575038,19,11.340387344360352,0.05031798100638035,19,13.88779067993164,1745961742.9621418
0.0021514186320645604,0.0034954857649074815,0.001344067132842921,20,11.839343309402466,0.04960334260384254,20,14.387079000473022,1745961743.46143
0.0020435873168830852,0.003309364024474136,0.0012657767075910506,21,12.3355393409729,0.04845162363907759,21,14.883468627929688,1745961743.9578197
0.0019861589667524064,0.0031186718087288815,0.0011325128419764749,22,12.836312532424927,0.04690805007043545,22,15.383727788925171,1745961744.4580789
0.001815759195910991,0.002899509819092498,0.0010837506231815071,23,13.321959257125854,0.04690782032304497,23,15.869412183761597,1745961744.9437633
0.0017867399970426156,0.0028897136769608996,0.001102973679918284,24,13.803793668746948,0.04690782032304497,24,16.351223468780518,1745961745.4255745
0.0018587338931543497,0.002925259965107318,0.0010665260719529685,25,14.290701389312744,0.04690782032304497,25,16.83861255645752,1745961745.9129636
0.001783555240982907,0.002805689825493574,0.0010221345845106671,26,14.79498815536499,0.04666541177591844,26,17.342923879623413,1745961746.417275
0.0017581383800431988,0.002939634999032841,0.001181496618989642,27,15.296637773513794,0.04649189881454113,27,17.84411859512329,1745961746.9184697
0.0016935963773904745,0.002815378989873339,0.0011217826124828648,28,15.795293092727661,0.04648732041306636,28,18.342758417129517,1745961747.4171095
0.001736154333544766,0.0028187229632309,0.001082568629686134,29,16.29874610900879,0.04648732041306636,29,18.846251487731934,1745961747.9206026
0.0017049737535891258,0.0027182148644509076,0.0010132411108617818,30,16.794642210006714,0.04648732041306636,30,19.342135429382324,1745961748.4164865
0.00165075215560328,0.002728159281602888,0.0010774071259996082,31,17.29528832435608,0.04643283371686832,31,19.84280753135681,1745961748.9171586
0.001742055822217207,0.0028771880719020964,0.0011351322496848894,32,17.784010410308838,0.04643283371686832,32,20.33163046836853,1745961749.4059815
0.0017671642864466985,0.0029358867626692806,0.001168722476222582,33,18.295201063156128,0.04643283371686832,33,20.842843055725098,1745961749.9171941
0.0016309948907310132,0.002756513799162277,0.0011255189084312639,34,18.802181005477905,0.04643283371686832,34,21.352243900299072,1745961750.426595
0.0016975812729899164,0.0028255632345010676,0.0011279819615111512,35,19.30096125602722,0.04643283371686832,35,21.848313808441162,1745961750.9226649
0.0016431640424970206,0.002722814127172208,0.0010796500846751878,36,19.80273175239563,0.04643283371686832,36,22.35046648979187,1745961751.4248176
0.0017164043713873798,0.002749451090577308,0.0010330467191899282,37,20.30550265312195,0.04643283371686832,37,22.852911233901978,1745961751.9272623
0.0016845730119873351,0.0028074367023612204,0.001122863690373885,38,20.813838005065918,0.04643283371686832,38,23.361443281173706,1745961752.4357944
0.001754515928267748,0.002933218636871273,0.0011787027086035253,39,21.31415843963623,0.04643283371686832,39,23.861770153045654,1745961752.9361212
0.0017342633428669343,0.00283896640579194,0.001104703062925006,40,21.80340886116028,0.04597245583091587,40,24.351090669631958,1745961753.4254417
0.001665295159543623,0.002760610242122986,0.0010953150825793628,42,22.800602912902832,0.04597245583091587,41,25.348350763320923,1745961754.4227018
