l2_error,_timestamp,loss,loss_interior,time,loss_boundary,_step,_runtime,step
1.595552409934876,1746061273.1602395,123.64367784814445,122.17425244031242,2.6821813583374023,1.4694254078320301,0,5.478506565093994,0
2.2291925903836773,1746061274.5345008,123.91762514754998,122.40740805611303,4.273837089538574,1.510217091436961,1,6.8527679443359375,1
2.2188728358244756,1746061275.9022498,104.45540039711672,101.86401802369066,5.640228271484375,2.591382373426053,2,8.220516920089722,2
2.212895668788984,1746061277.2708094,105.58379644830968,103.01256027157007,7.009850263595581,2.5712361767396215,3,9.589076519012451,3
2.207093360139453,1746061278.6286318,108.95156077855736,106.31286926777844,8.367663621902466,2.6386915107789237,4,10.946898937225342,4
2.1961547893358455,1746061279.999566,105.61204942969215,103.08721961647151,9.738541841506958,2.5248298132206375,5,12.317833185195923,5
2.171377265506076,1746061281.37963,103.11555866346208,100.59563333010996,11.118664026260376,2.5199253333521257,6,13.69789719581604,6
2.1563273325080146,1746061282.7513733,104.57595195030211,102.09854076044098,12.490333557128906,2.4774111898611317,7,15.069640398025513,7
2.1281982453567885,1746061284.122552,104.49968012945709,102.03533258639177,13.861671686172485,2.46434754306531,8,16.440819025039673,8
2.1249684563770677,1746061285.4988675,101.77072478154973,99.37204365050924,15.23805832862854,2.398681131040494,9,17.817134618759155,9
2.0710352364925164,1746061286.8642068,100.56399943821945,98.17919084256673,16.603366136550903,2.38480859565273,10,19.18247389793396,10
2.2340869660693303,1746061288.232112,99.85953806774627,97.6124667388654,17.97126340866089,2.2470713288808755,11,20.550379037857056,11
2.2838886174119475,1746061289.5979273,94.64955056474311,91.98559466460846,19.33710289001465,2.663955900134659,12,21.916194438934326,12
2.13478791006876,1746061290.953741,88.89898794909747,86.29728847890188,20.692765712738037,2.6016994701956038,13,23.272008180618286,13
1.7635866711699253,1746061292.3238323,72.48845106180048,70.06217963365906,22.06298589706421,2.426271428141414,14,24.642099380493164,14
1.6443009681237224,1746061293.6810658,62.12665269433887,60.52743057925322,23.420170068740845,1.5992221150856514,15,25.999332904815674,15
1.5529319659658325,1746061295.0395858,57.76830255515043,56.285761257226184,24.778242588043213,1.4825412979242394,16,27.357852935791016,16
1.473569667651917,1746061296.4162018,55.117116956025555,53.76723553652107,26.1550350189209,1.349881419504487,17,28.734468936920166,17
1.3975870942613926,1746061297.7872818,52.619265952082756,51.456200752850286,27.52643656730652,1.1630651992324668,18,30.105548858642578,18
1.3356838661362307,1746061299.1590497,49.966372144936884,48.891354905672735,28.897965908050537,1.0750172392641475,19,31.477316856384277,19
1.2779107472556914,1746061300.5263429,48.227793575340975,47.23599438100651,30.265416383743286,0.9917991943344612,20,32.84460997581482,20
1.2224871065401,1746061301.8976793,45.875079787143704,44.95882477827404,31.636801719665527,0.916255008869665,21,34.215946435928345,21
1.1643342366365321,1746061303.2573962,42.52963083192354,41.64879044746354,32.99656391143799,0.88084038446,22,35.575663328170776,22
1.1203651010958129,1746061304.6173544,42.378099492546696,41.58902374270085,34.35638976097107,0.7890757498458418,23,36.93562150001526,23
1.0721286002390555,1746061305.9736602,39.19976197025947,38.44306935049855,35.712772607803345,0.7566926197609269,24,38.291927337646484,24
1.0285212048151928,1746061307.3220642,38.06479776815981,37.398872593376254,37.06125497817993,0.66592517478356,25,39.64033126831055,25
0.9845496823227357,1746061308.672585,37.55770509725108,36.95115436879329,38.411688804626465,0.6065507284577896,26,40.99085211753845,26
0.93921574397354,1746061310.0222125,35.540696157186396,34.984097994383106,39.76131725311279,0.5565981628032909,27,42.340479612350464,27
0.8962474746259022,1746061311.3725421,33.16290452674754,32.65527697867905,41.11134696006775,0.5076275480684901,28,43.69080924987793,28
0.8541732458905612,1746061312.7227862,32.773696896333924,32.29614784048999,42.46173620223999,0.4775490558439305,29,45.0410532951355,29
0.8138094500993378,1746061314.0716145,32.34980130908523,31.92244161029101,43.81071376800537,0.4273596987942173,30,46.38988161087036,30
0.7963297966584543,1746061315.43328,32.48806263143828,32.096179524544,45.17216777801514,0.39188310689428146,31,47.75154709815979,31
0.7572677663874164,1746061316.788964,30.61268834323745,30.236400243553682,46.528095722198486,0.37628809968376814,32,49.10723114013672,32
0.7412712017046384,1746061318.1449082,31.91341523130475,31.577933556124904,47.884106159210205,0.3354816751798456,33,50.46317529678345,33
0.7037323147438561,1746061319.4948688,28.737406041010956,28.403683990374105,49.23397874832153,0.3337220506368509,34,51.813135862350464,34
0.6682361712579149,1746061320.849355,26.718884507345255,26.41929547052877,50.58856463432312,0.2995890368164858,35,53.167622089385986,35
0.6369486022554833,1746061322.2132368,26.272279389072125,25.99998497498474,51.95238137245178,0.2722944140873822,36,54.53150391578674,36
0.6245839565371223,1746061323.5625808,28.152536769997916,27.899905571441348,53.30173873901367,0.2526311985565672,37,55.8808479309082,37
0.612687051231669,1746061324.9176786,28.496520253344467,28.25803448645807,54.65686798095703,0.23848576688639692,38,57.23594570159912,38
0.5867025551485925,1746061326.268894,26.230207921828697,26.004823059701906,56.00809121131897,0.22538486212679185,39,58.58716106414795,39
0.563674494027094,1746061327.6281629,23.24986178901695,23.039478000271956,57.36730980873108,0.21038378874499483,40,59.94642996788025,40
0.5337468900922735,1746061330.3262153,23.624470745281577,23.44399502874712,60.065091371536255,0.18047571653445657,41,62.644482374191284,42
0.4730895144873606,1746061335.7594354,20.76277479550144,20.62364812765062,65.49827837944031,0.13912666785081962,42,68.07770252227783,46
0.4339134032356447,1746061341.1753385,23.00034735704902,22.89267416844073,70.91436743736267,0.10767318860828713,43,73.4936056137085,50
