loss_interior,_timestamp,loss_boundary,loss,_runtime,l2_error,step,time,_step
122.17425244031242,1746064849.7879508,1.4694254078320301,123.64367784814445,10.220511674880981,1.7064183796610883,0,6.868294715881348,0
122.28045055124934,1746064855.270287,1.7319722291574207,124.01242278040677,15.702847957611084,1.636417097138001,1,12.803133964538574,1
118.34859838911929,1746064860.749564,1.5424262766766108,119.8910246657959,21.182124853134155,1.6297027716477794,2,18.283610820770264,2
121.88855792567747,1746064866.234422,1.6630501318859214,123.5516080575634,26.666982889175415,1.5038889956653645,3,23.768205642700195,3
113.91247566781381,1746064871.7113502,1.4063848509394101,115.31886051875321,32.14391112327576,1.5036231919034202,4,29.24516725540161,4
109.42097177524913,1746064877.193019,1.3672931468219025,110.78826492207104,37.625579833984375,1.4985339602881391,5,34.72648024559021,5
105.96783789610342,1746064882.6821764,1.3875071076754775,107.3553450037789,43.11473727226257,1.4833695575769195,6,40.21597623825073,6
106.4880872753548,1746064888.1617622,1.297745323796757,107.78583259915156,48.59432315826416,1.4372916081786884,7,45.69575572013855,7
101.88695585522979,1746064893.6448956,1.223202343768203,103.110158198998,54.0774564743042,1.4086667855796515,8,51.17854142189026,8
94.56685161032432,1746064899.1188838,1.1744177377058291,95.74126934803014,59.55144476890564,1.3604551812883776,9,56.652451515197754,9
86.5333131538904,1746064904.5904717,1.1546281489100143,87.68794130280043,65.02303266525269,1.312270283909787,10,62.12443661689758,10
79.70225772542216,1746064910.0638156,1.0039979641632968,80.70625568958545,70.49637651443481,1.4322381001321611,11,67.59772515296936,11
65.72240323316478,1746064915.5425258,1.142412877259214,66.864816110424,75.97508668899536,1.3435254183073673,12,73.07643818855286,12
52.84433750530021,1746064921.0220132,0.9288605859453574,53.77319809124557,81.45457410812378,1.4624713589640772,13,78.55559611320496,13
43.94964317998905,1746064926.509899,1.169378291698542,45.119021471687596,86.94245982170105,1.5301225173260677,14,84.04342579841614,14
36.41718118707356,1746064932.0060256,1.2224947750381074,37.63967596211167,92.43858647346497,1.4990589372110203,15,89.53987264633179,15
30.477225092046623,1746064937.519736,1.1668877527778245,31.64411284482445,97.95229697227478,1.434416904317611,16,95.05349135398865,16
17.5370372252932,1746064948.502366,1.0691736745088678,18.60621089980207,108.93492698669434,1.383209116552646,18,106.03607058525085,17
8.527010327229698,1746064959.4670775,1.3896189976764624,9.916629324906161,119.89963841438293,1.6462534069858832,20,117.00064826011658,18
5.739481923297196,1746064970.4251838,1.3685880513985835,7.108069974695779,130.8577446937561,1.680234813022015,22,127.95905756950378,19
4.659735323473255,1746064981.3779557,1.3343433580179287,5.9940786814911835,141.81051659584045,1.585712107750319,24,138.9118914604187,20
4.04508287822778,1746064992.339267,1.1760006165161652,5.2210834947439455,152.77182793617249,1.5217315778081995,26,149.87270045280457,21
2.8773695936705206,1746065008.7691123,1.025812933941245,3.9031825276117655,169.20167326927185,1.3958889925533644,29,166.30305290222168,22
2.3999593429960204,1746065019.7281554,0.886330181784369,3.2862895247803894,180.1607162952423,1.3085941197912712,31,177.26206254959106,23
1.7282682074317823,1746065041.6240294,0.6639511100094572,2.3922193174412394,202.0565903186798,1.130922493767005,35,199.15769958496094,24
1.3307729118616671,1746065057.9860654,0.5299899698663801,1.8607628817280473,218.41862630844116,1.0022023206731872,38,215.52006077766418,25
0.7958545001325129,1746065079.7848775,0.3541806528071844,1.1500351529396973,240.21743845939636,0.7931989469341759,42,237.31859636306763,26
0.34325205003923553,1746065101.5892222,0.16939177489024423,0.5126438249294798,262.0217831134796,0.5259863745610156,46,259.1230962276459,27
0.11075731891391306,1746065123.3864183,0.04418956858605472,0.15494688749996777,283.81897926330566,0.25291192109428495,50,280.91976165771484,28
0.025701780518535444,1746065150.6320808,0.0069463108488499355,0.032648091367385376,311.06464171409607,0.08886388699455795,55,308.1660714149475,29
0.001707911773061906,1746065183.310975,0.00013799388366110348,0.0018459056567230094,343.7435359954834,0.014379314492819617,61,340.8446526527405,30
9.28562560642075e-05,1746065215.9491007,4.936234597008975e-05,0.00014221860203429725,376.3816616535187,0.011437130289732804,67,373.48310232162476,31
2.3016496455048015e-05,1746065248.6071746,7.574332907937088e-06,3.0590829362985105e-05,409.0397355556488,0.0031489449939949075,73,406.1409409046173,32
8.587186132758057e-06,1746065292.1369474,2.1325667465002416e-06,1.07197528792583e-05,452.5695083141327,0.0016788648916434053,81,449.67059421539307,33
3.824243706445456e-06,1746065335.6644356,4.90288259020799e-07,4.314531965466255e-06,496.0969965457916,0.0007414789268385068,89,493.19824624061584,34
8.774111519227206e-07,1746065384.645141,2.963205050259637e-07,1.1737316569486842e-06,545.0777018070221,0.000639555073152843,98,542.1788904666901,35
3.0871967590355727e-07,1746065433.6364267,1.4641688864174366e-07,4.551365645453009e-07,594.0689876079559,0.00043891562431620936,107,591.1698570251465,36
2.328272382006959e-07,1746065493.4893627,7.262398642293429e-08,3.054512246236302e-07,653.9219236373901,0.00032030894563149384,118,651.0230424404144,37
9.966653630434983e-08,1746065558.7612407,7.405048451889131e-08,1.7371702082324115e-07,719.1938016414642,0.00035655677426023476,130,716.2947945594788,38
4.629309072545886e-08,1746065629.4706433,6.384356547802501e-08,1.1013665620348387e-07,789.903204202652,0.0003091755988844017,143,787.0042667388916,39
4.1167812019168344e-08,1746065705.6230545,2.9216138392611708e-08,7.038395041178005e-08,866.0556154251099,0.00021397602189092841,157,863.1567850112915,40
2.6958739639712213e-08,1746065787.216045,2.121568100109603e-08,4.8174420640808244e-08,947.6486058235168,0.00019222253456443173,172,944.7495367527008,41
