_runtime,_timestamp,time,loss_interior,loss_boundary,step,l2_error,loss,_step
5.997771978378296,1746064947.909092,2.7047061920166016,122.17425244031242,1.4694254078320301,0,1.5966423581507123,123.64367784814445,0
7.360150575637817,1746064949.2714705,4.420551538467407,122.36168309346878,1.5092147922754922,1,1.61413300119017,123.87089788574427,1
8.719180583953857,1746064950.6305006,5.778357267379761,117.70290719515717,1.496443452921952,2,1.5620442107913335,119.19935064807912,2
10.07478928565979,1746064951.9861093,7.134731292724609,116.07881918882326,1.536025641575536,3,1.5174660682914483,117.6148448303988,3
11.45927357673645,1746064953.3705935,8.519380569458008,111.80009797755766,1.4409011914457561,4,1.5819857996893907,113.24099916900342,4
12.833282470703125,1746064954.7446024,9.893095254898071,99.65061663442714,1.494192087930917,5,2.460112110911941,101.14480872235805,5
14.218186616897583,1746064956.1295066,11.278009414672852,68.32986187922523,3.3906505970501546,6,1.7867379667198153,71.72051247627539,6
15.597688913345337,1746064957.509009,12.657299518585205,46.28133800751796,1.8714823122919129,7,1.4262596134218133,48.15282031980987,7
16.984639883041382,1746064958.8959599,14.044130086898804,22.662995041069394,1.09877228333958,8,1.0942361626959807,23.761767324408975,8
18.37995147705078,1746064960.2912714,15.439475536346436,11.376788174915816,0.5871120337222513,9,0.5327088712416239,11.963900208638067,9
19.755585193634033,1746064961.6669052,16.815115928649902,4.206090356289755,0.1346562699325379,10,0.23541874564139809,4.340746626222293,10
21.146767377853394,1746064963.0580873,18.20630145072937,0.8977787809501303,0.02890271234358468,11,0.10768511907075196,0.926681493293715,11
22.549662351608276,1746064964.4609823,19.60913634300232,0.20917943528459512,0.0070969379033538815,12,0.13160845852777264,0.216276373187949,12
23.93801736831665,1746064965.8493373,20.99760913848877,0.05725936250581522,0.009007557245980733,13,0.12690228439747503,0.06626691975179595,13
25.31086015701294,1746064967.2221801,22.370436906814575,0.011257478288451533,0.00796464770191278,14,0.021704812533938085,0.01922212599036431,14
26.696898937225342,1746064968.608219,23.756540536880493,0.0004860060533875935,0.00024065749541181836,15,0.015321558463023166,0.0007266635487994118,15
28.091544151306152,1746064970.0028641,25.1510910987854,0.0001640022688841236,0.00012270872513653002,16,0.010947647429230533,0.00028671099402065363,16
29.488428115844727,1746064971.399748,26.547962188720703,7.470195716129532e-05,6.130107759423325e-05,17,0.008695692312519963,0.00013600303475552858,17
30.8659451007843,1746064972.777265,27.925520420074463,4.183832300912116e-05,3.7240456816405174e-05,18,0.0059610355654583355,7.907877982552634e-05,18
32.24877381324768,1746064974.1600938,29.30832314491272,1.690203927929647e-05,1.7858740567386112e-05,19,0.004254488607957627,3.4760779846682584e-05,19
33.61681270599365,1746064975.5281327,30.676429271697998,9.879587543136093e-06,9.182180935296954e-06,20,0.0033539537437194287,1.906176847843305e-05,20
34.98520374298096,1746064976.8965237,32.04472780227661,7.42340973881538e-06,5.851004417096373e-06,21,0.0022774310231189047,1.3274414155911753e-05,21
36.37978267669678,1746064978.2911026,33.43939232826233,2.8478316937689862e-06,2.7798455183359123e-06,22,0.0020281622560278387,5.6276772121048985e-06,22
37.769428730010986,1746064979.6807487,34.828932762145996,2.2761907003895984e-06,2.134213832824508e-06,23,0.0010597101156880212,4.410404533214107e-06,23
39.155219078063965,1746064981.066539,36.21479320526123,1.1371972628908264e-06,6.20438446432264e-07,24,0.0007718209149322005,1.7576357093230903e-06,24
40.54716968536377,1746064982.4584897,37.606786012649536,6.144646418276805e-07,3.4990708160414184e-07,25,0.0006430228871346185,9.643717234318223e-07,25
41.93568658828735,1746064983.8470066,38.99521446228027,4.2167223239300686e-07,2.4513553276947594e-07,26,0.0005164432140249495,6.668077651624827e-07,26
43.31070327758789,1746064985.2220232,40.37030053138733,3.527856762201698e-07,1.7008236090749112e-07,27,0.0004594396379484277,5.228680371276609e-07,27
44.69450926780701,1746064986.6058292,41.75403594970703,2.9507093529609197e-07,1.3263400429870838e-07,28,0.0003573683477059037,4.277049395948004e-07,28
46.06998133659363,1746064987.9813013,43.12961959838867,2.4555426260493465e-07,9.647821904055126e-08,29,0.00034867743554978714,3.420324816454859e-07,29
47.47077131271362,1746064989.3820913,44.5302996635437,2.1096843935131516e-07,9.106474404156544e-08,30,0.0003209273413809326,3.020331833928806e-07,30
48.8560676574707,1746064990.7673876,45.91552925109863,1.6644141150844758e-07,8.008114391388823e-08,31,0.00022175412019199829,2.465225554223358e-07,31
50.22541856765747,1746064992.1367385,47.28502082824707,1.420387137247295e-07,4.954337060451398e-08,32,0.00021616828593013017,1.9158208432924347e-07,32
51.5886754989624,1746064993.4999955,48.64824366569519,1.2636938219165057e-07,4.7516643385480165e-08,33,0.0002126650603545363,1.7388602557713073e-07,33
52.95870780944824,1746064994.8700278,50.0183310508728,1.1097163902819195e-07,4.4398013626185874e-08,34,0.00021136962737446397,1.5536965265437782e-07,34
54.32777142524719,1746064996.2390914,51.387380838394165,1.0190208520739775e-07,4.466552628572143e-08,35,0.0002100619893692808,1.4656761149311917e-07,35
55.72380518913269,1746064997.6351252,52.78338265419006,1.022234784387187e-07,4.3847660999838625e-08,36,0.0001880824221982188,1.4607113943855733e-07,36
57.111785888671875,1746064999.0231059,54.17129445075989,8.430853139614428e-08,4.0153019615109164e-08,37,0.0001675473979426153,1.2446155101125345e-07,37
58.50112843513489,1746065000.4124484,55.56058120727539,8.225704343126069e-08,3.546208266461677e-08,38,0.000162395639416337,1.1771912609587746e-07,38
