loss,step,time,_runtime,loss_interior,_timestamp,l2_error,_step,loss_boundary
123.64367784814445,0,6.766825914382935,9.91403865814209,122.17425244031242,1746014166.8253756,1.5938746124289258,0,1.4694254078320301
124.12493663938857,1,12.718717336654663,15.375941753387451,122.61729836534607,1746014172.2872787,1.7437220745557374,1,1.5076382740424916
114.81830760975316,2,18.167673349380493,20.823707818984985,113.05105496830375,1746014177.7350447,1.6341698357890169,2,1.7672526414494212
114.90316806667697,3,23.61262536048889,26.26885747909546,113.23233920041812,1746014183.1801944,1.7063325530155082,3,1.670828866258849
111.53591080227903,4,29.059287071228027,31.71533513069153,109.71195280552082,1746014188.626672,2.1099435217430678,4,1.8239579967582156
75.58592297867797,5,34.5086464881897,37.16529154777527,72.95602989188635,1746014194.0766284,1.84486884914285,5,2.629893086791624
58.70834355267034,6,39.97939610481262,42.635611057281494,56.52430357611581,1746014199.546948,1.6115517234788295,6,2.1840399765545264
28.642130595206627,7,45.43296027183533,48.089051961898804,27.15476288732276,1746014205.0003889,0.8650937880689881,7,1.487367707883865
13.65428613182059,8,50.88137722015381,53.537429332733154,13.168849027409161,1746014210.4487662,0.40230219332194794,8,0.4854371044114302
4.00093995060521,9,56.33496165275574,58.99179244041443,3.904893398562835,1746014215.9031293,1.1028821600420018,9,0.09604655204237549
1.0238940966196142,10,61.78744149208069,64.44344592094421,0.3273704398515023,1746014221.3547828,0.45768285885621124,10,0.6965236567681119
0.2746066364331534,11,67.23820042610168,69.89438772201538,0.14854609581328934,1746014226.8057246,0.29760007197673954,11,0.12606054061986408
0.08262894828680224,12,72.68778395652771,75.34393405914307,0.03378916297738647,1746014232.255271,0.09896492601818735,12,0.048839785309415774
0.012066556726507565,13,78.1395480632782,80.7959988117218,0.006872852312117461,1746014237.7073357,0.06133768287135014,13,0.005193704414390104
0.005159388107666029,14,83.59357523918152,86.24986243247986,0.0031380352238006178,1746014243.1611993,0.03636793373959704,14,0.002021352883865411
0.0013075192776289177,15,89.04274892807007,91.69874978065491,0.0006436473242831513,1746014248.6100867,0.017687309457372725,15,0.0006638719533457665
0.00017354815242765244,16,94.49062514305115,97.14669108390808,1.4710852937612838e-05,1746014254.058028,0.010832619199070975,16,0.0001588372994900396
4.580661121181318e-05,18,105.38661432266235,108.04303693771362,3.459258792534641e-06,1746014264.9543738,0.006299561224148973,17,4.234735241927854e-05
8.878692546383006e-06,20,116.27161240577698,118.92768859863281,1.8253817675006227e-06,1746014275.8390255,0.002217051243213218,18,7.053310778882383e-06
2.5725785706591247e-06,22,127.15398287773132,129.8100082874298,4.7026240037373656e-07,1746014286.7213452,0.001915758681817017,19,2.102316170285388e-06
1.801454441495475e-06,24,138.0360128879547,140.69256472587585,2.0378664213191156e-07,1746014297.6039016,0.001644976570337058,20,1.5976677993635634e-06
9.461776497774313e-07,26,148.92585349082947,151.58202004432678,3.365164539067007e-07,1746014308.493357,0.0009101017763774163,21,6.096611958707305e-07
3.059313086488698e-07,29,165.24080061912537,167.8968312740326,1.3989577512315078e-07,1746014324.8081682,0.0005314501930026926,22,1.6603553352571904e-07
1.1165416790249182e-07,31,176.1181082725525,178.77465748786926,7.37734099569027e-08,1746014335.6859944,0.00025632286196555445,23,3.788075794558913e-08
8.515156753304203e-08,35,197.8663022518158,200.52243900299072,5.112489575996961e-08,1746014357.433776,0.00013598103660719403,24,3.402667177307241e-08
6.123386867247018e-08,38,214.1731081008911,216.82913208007812,5.064364031849825e-08,1746014373.740469,0.00014146483827191244,25,1.0590228353971928e-08
3.468107369503658e-08,42,235.92056918144226,238.57686948776245,2.566829524999081e-08,1746014395.4882064,0.00012104636773738112,26,9.012778445045773e-09
2.5902027941818212e-08,46,257.66907143592834,260.3256199359894,1.8156390091529873e-08,1746014417.2369568,0.00012033061182477659,27,7.74563785028834e-09
2.1619518140203798e-08,50,279.4289171695709,282.0852208137512,1.4409534414566705e-08,1746014438.9965577,0.00011601203342697239,28,7.2099837256370936e-09
9.986988887596505e-09,55,306.6010727882385,309.2574417591095,7.107965575247964e-09,1746014466.1687787,7.479599857643876e-05,29,2.87902331234854e-09
7.784307011247439e-09,61,339.2035274505615,341.85967350006104,5.229567512621658e-09,1746014498.7710104,6.124046382167944e-05,30,2.5547394986257805e-09
5.735362484376808e-09,67,371.8118145465851,374.4681296348572,3.97980770287061e-09,1746014531.3794665,5.706854103639615e-05,31,1.7555547815061975e-09
4.933428849154198e-09,73,404.4132089614868,407.0695912837982,3.2694141572610512e-09,1746014563.9809282,5.1610688211297374e-05,32,1.6640146918931467e-09
3.62311468754913e-09,81,447.8876144886017,450.5438930988312,2.0678929435163546e-09,1746014607.45523,5.451216857190209e-05,33,1.5552217440327754e-09
3.002522674039922e-09,89,491.3446469306946,494.0009801387787,1.6006093945499827e-09,1746014650.912317,3.472011290933789e-05,34,1.4019132794899397e-09
1.1956383806615723e-09,98,540.2393774986267,542.8956317901611,8.136378917949323e-10,1746014699.8069687,2.3154720454982828e-05,35,3.820004888666399e-10
5.751003488362075e-10,107,589.1285331249237,591.7848110198975,3.4563985484013663e-10,1746014748.696148,1.881488556364683e-05,36,2.2946049399607083e-10
3.3863303478363506e-10,118,648.8902838230133,651.5468218326569,2.0647410987122788e-10,1746014808.4581587,1.4655493581919688e-05,37,1.3215892491240716e-10
2.7477727968490823e-10,130,714.0863046646118,716.74258685112,1.8409237925631235e-10,1746014873.6539237,1.1908557951173467e-05,38,9.068490042859588e-11
