time,l2_error,loss_interior,_step,_timestamp,loss_boundary,step,_runtime,loss
1.9913575649261475,1.5965661807562967,119.08322589399684,0,1743760170.8593986,1.6920581614002503,0,4.884528636932373,120.7752840553971
2.545191526412964,1.5940689144271893,125.40807608248795,1,1743760171.1886606,1.469243235739957,1,5.213790655136108,126.8773193182279
2.8676247596740723,1.5928906025811067,117.07233078734767,2,1743760171.5123584,1.4800228792268182,2,5.5374884605407715,118.55235366657449
3.1922719478607178,1.603122335980571,121.00000558760327,3,1743760171.8356798,1.584535147729678,3,5.860809803009033,122.58454073533295
3.5149176120758057,1.679111301250212,113.53596103371866,4,1743760172.1583498,1.6179403937397978,4,6.1834797859191895,115.15390142745846
3.8407022953033447,1.671290824027256,107.8904724278901,5,1743760172.4841418,1.48570294728845,5,6.509271860122681,109.37617537517855
4.163327932357788,4.8096187618062185,104.73318182642923,6,1743760172.8068168,1.475094499610581,6,6.831946849822998,106.20827632603981
4.488055467605591,4.109003001288521,42.4526419240542,7,1743760173.131634,11.138441575643876,7,7.156764030456543,53.59108349969807
4.823408365249634,4.057654931778425,42.03855293270527,8,1743760173.4669602,7.986113322253492,8,7.492090225219727,50.02466625495877
5.148788690567017,3.5184142823036235,38.39214969515395,9,1743760173.7923782,8.151790241246186,9,7.817508220672607,46.543939936400136
5.472441911697388,2.664475334167576,26.906620271185933,10,1743760174.116035,6.030892137296194,10,8.141165018081665,32.93751240848213
5.796026706695557,1.1673050447759523,18.081071710846082,11,1743760174.4396882,3.4776712754225914,11,8.464818239212036,21.558742986268673
6.122834920883179,0.9962059271683289,4.548237548580656,12,1743760174.7664027,0.7108994741166442,12,8.791532754898071,5.2591370226973
6.445710897445679,0.3920959077280555,2.9066713709583842,13,1743760175.0892124,0.4748265117456315,13,9.114342451095581,3.3814978827040156
6.770580530166626,0.2879914660967424,1.233379810859491,14,1743760175.4140785,0.09708047166693268,14,9.439208507537842,1.3304602825264238
7.096515417098999,0.14435870352200494,0.10448600830222464,15,1743760175.7413297,0.06471493299663315,15,9.766459703445435,0.1692009412988578
7.422266244888306,0.0937335146878564,0.03750959609318439,16,1743760176.0658445,0.014120889254286997,16,10.090974569320679,0.05163048534747139
7.74577784538269,0.056998177068898516,0.010475009893511735,17,1743760176.389278,0.005618357477240501,17,10.414407968521118,0.016093367370752235
8.069189310073853,0.0391127536782363,0.0023793534137900468,18,1743760176.7129738,0.0019342789125220406,18,10.738103866577148,0.004313632326312087
8.393610954284668,0.03310590562798016,0.0007838918078206126,19,1743760177.0370843,0.0009034719226967127,19,11.062214374542236,0.0016873637305173253
8.716491937637329,0.01694328272379478,0.00031943782760133707,20,1743760177.3599694,0.0006005766033033533,20,11.385099411010742,0.0009200144309046903
9.03898286819458,0.014977571503723437,0.00017954432335796905,21,1743760177.6824458,0.00016794866240895759,21,11.707575798034668,0.00034749298576692666
9.365279912948608,0.011244594112846673,9.169003136599067e-05,22,1743760178.008781,0.00011652523661506214,22,12.033910989761353,0.0002082152679810528
9.688031911849976,0.009597815958605253,3.289265670843431e-05,23,1743760178.331481,6.915296624593009e-05,23,12.356611013412476,0.0001020456229543644
10.011378288269043,0.0056507890523948626,2.2327913476633495e-05,24,1743760178.65484,4.916281336321292e-05,24,12.679970026016235,7.149072683984642e-05
10.334585905075073,0.003271059847958847,1.609659206611935e-05,25,1743760178.9782207,1.91192899704189e-05,25,13.003350734710693,3.521588203653825e-05
10.657306909561157,0.002982971491717901,8.580166298084899e-06,26,1743760179.3008678,6.470777520657458e-06,26,13.325997829437256,1.5050943818742358e-05
10.979628086090088,0.0026498630487797347,4.362579504630663e-06,27,1743760179.6231005,5.919765732939992e-06,27,13.64823055267334,1.0282345237570656e-05
11.303029298782349,0.0025472233254898546,4.059916837440972e-06,28,1743760179.9466279,4.498312037361667e-06,28,13.971757888793945,8.55822887480264e-06
11.62584638595581,0.002471953506797186,3.2446722574131146e-06,29,1743760180.2693257,3.7863522330839894e-06,29,14.294455766677856,7.031024490497104e-06
11.950759887695312,0.0022215875317072205,2.7668893571670247e-06,30,1743760180.5942438,3.0754239965668616e-06,30,14.619373798370361,5.842313353733887e-06
12.273532629013062,0.0020411050537016877,2.6945857299183495e-06,31,1743760180.9169989,2.8222923606585384e-06,31,14.942128896713257,5.516878090576888e-06
12.596418142318726,0.0016203047059986926,1.9925089067819168e-06,32,1743760181.2401056,2.847268233124515e-06,32,15.265235662460327,4.839777139906432e-06
12.919851064682007,0.0016145392021801337,2.2994805489592414e-06,33,1743760181.5633616,1.370644558393458e-06,33,15.588491678237915,3.6701251073526994e-06
13.24346399307251,0.0012860316980344768,2.02424398740139e-06,34,1743760181.8869658,1.4758984670277918e-06,34,15.912095785140991,3.5001424544291817e-06
13.578219652175903,0.0012938981200930038,1.7925369812868756e-06,35,1743760182.2217283,8.374304035431442e-07,35,16.24685835838318,2.62996738483002e-06
13.90204644203186,0.0012828363478782972,1.5385277867445085e-06,36,1743760182.5455139,8.594293515193224e-07,36,16.57064390182495,2.3979571382638308e-06
14.224302053451538,0.0011489738926388966,1.3949696052430489e-06,37,1743760182.8677704,8.377997520197798e-07,37,16.892900466918945,2.2327693572628286e-06
14.5478675365448,0.0011351383157998888,1.3446589226021734e-06,38,1743760183.191365,6.357710009285002e-07,38,17.216495037078857,1.9804299235306737e-06
14.870402336120605,0.0007906879430441573,1.1345309512945613e-06,39,1743760183.513884,6.907714004202466e-07,39,17.539014101028442,1.825302351714808e-06
15.197306156158447,0.0007590158338687426,9.780767275137805e-07,40,1743760183.840743,3.456774344242961e-07,40,17.865873098373413,1.3237541619380767e-06
15.844617128372192,0.0005517091234060315,6.698901147494853e-07,41,1743760184.4880729,1.6280516994891398e-07,42,18.513202905654907,8.326952846983993e-07
