_step,loss_boundary,time,loss_interior,step,_timestamp,loss,_runtime,l2_error
0,1.6920581614002503,0.9918673038482666,119.08322589399684,0,1743760107.3137906,120.7752840553971,3.792158603668213,1.5966087343684734
1,1.468175967430028,1.224461317062378,125.62676017984357,1,1743760107.3367589,127.0949361472736,3.815126895904541,1.5954348808103755
2,1.4844047000416007,1.2421984672546387,117.77935263234237,2,1743760107.354712,119.26375733238396,3.8330800533294678,1.5937736052732785
3,1.5840054100703642,1.259700059890747,122.51980167232634,3,1743760107.372349,124.1038070823967,3.850717067718506,1.591755591167831
4,1.5469796710579393,1.2764406204223633,122.69655384278983,4,1743760107.3891065,124.24353351384777,3.8674745559692383,1.5894706254943802
5,1.3983153704839448,1.2961406707763672,120.64544457816713,5,1743760107.4087412,122.04375994865107,3.8871092796325684,1.5868336727489785
6,1.6187131832534671,1.3164680004119873,125.96073236801902,6,1743760107.4291115,127.57944555127249,3.9074795246124268,1.5838484551454735
7,1.6227040698732271,1.333439588546753,120.03308876502751,7,1743760107.4458141,121.65579283490074,3.924182176589966,1.5806317321894543
8,1.2812342637929814,1.351029634475708,123.5232594532775,8,1743760107.4635837,124.80449371707049,3.9419517517089844,1.5772440553065623
9,1.4329471057910472,1.3680038452148438,125.0740078164619,9,1743760107.4817772,126.50695492225294,3.9601452350616455,1.5736967226229688
10,1.420862262078803,1.3864219188690186,128.482309626294,10,1743760107.4989324,129.9031718883728,3.9773004055023193,1.5699331618469172
11,1.3967348130199517,1.404165506362915,119.0596698012151,11,1743760107.5161183,120.45640461423504,3.9944863319396973,1.5659251439791029
12,1.3492997948078396,1.4208812713623047,120.25220010659893,12,1743760107.5322573,121.60149990140677,4.01062536239624,1.5616557889059053
13,1.4098826588623432,1.4374804496765137,118.73162363174008,13,1743760107.5488667,120.14150629060242,4.027234792709351,1.557100439987596
14,1.4071881201862628,1.454228162765503,117.71062039750713,14,1743760107.5655754,119.11780851769339,4.043943405151367,1.5521359873689191
15,1.7001895470677946,1.46966552734375,118.69136520196389,15,1743760107.5809906,120.39155474903168,4.059358596801758,1.5466779555095058
16,1.5046740637870384,1.4865403175354004,119.09532138157066,16,1743760107.5978613,120.59999544535769,4.0762293338775635,1.5406331049117998
17,1.3225677802713836,1.5023903846740723,124.68499144873593,17,1743760107.613723,126.00755922900731,4.092091083526611,1.5337617652700226
18,1.3335298657553625,1.520491600036621,127.89706561844991,18,1743760107.631837,129.23059548420528,4.1102049350738525,1.5259027488164574
19,1.3286649706506046,1.536257266998291,111.39384172023772,19,1743760107.6473036,112.72250669088832,4.125671625137329,1.5168898356022982
20,1.5264373324173013,1.5527513027191162,125.70352065837534,20,1743760107.6640139,127.22995799079264,4.142381906509399,1.5062881128360996
21,1.461447626116229,1.5681371688842773,118.61922623051248,21,1743760107.6794174,120.0806738566287,4.157785415649414,1.4938694497658265
22,1.200947482620164,1.5845391750335693,119.12576788032202,22,1743760107.6959152,120.32671536294218,4.174283266067505,1.4789249146685406
23,1.1673131398940186,1.600219488143921,119.47209296927753,23,1743760107.7115316,120.63940610917155,4.189899682998657,1.460714549208635
24,1.1116473944829803,1.616666316986084,118.43235688351788,24,1743760107.7279372,119.54400427800087,4.206305265426636,1.4379834514474696
25,1.2516068310995734,1.632732629776001,115.01057795180516,25,1743760107.7439759,116.26218478290474,4.222343921661377,1.4089936530910334
26,1.1406764650904575,1.6491317749023438,110.1260273779669,26,1743760107.7603483,111.26670384305736,4.23871636390686,1.3712014468356666
