loss,time,_timestamp,step,_runtime,loss_boundary,_step,loss_interior,l2_error
120.7752840553971,1.051633358001709,1743746042.3826034,0,5.164477348327637,1.6920581614002503,0,119.08322589399684,1.593124548080506
127.04149560714036,2.1286513805389404,1743746042.415434,1,5.197307825088501,1.4609041734943247,1,125.58059143364603,1.5892165307432016
119.16855874254806,2.1566989421844482,1743746042.4435942,2,5.225468158721924,1.4718347891050274,2,117.69672395344303,1.5853966196786866
123.96357488562289,2.184739589691162,1743746042.471802,3,5.253675937652588,1.5634200539236098,3,122.40015483169928,1.5817587899972114
124.09470965441506,2.209840774536133,1743746042.4962716,4,5.2781455516815186,1.520940190112375,4,122.57376946430269,1.5781460111743795
121.85922132833844,2.238084077835083,1743746042.5250013,5,5.306875228881836,1.3788415151769218,5,120.48037981316152,1.5744822179573583
127.38590034721798,2.26546049118042,1743746042.5526502,6,5.334524154663086,1.5951380011822718,6,125.7907623460357,1.570649162713609
121.45154609155885,2.2945713996887207,1743746042.5820343,7,5.363908290863037,1.595174881322253,7,119.8563712102366,1.5666740422234267
124.58416856941301,2.3240013122558594,1743746042.6107295,8,5.392603397369385,1.2577931946232357,8,123.32637537478978,1.5625372447340147
126.24468693795946,2.3476650714874268,1743746042.6356506,9,5.417524576187134,1.3990497200709295,9,124.84563721788852,1.5582501421582329
129.6354707370304,2.3727469444274902,1743746042.6595871,10,5.441461086273193,1.3905208695499431,10,128.24494986748047,1.5537157479705512
120.17225636259292,2.401883125305176,1743746042.6880226,11,5.469896554946899,1.3658783152282368,11,118.80637804736469,1.5489122296432896
121.28094035726987,2.429497003555298,1743746042.715964,12,5.497838020324707,1.3209552588962006,12,119.95998509837366,1.5438858368918922
119.80037633292918,2.447009801864624,1743746042.73397,13,5.515843868255615,1.370286735118427,13,118.43008959781075,1.5385749748266295
118.77536780967505,2.464719295501709,1743746042.7518187,14,5.5336925983428955,1.3707971593276882,14,117.40457065034735,1.532852953186805
120.02378241132486,2.482780933380127,1743746042.7698545,15,5.5517284870147705,1.6542508836424459,15,118.36953152768241,1.526670507269165
120.21783434114292,2.507814645767212,1743746042.7943852,16,5.576259136199951,1.4600974856634912,16,118.75773685547942,1.5199722960484945
125.55171105325651,2.530174970626831,1743746042.8168354,17,5.598709344863892,1.2886353956284415,17,124.26307565762806,1.5127671417506132
128.73528551319617,2.5496511459350586,1743746042.8364863,18,5.618360280990601,1.2872468339864973,18,127.44803867920969,1.50506532441297
112.25599709793228,2.5691957473754883,1743746042.8560243,19,5.637898206710815,1.2861576760554614,19,110.96983942187681,1.4968374170598073
126.7203560736279,2.5932929515838623,1743746042.8796144,20,5.66148829460144,1.4778205533089896,20,125.24253552031891,1.4879748970278057
119.62986359490414,2.610581398010254,1743746042.8970714,21,5.678945302963257,1.4092177439252982,21,118.22064585097884,1.4784055490722234
119.89291724763369,2.6340417861938477,1743746042.9200916,22,5.701965570449829,1.1662014137824153,22,118.72671583385127,1.4681210076528293
120.30861579600491,2.652904510498047,1743746042.9394639,23,5.721337795257568,1.1442418381335429,23,119.16437395787138,1.4569787258069586
119.39213233934852,2.6723570823669434,1743746042.9586968,24,5.740570783615112,1.1057846650246435,24,118.28634767432388,1.444906982640743
116.36935969307112,2.6903951168060303,1743746042.9768667,25,5.758740663528442,1.257889449968651,25,115.11147024310247,1.431780721321852
111.82282297580318,2.7083232402801514,1743746042.9946642,26,5.776538133621216,1.1826265766827786,26,110.6401963991204,1.417542112639954
115.18531702982231,2.7304508686065674,1743746043.0168402,27,5.7987141609191895,1.1935101897443863,27,113.99180684007793,1.4022980401971081
124.10674293963473,2.75014591217041,1743746043.0363727,28,5.818246603012085,1.1315207796634417,28,122.97522215997128,1.385799176021499
119.37327347874056,2.7691493034362793,1743746043.0553503,29,5.837224245071411,1.0797775383141057,29,118.29349594042645,1.3678870364440332
115.91359755485324,2.786703109741211,1743746043.0726945,30,5.8545684814453125,1.0361541489738306,30,114.8774434058794,1.3486032752075237
118.98644156037055,2.8035812377929688,1743746043.0895917,31,5.871465682983398,0.9034791782875112,31,118.08296238208304,1.327812817833482
110.1995804399395,2.8213443756103516,1743746043.1071393,32,5.889013290405273,0.8737628097595361,32,109.32581763017996,1.3053072164919954
115.90080130752624,2.8384974002838135,1743746043.1245332,33,5.906407117843628,0.9658933774621247,33,114.93490793006411,1.2812121486836194
114.06331393415984,2.8555688858032227,1743746043.1415937,34,5.923467636108398,1.008666629451198,34,113.05464730470864,1.2555398961613555
118.36281005181382,2.873476505279541,1743746043.1593947,35,5.941268682479858,0.9122687176777898,35,117.45054133413603,1.2282847796988272
115.71638472184111,2.8925342559814453,1743746043.1778827,36,5.95975661277771,0.7800810035581923,36,114.93630371828291,1.199534233763978
118.49404558938116,2.9102823734283447,1743746043.1958418,37,5.977715730667114,0.8034061260401925,37,117.69063946334097,1.1691402456942368
118.05892469139788,2.9290425777435303,1743746043.214577,38,5.996450901031494,0.8166866523674423,38,117.24223803903044,1.1373435735693502
105.53294892633156,2.947436571121216,1743746043.233084,39,6.014957904815674,0.7997947249401,39,104.73315420139146,1.1041805027434066
111.86594234255443,2.9661762714385986,1743746043.2518575,40,6.033731460571289,0.7090868416176916,40,111.15685550093674,1.0696323238085574
104.85908387189059,2.9982523918151855,1743746043.283851,42,6.065724849700928,0.5359828628749718,41,104.32310100901562,0.9984972413952876
93.02552534888919,3.0585217475891113,1743746043.3440359,46,6.125909805297852,0.4648373584037466,42,92.56068799048545,0.859487808914366
