loss_interior,loss,step,_step,_timestamp,time,_runtime,l2_error,loss_boundary
119.08322589399684,120.7752840553971,0,0,1743740497.6112201,1.7678582668304443,4.899656057357788,1.5973100862349527,1.6920581614002503
125.63257432108725,127.10220323555782,1,1,1743740498.0027778,2.6205689907073975,5.291213750839233,1.8590726788380396,1.4696289144705748
113.61580714131698,115.51214059742436,2,2,1743740498.3922622,3.0099968910217285,5.6806981563568115,1.546375020036313,1.8963334561073784
113.01209192323459,114.41418689646584,3,3,1743740498.7835658,3.4000282287597656,6.072001695632935,1.4272559472382638,1.40209497323124
90.65066815518627,91.80839333337691,4,4,1743740499.1751027,3.7928664684295654,6.463538646697998,1.3495182640073533,1.1577251781906392
72.5166329595565,73.58362649999557,5,5,1743740499.574165,4.191943168640137,6.862601041793823,1.0355915173382473,1.0669935404390667
44.03706316306853,44.670891144224136,6,6,1743740499.9677553,4.585500478744507,7.256191253662109,0.9498865263125313,0.6338279811556028
5.203694057437298,5.722999246703505,7,7,1743740500.3588748,4.976637601852417,7.647310733795166,0.26094157831500264,0.5193051892662075
0.3263624422416987,0.37424293585614893,8,8,1743740500.7477372,5.36546516418457,8.036173105239868,0.09889274121314899,0.047880493614450244
0.08376517831067548,0.09058752041847894,9,9,1743740501.1392756,5.757032632827759,8.427711486816406,0.1252368396173071,0.006822342107803454
0.04250694948567659,0.05093915940259983,10,10,1743740501.5351036,6.152791500091553,8.82353949546814,0.09644662697439597,0.008432209916923242
0.017459440930251712,0.022150400543804988,11,11,1743740501.9264576,6.543949365615845,9.214893579483032,0.07449990370593276,0.004690959613553274
0.01358548989865605,0.01632413676271972,12,12,1743740502.3173716,6.935118913650513,9.605807542800903,0.0724742455027819,0.0027386468640636704
0.010275028299271812,0.013125884705061262,13,13,1743740502.7106361,7.328325986862183,9.999072074890137,0.06090634262415011,0.0028508564057894495
0.007132352414173511,0.00903312326611787,14,14,1743740503.1014252,7.71907639503479,10.389861106872559,0.0585411500780131,0.001900770851944358
0.006298829749847984,0.008137782272595014,15,15,1743740503.4953556,8.113056659698486,10.783791542053223,0.0544780599776281,0.0018389525227470306
0.0053408028191981715,0.00690918715801539,16,16,1743740503.891328,8.509069681167603,11.179764032363892,0.05056542217971842,0.0015683843388172181
0.00456346996325689,0.005925571555626062,17,17,1743740504.2814376,8.899202823638916,11.569873571395874,0.03666939820580959,0.0013621015923691725
0.004158386420873585,0.004879995524001065,18,18,1743740504.669575,9.287298917770386,11.958010911941528,0.03387961781904154,0.0007216091031274792
0.003256768180447131,0.003881442332980828,19,19,1743740505.0601904,9.677781581878662,12.348626375198364,0.03449497725172823,0.0006246741525336969
0.002861169422327826,0.0035095920524558883,20,20,1743740505.4514418,10.06910252571106,12.739877700805664,0.03214305521125502,0.0006484226301280624
0.002436257848394628,0.0030415418752452366,21,21,1743740505.8407362,10.458412647247314,13.129172086715698,0.03056646377909105,0.000605284026850609
0.002000043155781275,0.0025022617662009083,22,22,1743740506.2296822,10.847455024719238,13.518118143081665,0.027846266344787197,0.0005022186104196334
0.0017148273050664044,0.002137476004864562,23,23,1743740506.6298296,11.24758529663086,13.918265581130981,0.029984546823585104,0.00042264869979815743
0.0012384421481353447,0.0017014056932335843,24,24,1743740507.0207994,11.63855528831482,14.309235334396362,0.027145048019017536,0.0004629635450982396
0.0010728133650394025,0.0014592099276976192,25,25,1743740507.4138172,12.031385898590088,14.702253103256226,0.027270410880941245,0.0003863965626582167
0.0008606660761200775,0.0012352693745756337,26,26,1743740507.807664,12.4253990650177,15.096099853515625,0.027287187037365383,0.0003746032984555561
0.0007336708463968616,0.00113913327402034,27,27,1743740508.1988914,12.816538572311401,15.487327337265015,0.026250870117176934,0.0004054624276234783
0.0007241383017886209,0.0010903342981216893,28,28,1743740508.5881677,13.205904245376587,15.876603603363037,0.025981651795267117,0.0003661959963330683
0.0006217859336806223,0.000980423724864279,29,29,1743740508.9757798,13.593536615371704,16.26421570777893,0.024426671742818235,0.00035863779118365687
0.000495530322277297,0.000816697179464906,30,30,1743740509.3640487,13.981786012649536,16.65248465538025,0.023184134290814847,0.000321166857187609
0.00044329863051827297,0.0007163445679952344,31,31,1743740509.7583172,14.376009941101074,17.04675316810608,0.02226731330955285,0.0002730459374769615
0.00039413969749806815,0.0006414386439891446,32,32,1743740510.1464884,14.764232397079468,17.434924364089966,0.021789541696740477,0.00024729894649107645
0.0003576842224544035,0.0006123529750219567,33,33,1743740510.54305,15.16084337234497,17.831485986709595,0.020967423777512477,0.0002546687525675531
0.000312763509694127,0.0005395080207375667,34,34,1743740510.934659,15.552449464797974,18.223094940185547,0.020221977187880456,0.00022674451104343966
0.000271855837336988,0.00047905491812937306,35,35,1743740511.3217385,15.939476251602173,18.610174417495728,0.019531500931594135,0.00020719908079238508
0.00023178341999546218,0.00043136848226161666,36,36,1743740511.709719,16.327470302581787,18.998154878616333,0.01739541595208213,0.00019958506226615448
0.00016592946302138034,0.0003179716214583426,37,37,1743740512.097971,16.71575093269348,19.386406898498535,0.015626873391255524,0.00015204215843696222
0.0001519248373008701,0.00027896262456895006,38,38,1743740512.484716,17.10251522064209,19.773151874542236,0.015245482679651454,0.00012703778726807992
0.00013088635191481926,0.00024969970749625736,39,39,1743740512.871468,17.48927617073059,20.15990400314331,0.015198044258714972,0.00011881335558143809
0.00011590795911181284,0.00023320719652745927,40,40,1743740513.259296,17.877076387405396,20.54773187637329,0.014591612499171147,0.00011729923741564643
