l2_error,time,_timestamp,_step,loss_boundary,loss_interior,step,loss,_runtime
1.7399026732231218,1.2613351345062256,1743731661.8220568,0,1.6920581614002503,119.08322589399684,0,120.7752840553971,4.251168727874756
1.2639799374120588,1.819908857345581,1743731662.1064003,1,1.8185310562315213,125.02285362833916,1,126.84138468457068,4.535512208938599
1.810895766998404,2.0556578636169434,1743731662.3421826,2,0.8426220589159266,114.49732594738443,2,115.33994800630035,4.771294593811035
2.304825714947785,2.2839581966400146,1743731662.5705178,3,1.9412219043656282,116.5845858142597,3,118.52580771862533,4.999629735946655
1.845291076362503,2.6766602993011475,1743731662.9645371,4,3.3305031100580247,102.88856382184349,4,106.21906693190151,5.393649101257324
1.2564715146567749,3.0483903884887695,1743731663.3349776,5,1.9351024540829185,70.08780639146308,5,72.022908845546,5.764089584350586
0.6834471623842518,3.4004173278808594,1743731663.6869485,6,1.025946896732381,71.89847777129316,6,72.92442466802554,6.116060495376587
0.8132492801407127,3.836775064468384,1743731664.1233296,7,0.4587574242559978,24.23678906324176,7,24.695546487497758,6.552441596984863
0.9487593186615426,4.455451011657715,1743731664.742031,8,0.40995717002241155,7.70237780877169,8,8.1123349787941,7.171143054962158
0.7898648697410402,5.007618427276611,1743731665.2942588,9,0.6675169181295116,6.407246513751347,9,7.074763431880859,7.723370790481567
0.6950422787531678,5.819463491439819,1743731666.1090353,10,0.5482381415664072,2.776062342434133,10,3.32430048400054,8.538147211074829
0.3866004194522449,6.527994871139526,1743731666.814564,11,0.45758215180076683,2.1060662470745934,11,2.5636483988753604,9.243675947189331
0.2946479365039714,7.218356132507324,1743731667.5049477,12,0.09967521233786845,0.3807333523076013,12,0.48040856464546977,9.934059619903564
0.17806693193494869,8.123035192489624,1743731668.4096735,13,0.056130058318929865,0.1362871763046608,13,0.19241723462359067,10.838785409927368
0.08726585179243061,9.317853450775146,1743731669.6044545,14,0.03127229942145603,0.06967016430208055,14,0.10094246372353657,12.03356647491455
0.05740522777567978,10.431469917297363,1743731670.7180967,15,0.009066422140496076,0.041928974154425466,15,0.050995396294921544,13.14720869064331
0.04114148423150847,11.870878219604492,1743731672.1574664,16,0.0030653759126892588,0.02048541919107583,16,0.02355079510376509,14.586578369140625
0.03603410169106307,13.603872060775757,1743731673.890674,17,0.0019113342778348246,0.010923282572734738,17,0.012834616850569563,16.319786071777344
0.029198409411927202,15.31008768081665,1743731675.59676,18,0.0012224921285271227,0.007922754717304598,18,0.009145246845831722,18.025871992111206
0.0257898466635822,17.421496629714966,1743731677.708095,19,0.0008059943523167823,0.007358057979231359,19,0.008164052331548141,20.13720703125
0.02877620733811845,19.60004162788391,1743731679.8866155,20,0.0007266606957353856,0.0063983184663695585,20,0.007124979162104944,22.315727472305298
0.02788521626560632,21.306297063827515,1743731681.5928938,21,0.0006882768460787734,0.006800528511470808,21,0.007488805357549581,24.022005796432495
0.017515925834648255,23.373622179031372,1743731683.6602218,22,0.000699173696247803,0.007400179081775033,22,0.008099352778022836,26.0893337726593
0.026392673856681585,26.977890968322754,1743731687.2645175,23,0.0003428025528995771,0.0020804936554759206,23,0.0024232962083754975,29.693629503250122
0.017898573424111115,29.66580867767334,1743731689.9526722,24,0.0005647251699985891,0.002289438684618221,24,0.0028541638546168103,32.381784200668335
0.01857447864372147,32.48678970336914,1743731692.7734697,25,0.00027245349126895084,0.0021688414418220402,25,0.002441294933090991,35.20258164405823
0.016523002372527268,37.65414071083069,1743731697.9407482,26,0.00025087596380218673,0.0021204209649229562,26,0.002371296928725143,40.36986017227173
0.015630436189260948,42.63636493682861,1743731702.922968,27,0.00022186141003583895,0.0016142128391757327,27,0.0018360742492115716,45.35207986831665
0.01342619851029331,45.4397714138031,1743731705.7264318,28,0.00020956474095603432,0.001605348188967091,28,0.0018149129299231254,48.1555438041687
0.012899446547893555,47.65781259536743,1743731707.9446878,29,0.0001692434937741263,0.0017087651496032127,29,0.001878008643377339,50.3737998008728
0.011236519533692467,52.73696160316467,1743731713.0237007,30,0.00012723477729153286,0.0016441284017472905,30,0.0017713631790388235,55.45281267166138
0.009690839341270569,55.16946339607239,1743731715.4560425,31,9.068201391169998e-05,0.00160491967409234,31,0.00169560168800404,57.885154485702515
0.00946974984805675,56.71699929237366,1743731717.0036342,32,7.45633763231037e-05,0.0013865938209454362,32,0.0014611571972685399,59.432746171951294
0.009378462830398913,61.72079396247864,1743731722.0074096,33,6.550188749621781e-05,0.0012694440656233113,33,0.001334945953119529,64.43652153015137
0.008858477996931844,63.260905504226685,1743731723.5475283,34,6.742516029451486e-05,0.0011646054569351852,34,0.0012320306172297001,65.97664022445679
0.007991438921127678,68.33679819107056,1743731728.6236708,35,6.547532185702862e-05,0.0011103308116065132,35,0.0011758061334635418,71.05278277397156
0.007610729632363003,70.90690684318542,1743731731.1935718,36,5.3653105880879445e-05,0.0009568363628600741,36,0.0010104894687409534,73.62268376350403
0.007605931339085113,72.75728273391724,1743731733.043889,37,4.505215556469521e-05,0.001049580915432766,37,0.0010946330709974614,75.47300100326538
0.007280145284748619,74.74525427818298,1743731735.0318754,38,5.0037235504203136e-05,0.0009351357759308527,38,0.0009851730114350558,77.46098732948303
0.007247412001771595,76.72218894958496,1743731737.0087829,39,5.3110068380760355e-05,0.0008475120227466849,39,0.0009006220911274452,79.43789482116699
0.0065807285242058585,78.45404934883118,1743731738.7406316,40,4.7925184953293396e-05,0.00080592985026246,40,0.0008538550352157534,81.16974353790283
0.006500388185653665,84.93686175346375,1743731745.2234907,41,3.024683048656049e-05,0.000638127719215232,42,0.0006683745497017926,87.6526026725769
0.0062588988985837575,98.94334411621094,1743731759.2301993,42,3.2214471311028745e-05,0.0004109802807113175,46,0.00044319475202234625,101.65931129455566
0.003966675919542304,115.52554941177368,1743731775.8124688,43,1.4956276950201422e-05,0.00022757685762493855,50,0.00024253313457513998,118.24158072471619
0.0034228637070661447,138.2735891342163,1743731798.5603058,44,1.0401222290079175e-05,8.301291776062243e-05,55,9.341414005070161e-05,140.98941779136658
0.0024090084685662923,168.68595957756042,1743731828.9729338,45,5.914230898918231e-06,4.1622173783729095e-05,61,4.7536404682647324e-05,171.40204572677612
0.0014311765245272562,198.5860595703125,1743731858.8727648,46,2.7410321548450336e-06,2.2665501210640852e-05,67,2.5406533365485886e-05,201.30187678337097
0.0015593725966880695,228.55481600761414,1743731888.8416643,47,2.118737101838905e-06,1.5540434940315348e-05,73,1.7659172042154253e-05,231.27077627182007
0.0012972867473864422,269.01323413848877,1743731929.3001025,48,1.4652746287123872e-06,6.413526289755157e-06,81,7.878800918467544e-06,271.72921442985535
0.0010540030954517023,308.4626967906952,1743731968.7494512,49,9.525415716994058e-07,3.1445595269117563e-06,89,4.097101098611162e-06,311.17856311798096
0.0006857206589689284,353.7655882835388,1743732014.052401,50,6.601339843610067e-07,2.1627453036102857e-06,98,2.8228792879712923e-06,356.48151302337646
0.000452587247636606,399.3272681236267,1743732059.6141346,51,2.874727867353558e-07,9.601930484778192e-07,107,1.247665835213175e-06,402.04324650764465
0.00042016080305467944,454.4147491455078,1743732114.7016487,52,2.2158747080399774e-07,6.751889032640143e-07,118,8.967763740680121e-07,457.13076066970825
0.0003249592065603043,514.6313815116882,1743732174.918239,53,1.3674196282984463e-07,4.2884685873276393e-07,130,5.655888215626085e-07,517.3473510742188
0.00026983823372835416,580.2865190505981,1743732240.573364,54,9.057577460776809e-08,3.15690743224323e-07,143,4.062665178320911e-07,583.002475976944
0.00023947684132688516,651.1952078342438,1743732311.4820845,55,6.956028616564431e-08,2.2024705142338574e-07,157,2.8980733758903005e-07,653.9111964702606
0.00020371688762987135,726.0840530395508,1743732386.3709037,56,5.818444103551324e-08,1.8276232610947998e-07,172,2.409467671449932e-07,728.8000156879425
0.0001986358930637519,816.3458092212677,1743732476.6326537,57,4.6891723866962106e-08,1.6671430686845125e-07,190,2.1360603073541334e-07,819.0617656707764
0.00017571210803912402,906.52667927742,1743732566.8136265,58,3.887989560218319e-08,1.3767459529806997e-07,208,1.7655449090025315e-07,909.2427384853363
0.00017425168272346722,1012.1430585384369,1743732672.4299135,59,3.433096281180012e-08,1.1262110755387785e-07,229,1.4695207036567796e-07,1014.859025478363
0.00015911482883943474,1127.8609182834625,1743732788.1477885,60,3.0369569399631744e-08,1.0928691629874451e-07,252,1.3965648569837626e-07,1130.5769004821777
0.00013967718402507184,1253.3358244895935,1743732913.6227067,61,2.895505046046742e-08,9.392206769359156e-08,277,1.2287711815405896e-07,1256.0518186092377
0.00014558885988442022,1395.1395771503448,1743733055.4264472,62,2.4384922399116854e-08,8.450855970107273e-08,305,1.0889348210018958e-07,1397.8555591106415
0.00013278421374303916,1547.0197169780731,1743733207.3065476,63,2.3504674453311962e-08,7.425274962926542e-08,335,9.775742408257738e-08,1549.7356595993042
0.00012731491091630512,1719.7306668758392,1743733380.0175326,64,1.9357171867793835e-08,6.370984021061617e-08,369,8.306701207841e-08,1722.4466445446014
0.00011444699781769633,1906.5390779972076,1743733566.825945,65,1.3163957050301089e-08,6.089371421448424e-08,406,7.405767126478533e-08,1909.2550568580627
0.00012449630934447577,2107.5413348674774,1743733767.828212,66,1.4502870217639977e-08,5.9138391862028645e-08,446,7.364126207966863e-08,2110.2573239803314
0.00010144707403964325,2335.270277261734,1743733995.5571258,67,1.3828748369333152e-08,5.5131196291400757e-08,491,6.895994466073391e-08,2337.9862377643585
9.75641191327666e-05,2582.4287486076355,1743734242.715638,68,1.3365068753283883e-08,4.929381687496133e-08,540,6.265888562824521e-08,2585.144749879837
8.821988110258151e-05,2855.3622596263885,1743734515.64917,69,9.697716580468027e-09,4.420205511261814e-08,594,5.389977169308617e-08,2858.078281879425
8.305576717234458e-05,3001.2508568763733,1743734661.5376694,70,8.870482938011179e-09,4.2870623975815515e-08,623,5.17411069138267e-08,3003.9667813777924
