time,_step,_runtime,loss_boundary,loss_interior,loss,step,l2_error,_timestamp
2.23099684715271,0,5.3850343227386475,1.6920581614002503,119.08322589399684,120.7752840553971,0,2.712999968882307,1743726066.1585922
2.941699743270874,1,5.789956569671631,4.120844103262243,116.50358824904862,120.62443235231086,1,2.3980134145275325,1743726066.5635145
3.336202621459961,2,6.1855809688568115,3.0087731467318752,108.8462338477084,111.85500699444027,2,2.4041791863808766,1743726066.9591389
3.7325198650360107,3,6.580729722976685,3.493312367875181,99.74125813574933,103.23457050362451,3,1.829993640816063,1743726067.3542876
4.125196218490601,4,6.973430156707764,2.1215302682459276,72.25581746652534,74.37734773477128,4,1.3951627960390538,1743726067.746988
4.519355058670044,5,7.367600679397583,1.0082194564382045,31.923589900725247,32.93180935716345,5,0.6505627205463704,1743726068.1411586
4.91076922416687,6,7.758968114852905,0.21424244722839172,7.190960905202307,7.405203352430699,6,0.3209237229033085,1743726068.532526
5.3033246994018555,7,8.151546478271484,0.06604789445491176,0.24748440382545966,0.31353229828037144,7,0.21652266966243555,1743726068.9251044
5.69719934463501,8,8.545536279678345,0.02680601916081686,0.024832765151042054,0.051638784311858914,8,0.18040987475860207,1743726069.3190942
6.091023921966553,9,8.939178466796875,0.015674882099930475,0.013704631442230327,0.029379513542160802,9,0.09090442821869331,1743726069.7127364
6.482273578643799,10,9.330468654632568,0.004150226801409341,0.006829657851808595,0.010979884653217937,10,0.07106718341679301,1743726070.1040266
6.887010335922241,11,9.735560417175293,0.002490925761316419,0.004620899090048402,0.007111824851364822,11,0.03646478545472359,1743726070.5091183
7.2803053855896,12,10.12849497795105,0.0007708245454399512,0.002726218445577789,0.00349704299101774,12,0.0308740863380476,1743726070.9020529
7.677020311355591,13,10.52533483505249,0.0005311596635673079,0.0017067585346413332,0.002237918198208641,13,0.021097296095733832,1743726071.2988927
8.074965238571167,14,10.92305588722229,0.0002815556009954141,0.001197330290956123,0.001478885891951537,14,0.018438389086461705,1743726071.6966138
8.467252731323242,15,11.31536054611206,0.0002720735675524374,0.0008016772668419681,0.0010737508343944056,15,0.017120758316796266,1743726072.0889184
8.866158485412598,16,11.714323997497559,0.0001919803255971608,0.0005868785402629231,0.0007788588658600839,16,0.017783916280344026,1743726072.487882
9.257456302642822,17,12.105622053146362,0.00020034805413834104,0.0004149937943056645,0.0006153418484440055,17,0.011726555753554623,1743726072.87918
9.649548530578613,18,12.497689723968506,9.339695536362842e-05,0.00041437699965010596,0.0005077739550137343,18,0.01085066197536355,1743726073.2712476
10.044394254684448,19,12.892765760421753,7.444670320128632e-05,0.00034722835987914465,0.00042167506308043095,19,0.009980009539166033,1743726073.6663237
10.436064958572388,20,13.284214496612549,6.859439167672812e-05,0.0002889402947113398,0.0003575346863880679,20,0.009656223032965525,1743726074.0577724
10.842456102371216,21,13.690603733062744,6.445012065047544e-05,0.00023118278029175536,0.0002956329009422308,21,0.009103621103531367,1743726074.4641616
11.234051942825317,22,14.082210302352905,5.372540075298468e-05,0.00021166051159678752,0.0002653859123497722,22,0.008105552204080914,1743726074.8557682
11.62619686126709,23,14.47431492805481,4.075791030571133e-05,0.00019158602818052594,0.00023234393848623727,23,0.007148796724205305,1743726075.2478728
12.019822359085083,24,14.867943048477173,3.369799429235192e-05,0.00015664553947868301,0.00019034353377103493,24,0.006454799579634903,1743726075.641501
12.414453506469727,25,15.262731790542603,2.650936389907487e-05,0.0001327673215682101,0.00015927668546728498,25,0.005798449240805574,1743726076.0362897
12.806036472320557,26,15.654180526733398,2.246850279132829e-05,0.00011407926169988029,0.00013654776449120858,26,0.005202576422462105,1743726076.4277384
13.198211908340454,27,16.046322107315063,1.8632175576437416e-05,9.620866014132223e-05,0.00011484083571775965,27,0.004707928732158643,1743726076.81988
13.592782258987427,28,16.44092059135437,1.4111941657559788e-05,9.157611186054653e-05,0.00010568805351810632,28,0.004378954765004875,1743726077.2144785
13.985289812088013,29,16.833388566970825,1.341001197612132e-05,7.242538112305626e-05,8.583539309917758e-05,29,0.004124629976878482,1743726077.6069465
14.379013538360596,30,17.227128744125366,1.0178806347124359e-05,6.954867467123735e-05,7.972748101836172e-05,30,0.0034307364010500944,1743726078.0006866
14.76996111869812,31,17.61808466911316,8.289942062591911e-06,4.654312976364096e-05,5.483307182623287e-05,31,0.0032363493336736416,1743726078.3916426
15.162839412689209,32,18.01097059249878,7.205222290018482e-06,3.8429082522543026e-05,4.563430481256151e-05,32,0.0030573504281437075,1743726078.7845285
15.557491540908813,33,18.40561032295227,6.358880298526886e-06,3.8526562749708625e-05,4.488544304823551e-05,33,0.003003860126220388,1743726079.1791682
15.948525428771973,34,18.796618461608887,6.2271857557222755e-06,3.470150998278408e-05,4.0928695738506356e-05,34,0.0027162485476244767,1743726079.5701764
16.341007709503174,35,19.189119815826416,4.71437955467087e-06,2.8937237713073334e-05,3.36516172677442e-05,35,0.0024683373456006186,1743726079.9626777
16.732487678527832,36,19.580581426620483,3.40725646570605e-06,2.5248929178989355e-05,2.8656185644695405e-05,36,0.002378177091136809,1743726080.3541393
17.125920057296753,37,19.974037647247314,4.035789298954982e-06,2.3171785923247847e-05,2.720757522220283e-05,37,0.0023457215840492294,1743726080.7475955
17.516112565994263,38,20.364274501800537,3.3679123078965673e-06,1.897188495592378e-05,2.2339797263820345e-05,38,0.002202287696946699,1743726081.1378324
17.913663864135742,39,20.761777639389038,3.3595094131035827e-06,1.5748452299967786e-05,1.9107961713071367e-05,39,0.0021088881058865354,1743726081.5353355
