_step,_runtime,loss_boundary,loss_interior,l2_error,_timestamp,step,time,loss
0,3.530614137649536,2.9756952897845945,0.0001010050750142179,1.795475078669751,1753913665.499881,0,0.5327391624450684,2.9757962948596086
1,3.7532520294189453,2.540650516803534,0.0018885059760205278,1.770728775559482,1753913665.722519,1,1.0149400234222412,2.542539022779555
2,3.9727060794830322,2.5942374981693663,0.0006599976289783817,1.738308389039997,1753913665.941973,2,1.2336885929107666,2.5948974957983446
3,4.192248821258545,2.756798861867736,0.0004647980647882552,0.9696993260612028,1753913666.1615157,3,1.4541921615600586,2.757263659932524
4,4.413280963897705,0.6426514657967787,0.022589483200673572,0.7191176597250156,1753913666.3825479,4,1.6752982139587402,0.6652409489974522
5,4.632092714309692,0.3074992373228556,0.005762431617204778,0.11514393267763928,1753913666.6013596,5,1.8940863609313965,0.3132616689400604
6,4.854586839675903,0.007750206806487401,0.015584422697376457,0.0636676738287108,1753913666.8238537,6,2.115891695022583,0.02333462950386386
7,5.0762038230896,0.0028746136444772097,0.0020952270707376226,0.052257865835939374,1753913667.0454707,7,2.338181734085083,0.004969840715214832
8,5.296841621398926,0.001344561585297857,0.0005176168398358395,0.043319920443077385,1753913667.2661085,8,2.558790445327759,0.0018621784251336964
9,5.517878293991089,0.0012707962442143322,0.00018240253037365213,0.03745711932384927,1753913667.4871452,9,2.779852867126465,0.0014531987745879842
10,5.740990877151489,0.0008354264353113772,0.0001295523692699062,0.023026136711974492,1753913667.7102578,10,3.002835750579834,0.0009649788045812835
11,5.9607462882995605,0.0003298021021832599,4.6485960356951724e-05,0.02035203092577024,1753913667.9300132,11,3.2227046489715576,0.00037628806254021163
12,6.18047308921814,0.00017475383790958532,3.3317825983294104e-05,0.013765675194194568,1753913668.14974,12,3.442446231842041,0.0002080716638928794
13,6.400761365890503,0.00012745461436733195,1.9361535038485592e-05,0.012772756250594418,1753913668.3700283,13,3.6627161502838135,0.00014681614940581755
14,6.6206724643707275,0.00011913175761572876,1.3916974897291855e-05,0.011915209894913676,1753913668.5899394,14,3.8826282024383545,0.00013304873251302062
15,6.842787981033325,8.834077217198668e-05,1.4023576383299226e-05,0.009361227765388775,1753913668.8120549,15,4.104405403137207,0.00010236434855528591
16,7.0631749629974365,6.289816162440426e-05,1.7241532885731814e-05,0.008904997978293213,1753913669.0324419,16,4.325134038925171,8.013969451013607e-05
17,7.283139944076538,3.80047071937146e-05,1.0029051535369446e-05,0.009042019441705898,1753913669.2524068,17,4.545109987258911,4.803375872908404e-05
18,7.504338979721069,4.478478298270638e-05,3.7001553409735407e-06,0.008421398951028764,1753913669.4736059,18,4.766287565231323,4.848493832367992e-05
19,7.725403070449829,5.273671396899098e-05,3.428587077103809e-06,0.009259279162248411,1753913669.69467,19,4.98735785484314,5.616530104609479e-05
20,7.946352481842041,4.3618693242518764e-05,1.264671729979505e-06,0.008477498152076525,1753913669.9156194,20,5.208045482635498,4.488336497249827e-05
