loss,step,_step,_runtime,_timestamp,loss_interior,time,l2_error,loss_boundary
124.82204234786025,0,0,6.043773651123047,1744386631.0976577,123.2499971429984,1.8844537734985352,1.6066285635068274,1.5720452048618543
120.58672196758391,1,1,6.20769739151001,1744386631.2615814,119.02134143737038,3.202387571334839,1.603423477332571,1.5653805302135277
112.48353602230242,2,2,6.3509840965271,1744386631.4048681,110.8381449871953,3.3446571826934814,2.0575763705624066,1.6453910351071073
119.1940102358817,3,3,6.491256952285767,1744386631.545141,116.20627650142147,3.4861772060394287,1.9767440703837884,2.9877337344602415
107.65563062891637,4,4,6.6296021938323975,1744386631.6834862,105.87700898165404,3.6244349479675293,2.275667432082475,1.7786216472623302
103.7827496275655,5,5,6.76917028427124,1744386631.8230543,101.01605544595174,3.764115571975708,1.329339804257789,2.766694181613764
68.93196943563893,6,6,6.908015012741089,1744386631.961899,67.85511100040391,3.902926445007324,1.622745107618793,1.0768584352350257
33.81330342257671,7,7,7.045517206192017,1744386632.0994012,32.62535417731843,4.040409326553345,0.4531869938044957,1.1879492452582818
8.23177708995488,8,8,7.184330463409424,1744386632.2382145,8.09126061246257,4.179203271865845,0.7272534277073852,0.14051647749231003
1.6516642453000945,9,9,7.323764085769653,1744386632.377648,1.3615228411636686,4.3186705112457275,0.2557387531545805,0.2901414041364259
0.39890858916810634,10,10,7.468908309936523,1744386632.5227923,0.36030957760014476,4.46381402015686,0.06126483374434703,0.038599011567961555
0.05686339669548808,11,11,7.606616735458374,1744386632.6605008,0.0541738470372091,4.601544618606567,0.037527572970579605,0.0026895496582789815
0.019252502594510043,12,12,7.74501633644104,1744386632.7989004,0.018284924631129105,4.739898920059204,0.026380711725424087,0.0009675779633809387
0.005909715455889344,13,13,7.884548902511597,1744386632.938433,0.00547961414339837,4.879455089569092,0.012322828212136247,0.0004301013124909738
0.0021680930902198137,14,14,8.02474308013916,1744386633.078627,0.002090663165588021,5.019656181335449,0.009516666992394613,7.742992463179263e-05
0.0014892165256400521,15,15,8.163503170013428,1744386633.2173872,0.001439102201483852,5.15834641456604,0.011244207808202485,5.011432415620009e-05
0.0007019892692146572,16,16,8.301208972930908,1744386633.355093,0.0006363913446199659,5.296138763427734,0.008199610184650446,6.559792459469135e-05
0.0005015797472186487,17,17,8.438402652740479,1744386633.4922867,0.0004593186419961491,5.433300018310547,0.007560711340426662,4.226110522249951e-05
0.0003414055306624265,18,18,8.582666635513306,1744386633.6365507,0.0003138419021700184,5.577549457550049,0.007215634162463265,2.7563628492408087e-05
0.0002662247346605002,19,19,8.71953797340393,1744386633.773422,0.00024112711589581613,5.714446306228638,0.004644231827419318,2.5097618764684046e-05
0.00015877044079375547,20,20,8.85967230796814,1744386633.9135563,0.0001448615823743207,5.854608058929443,0.0026195183334505223,1.390885841943478e-05
9.891910600847112e-05,21,21,9.000120401382446,1744386634.0540044,9.385275077648991e-05,5.995008945465088,0.00319661780426324,5.066355231981206e-06
6.63492939064954e-05,22,22,9.140737295150757,1744386634.1946213,6.05461612188958e-05,6.13556170463562,0.0032537326428172834,5.8031326875996045e-06
7.169857910154858e-05,23,23,9.28216814994812,1744386634.3360522,6.392017342116798e-05,6.277082204818726,0.003176707410963689,7.778405680380596e-06
5.5788841066753985e-05,24,24,9.425549268722534,1744386634.4794333,4.95369499855742e-05,6.420408487319946,0.003186910942929815,6.251891081179781e-06
6.301688215104841e-05,25,25,9.567627906799316,1744386634.621512,5.5908152548860135e-05,6.562465667724609,0.003232260562808139,7.108729602188279e-06
4.117803617717076e-05,26,26,9.707107305526733,1744386634.7609913,3.44940312988812e-05,6.701997756958008,0.0034471395761382193,6.684004878289554e-06
3.892187690232422e-05,27,27,9.847540140151978,1744386634.9014242,3.214967210221505e-05,6.842444658279419,0.0028469904248757763,6.772204800109172e-06
3.0233338852030765e-05,28,28,9.98949122428894,1744386635.0433753,2.5191585804144654e-05,6.98440146446228,0.001908197414514885,5.041753047886109e-06
2.3379501038498184e-05,29,29,10.132063388824463,1744386635.1859474,1.9916886165890807e-05,7.126969814300537,0.0018342276428158003,3.462614872607378e-06
1.911321292987445e-05,30,30,10.274280786514282,1744386635.3281648,1.6885824562849086e-05,7.269121408462524,0.0018553858580835833,2.2273883670253656e-06
1.4155536524720957e-05,31,31,10.412379026412964,1744386635.466263,1.1995528747279882e-05,7.407261610031128,0.001695420238381314,2.1600077774410753e-06
1.5375021287949455e-05,32,32,10.551918745040894,1744386635.6058028,1.2289294057580898e-05,7.54676365852356,0.0016477160152407976,3.0857272303685566e-06
1.3055632947979473e-05,33,33,10.696523427963257,1744386635.7504075,1.1417447844686079e-05,7.691443681716919,0.0015595840444501549,1.6381851032933947e-06
1.4841507229831908e-05,34,34,10.839189291000366,1744386635.8930733,1.282080538668304e-05,7.834087610244751,0.0013390839732551254,2.020701843148868e-06
1.2070534604453737e-05,35,35,10.976842641830444,1744386636.0307267,1.0447872679989809e-05,7.9717652797698975,0.0012426000885576518,1.6226619244639275e-06
9.648844799891807e-06,36,36,11.113569498062134,1744386636.1674535,8.036397999120596e-06,8.108457326889038,0.0011908396072502763,1.612446800771211e-06
9.55492610924199e-06,37,37,11.250961303710938,1744386636.3048453,8.35323249222235e-06,8.245837688446045,0.0012423869505913004,1.2016936170196411e-06
7.918647022078006e-06,38,38,11.388526439666748,1744386636.4424105,6.243429409923314e-06,8.38329792022705,0.0012070279724293088,1.6752176121546928e-06
8.30104247442791e-06,39,39,11.528999090194702,1744386636.5828831,6.34620105462437e-06,8.523816585540771,0.0011801662213259613,1.9548414198035403e-06
