_runtime,loss_boundary,step,time,_timestamp,loss_interior,loss,_step,l2_error
7.156872510910034,1.5720452048618543,0,2.918302059173584,1743888033.7530115,123.2499971429984,124.82204234786025,0,1.6065356054572926
7.327563285827637,1.5874460321441723,1,4.283221006393433,1743888033.9237022,119.20127273019548,120.78871876233966,1,1.6058080079232933
7.483470678329468,1.6330412489866868,2,4.439255237579346,1743888034.0796096,111.37526149077334,113.00830273976003,2,1.6055122565052802
7.630327463150024,2.0973819682214145,3,4.5848305225372314,1743888034.2264664,127.6730742541193,129.77045622234073,3,1.9055894565838303
7.774728059768677,1.8013852557466774,4,4.730593204498291,1743888034.370867,116.55915909331685,118.36054434906353,4,1.9439238695224736
7.920391798019409,2.2339556565199947,5,4.8760762214660645,1743888034.5165308,112.76376067788385,114.99771633440385,5,2.3284601038872843
8.069171905517578,3.3312835728912784,6,5.024922132492065,1743888034.6653109,71.15340872522552,74.4846922981168,6,1.8286576199006477
8.21514630317688,1.7397825624587842,7,5.170932769775391,1743888034.8112853,42.84725534219835,44.58703790465714,7,0.43958864361595756
8.361187219619751,0.09994273474552415,8,5.317016363143921,1743888034.9573262,12.312586186258457,12.41252892100398,8,0.2587948145644736
8.502638578414917,0.041488699377789595,9,5.458457708358765,1743888035.0987775,3.3783363536044977,3.4198250529822873,9,0.25838684741342915
8.642194271087646,0.04891445308727817,10,5.598039865493774,1743888035.2383332,1.162783332590474,1.2116977856777522,10,0.2632828979172434
8.786166906356812,0.03941933848578466,11,5.74198317527771,1743888035.3823059,0.11560325357851005,0.1550225920642947,11,0.13083137494139122
8.922823905944824,0.008636303875244913,12,5.878677129745483,1743888035.5189629,0.04386764898403975,0.052503952859284664,12,0.08976194793731775
9.058389663696289,0.00513627608179358,13,6.014233827590942,1743888035.6545286,0.012773498654000758,0.01790977473579434,13,0.07479085887186937
9.19281005859375,0.003162801843333949,14,6.1486639976501465,1743888035.788949,0.005272893673483723,0.008435695516817672,14,0.04869798853722251
9.328339576721191,0.0013213735798185333,15,6.284160137176514,1743888035.9244785,0.003794132684188691,0.005115506264007225,15,0.04255644769263733
9.463675022125244,0.0008293763733915726,16,6.419519901275635,1743888036.059814,0.002715627894295126,0.003545004267686699,16,0.03547358042549713
9.599031686782837,0.0007729765008092587,17,6.554670810699463,1743888036.1951706,0.001845131761582257,0.0026181082623915157,17,0.0319781284349313
9.735424280166626,0.0005169217286280018,18,6.69104790687561,1743888036.3315632,0.0013564987186624174,0.0018734204472904193,18,0.01445961383303041
9.870152473449707,0.00011127187605365442,19,6.825953722000122,1743888036.4662914,0.0010813410121425138,0.001192612888196168,19,0.01350681973124882
10.011256694793701,0.00011513722915274137,20,6.9669928550720215,1743888036.6073956,0.0007283032172111127,0.0008434404463638541,20,0.007469928002083236
10.146841049194336,3.085631425169604e-05,21,7.102604866027832,1743888036.74298,0.0005029808667121676,0.0005338371809638637,21,0.00721478346342755
10.28423261642456,3.0298446547488843e-05,22,7.2399582862854,1743888036.8803716,0.0003825681480964678,0.0004128665946439566,22,0.007690690423291977
10.421684503555298,2.6643233301673403e-05,23,7.377505302429199,1743888037.0178235,0.00027982291481788143,0.00030646614811955485,23,0.00750885125795501
10.559652090072632,2.3650928184810413e-05,24,7.515387535095215,1743888037.155791,0.00018808991782820177,0.00021174084601301217,24,0.006536540539051893
10.696138620376587,2.438921085519884e-05,25,7.65190052986145,1743888037.2922776,0.00018007756423193543,0.00020446677508713428,25,0.006866329707372152
10.832376480102539,2.9847074098116834e-05,26,7.788197994232178,1743888037.4285154,0.0001272267582908845,0.00015707383238900132,26,0.0063558654369834
10.970847368240356,2.3877334689501386e-05,27,7.926599740982056,1743888037.5669863,0.00011444822692330888,0.00013832556161281025,27,0.005708589893967197
11.107106447219849,2.0581351720341455e-05,28,8.062955379486084,1743888037.7032454,9.923668012744695e-05,0.0001198180318477884,28,0.00486745654456817
11.246745824813843,1.214671759763209e-05,29,8.202322721481323,1743888037.8428848,7.259180604463701e-05,8.47385236422691e-05,29,0.004720793692227526
11.382383823394775,1.2922360051297053e-05,30,8.338200807571411,1743888037.9785228,6.154954073252666e-05,7.447190078382371e-05,30,0.004303347022330061
11.518414735794067,1.034364811795396e-05,31,8.4740309715271,1743888038.1145537,4.149188880004593e-05,5.183553691799989e-05,31,0.004066315308376385
11.654102325439453,1.2200766023056078e-05,32,8.609917163848877,1743888038.2502413,3.077324594632523e-05,4.297401196938131e-05,32,0.003939181243462104
11.788853645324707,8.185431575601749e-06,33,8.744688510894775,1743888038.3849926,2.940366903685513e-05,3.758910061245688e-05,33,0.003854516178224611
11.924064874649048,8.798023668249694e-06,34,8.879897594451904,1743888038.5202038,2.842922641007943e-05,3.7227250078329126e-05,34,0.0035921825978987663
12.061848163604736,7.132764133885503e-06,35,9.017636060714722,1743888038.657987,1.9690929587660506e-05,2.682369372154601e-05,35,0.003401478499899524
12.197607040405273,8.227577585301541e-06,36,9.15342116355896,1743888038.793746,1.8457513531411388e-05,2.668509111671293e-05,36,0.002534310976920616
12.33251667022705,4.367449943100402e-06,37,9.28824257850647,1743888038.9286556,1.700637047217285e-05,2.137382041527325e-05,37,0.002544021272097088
12.468526124954224,4.246874325281031e-06,38,9.42424201965332,1743888039.064665,1.5826818029995708e-05,2.007369235527674e-05,38,0.0024326870725675073
12.604437589645386,4.159232146351474e-06,39,9.560221195220947,1743888039.2005765,1.5815996932108403e-05,1.9975229078459877e-05,39,0.0019064144081701194
