loss,loss_boundary,time,_runtime,l2_error,step,_step,_timestamp,loss_interior
1038.2392114941906,1028.170260714286,0.6416757106781006,3.5379185676574707,33.085949638777166,0,0,1753932715.5194046,10.068950779904597
832.0736385876446,816.4217091060978,1.2219195365905762,3.854005813598633,21.810355961831878,1,1,1753932715.835492,15.651929481546826
478.6681373153237,424.699966808801,1.5382556915283203,4.16919469833374,13.595846781086156,2,2,1753932716.1506808,53.9681705065227
237.60528518977412,174.70274991671636,1.855107307434082,4.485843896865845,10.91702719028909,3,3,1753932716.46733,62.90253527305776
191.1931733152836,143.8903507617621,2.1705658435821533,4.8012518882751465,9.780190739362286,4,4,1753932716.782738,47.30282255352147
136.6412787889738,90.88414208302507,2.4836418628692627,5.11443018913269,9.51669350392374,5,5,1753932717.0959163,45.75713670594874
129.87115496386824,90.79609076641142,2.797203302383423,5.427926301956177,9.416979744345785,6,6,1753932717.4094124,39.07506419745682
123.01540115626958,91.16197951411867,3.1101462841033936,5.740820646286011,9.395775434346984,7,7,1753932717.7223067,31.8534216421509
137.2990148087905,100.33333860147773,3.4230778217315674,6.053761005401611,10.00688932031206,8,8,1753932718.035247,36.96567620731277
130.2973366250885,75.57614448054595,3.7418720722198486,6.37280535697937,10.24518846956426,9,9,1753932718.3542914,54.72119214454254
155.2989327078683,77.17558634724462,4.054647922515869,6.685374736785889,10.088683335544305,10,10,1753932718.6668608,78.12334636062369
153.03774133455926,64.1593764350549,4.3686840534210205,6.99935507774353,10.107482307347132,11,11,1753932718.9808412,88.87836489950438
164.29958629377774,74.875495936766,4.6831817626953125,7.313901901245117,9.955248130316434,12,12,1753932719.295388,89.42409035701172
186.88188686361718,73.18761308376841,4.997728586196899,7.628427028656006,10.016691498779146,13,13,1753932719.609913,113.69427377984877
140.3425222309514,78.91471474400822,5.312630653381348,7.943851470947266,10.171165690385584,14,14,1753932719.9253376,61.42780748694318
117.25829857320036,58.803604316721476,5.626742839813232,8.257462978363037,10.55777936267756,15,15,1753932720.238949,58.454694256478895
158.79375825858475,52.022002471309754,5.9410834312438965,8.571849584579468,10.652448249993808,16,16,1753932720.5533357,106.771755787275
114.87228146261101,64.30587275954055,6.255655288696289,8.886368036270142,10.163288726496969,17,17,1753932720.867854,50.566408703070465
161.4094449312558,50.654074947824256,6.570461988449097,9.201266765594482,10.37409509105683,18,18,1753932721.1827528,110.75536998343155
109.86697873654023,54.30906208765729,6.8787758350372314,9.509505987167358,9.643806730902519,19,19,1753932721.490992,55.557916648882944
88.91254753187528,57.22733776293135,7.186375379562378,9.81709909439087,10.000958638810294,20,20,1753932721.7985852,31.685209768943924
104.78389595508173,80.5607377958737,7.494636058807373,10.1253662109375,9.952564922159398,21,21,1753932722.1068523,24.223158159208023
104.78639320613206,79.58143377816958,7.806234359741211,10.43718671798706,9.808576666472035,22,22,1753932722.4186728,25.204959427962486
84.72229944785794,51.66487070614023,8.114957809448242,10.7456796169281,9.798030668643877,23,23,1753932722.7271657,33.05742874171771
96.51356827619149,74.49106076762175,8.4236159324646,11.054315567016602,10.013277556999551,24,24,1753932723.0358016,22.02250750856975
79.65989524401903,46.787987697901784,8.732513427734375,11.363200664520264,9.906235513350703,25,25,1753932723.3446867,32.87190754611724
98.63335568091406,62.29781244533111,9.039854526519775,11.670519351959229,10.013730010575946,26,26,1753932723.6520054,36.335543235582946
91.12436081016662,56.573708318747904,9.35105299949646,11.981948375701904,9.783190337077835,27,27,1753932723.9634345,34.55065249141871
78.66119278333585,47.74496865875498,9.659596920013428,12.290269613265991,9.81397113576369,28,28,1753932724.2717557,30.91622412458088
112.3838424524873,48.57540661555205,9.967395067214966,12.598063945770264,9.39888633231867,29,29,1753932724.57955,63.80843583693526
105.75193401177943,53.56041503602832,10.275460481643677,12.906103134155273,8.819523534017886,30,30,1753932724.8875892,52.19151897575111
118.64963384683756,54.70014376090896,10.583670139312744,13.214341163635254,10.131844246039478,31,31,1753932725.1958272,63.94949008592861
119.54633754806767,59.05169934037591,10.894253730773926,13.525275945663452,9.719398035406167,32,32,1753932725.506762,60.494638207691764
73.65177686173051,39.94979895301986,11.201862812042236,13.832508087158203,9.243902940966786,33,33,1753932725.8139942,33.70197790871065
87.53595996327337,53.01743921745914,11.508757829666138,14.139409303665161,10.383303202005212,34,34,1753932726.1208954,34.51852074581423
93.78099488299671,48.67948287912239,11.81883692741394,14.449524164199829,10.119556219041154,35,35,1753932726.4310102,45.10151200387432
76.42549650720082,51.69042264385167,12.126900434494019,14.757572650909424,9.405579195920442,36,36,1753932726.7390587,24.735073863349157
84.22580086551747,47.2753061369302,12.434746742248535,15.065438270568848,8.938967476337167,37,37,1753932727.0469244,36.950494728587266
73.89678113687376,52.51534893151822,12.742581129074097,15.373692750930786,10.635388653226677,38,38,1753932727.3551788,21.381432205355534
73.32785495549598,52.91926268558389,13.051409482955933,15.682091474533081,9.94105595103927,39,39,1753932727.6635776,20.4085922699121
60.61909726518178,39.57506063680994,13.359933853149414,15.990576267242432,9.253357119565116,40,40,1753932727.9720623,21.044036628371845
80.5439977716286,58.339372526372564,13.970575094223022,16.601243495941162,8.706111307036927,42,41,1753932728.5827296,22.204625245256032
67.20006637674454,25.434335279156386,15.198580503463745,17.82934546470642,8.272644830782788,46,42,1753932729.8108315,41.76573109758816
77.68971896972658,37.12429337325976,16.43955636024475,19.07023549079895,8.056951162479047,50,43,1753932731.0517216,40.56542559646683
98.32851092765449,28.993039000968096,17.994282484054565,20.625028371810913,7.322254359862952,55,44,1753932732.6065145,69.3354719266864
