loss_interior,loss,step,_runtime,loss_boundary,time,_step,l2_error,_timestamp
10.066191901282938,1098.7978572872114,0,22.1465961933136,1088.7316653859284,19.304430723190308,0,36.264692195433916,1744673987.1121182
38.568823774080265,1075.0211652639705,1,40.15727162361145,1036.4523414898902,37.51252889633179,1,20.856580130119642,1744674005.1227937
87.20549174170266,500.7064040375296,2,58.151326179504395,413.50091229582694,55.5075581073761,2,15.171489807761642,1744674023.1168482
88.71474497867843,353.2699550552313,3,76.1532256603241,264.5552100765529,73.50988292694092,3,11.594596855216317,1744674041.1187477
108.93942327386668,289.52871241912806,4,94.1556327342987,180.5892891452614,91.51201868057251,4,9.370054974086583,1744674059.1211548
130.37236781235126,276.76241425137346,5,112.1698546409607,146.39004643902217,109.52592206001282,5,8.1128690281071,1744674077.1353767
137.70056200676896,238.0186850452585,6,130.1762399673462,100.31812303848955,127.5328917503357,6,7.646220019100793,1744674095.141762
165.63118385882177,242.43388600302964,7,148.18994283676147,76.80270214420787,145.54597425460815,7,7.635625767238386,1744674113.155465
186.16028312983394,245.15527680789305,8,166.19742703437805,58.994993678059096,163.55394411087036,8,7.83854679349305,1744674131.162949
192.07732628462293,241.12956164584222,9,184.20516419410706,49.05223536121929,181.56127834320068,9,8.081907924680293,1744674149.1706862
182.7302894459158,221.71054174461716,10,202.21379375457764,38.98025229870138,199.5699498653412,10,8.299959931964663,1744674167.1793158
190.2017416965623,229.59526856181483,11,220.22392201423645,39.39352686525255,217.58025527000427,11,8.814171141909023,1744674185.189444
192.7972198401417,228.2837158898362,12,238.23223328590393,35.48649604969449,235.58843088150024,12,8.622602464670873,1744674203.1977553
212.53389931133862,242.34156825122884,13,256.2309763431549,29.807668939890217,253.5874674320221,13,8.436104747008832,1744674221.1964984
191.46984865274496,218.2120805553309,14,274.2235333919525,26.742231902585957,271.5792953968048,14,8.629831463250444,1744674239.1890554
180.854404297241,202.67295855638406,15,292.2322368621826,21.818554259143077,289.5888421535492,15,8.16755351876071,1744674257.197759
166.27356261889275,186.5675399388892,16,310.2463684082031,20.29397731999647,307.6024911403656,16,7.804973774344374,1744674275.2118905
143.7525895317874,162.4837697992468,17,328.2601013183594,18.731180267459404,325.6153664588928,17,7.194201200150078,1744674293.2256234
135.34204139360423,150.22788004245774,18,346.2806553840637,14.885838648853506,343.6364507675171,18,6.606155573159663,1744674311.2461774
115.15119705599267,125.69683036361283,19,364.3005564212799,10.54563330762017,361.65656638145447,19,6.070686768636999,1744674329.2660785
91.65818472042066,101.90688859101485,20,382.3297483921051,10.24870387059419,379.68576836586,20,5.477217596461669,1744674347.2952704
73.48529957783016,82.1041680342333,21,400.3557951450348,8.618868456403135,397.71158599853516,21,5.031339248746054,1744674365.3213172
60.22547022519225,67.49578520052223,22,418.37669944763184,7.270314975329988,415.7325026988983,22,4.76015444920117,1744674383.3422215
55.59445391202409,61.45726110959879,23,436.3977744579315,5.862807197574696,433.753324508667,23,4.530997944238502,1744674401.3632965
47.09482959167465,52.18335949411772,24,454.42069816589355,5.088529902443066,451.77657103538513,24,4.177498663414681,1744674419.3862202
39.66038871788086,43.82528666484926,25,472.4463574886322,4.164897946968394,469.80252957344055,25,3.909084808860369,1744674437.4118795
30.558335227409795,33.7822861139596,26,490.46376943588257,3.223950886549801,487.8194992542267,26,3.715049156210357,1744674455.4292915
