loss_interior,loss,step,_runtime,loss_boundary,time,_step,l2_error,_timestamp
0.012311501459010912,0.02022262927508421,98,1787.0595216751099,0.007911127816073301,1784.413446187973,50,0.0712939350119703,1744675752.0250437
0.006500252610669864,0.008096333489653957,107,1949.0922174453735,0.0015960808789840931,1946.448034286499,51,0.03386121283926686,1744675914.0577395
0.0034293049133945273,0.0053395407632280765,118,2147.135436296463,0.0019102358498335494,2144.491463661194,52,0.03804099620493068,1744676112.1009583
0.0018156486448394707,0.001990039860129196,130,2363.1728541851044,0.00017439121528972523,2360.5289192199707,53,0.02669801928627833,1744676328.1383762
0.0009336533920032854,0.00110108117782292,143,2597.224974632263,0.0001674277858196346,2594.5806584358215,54,0.019173062899622003,1744676562.1904967
0.0005664485400025923,0.0009654745135387469,157,2849.2330598831177,0.00039902597353615464,2846.5890097618103,55,0.014168600569985425,1744676814.198582
0.0004254796426744785,0.0005583279392246748,172,3119.2803659439087,0.00013284829655019632,3116.6359539031982,56,0.01265378264076147,1744677084.245888
0.00023540567672828875,0.00036506861726505154,190,3443.308095932007,0.0001296629405367628,3440.6640400886536,57,0.009403009975316581,1744677408.273618
0.00016692907681332565,0.0002901043967114889,208,3767.297903060913,0.00012317531989816327,3764.653683423996,58,0.01178430216999835,1744677732.263425
0.00012192772477644975,0.00020844659885315472,229,4145.355145692825,8.651887407670498e-05,4142.7111394405365,59,0.00915977036148959,1744678110.3206677
9.778064608437503e-05,0.00017996181108908817,252,4559.398973226547,8.218116500471312e-05,4556.755004644394,60,0.007475634378812342,1744678524.3644953
7.568802574441334e-05,0.0001210693476186468,277,5009.492349863052,4.5381321874233455e-05,5006.848532915115,61,0.006634976364296559,1744678974.457872
0.0011794665876488602,0.0012260185731425492,305,5513.859148263931,4.655198549368901e-05,5511.215291500092,62,0.018216269447601883,1744679478.8246703
4.527382806245027e-05,0.00013553230542065188,335,6053.884784936905,9.02584773582016e-05,6051.240970373154,63,0.0074478522922018465,1744680018.850307
2.9407442977056042e-05,5.57197580512254e-05,369,6665.973647117615,2.6312315074169362e-05,6663.329353570938,64,0.004764208483902651,1744680630.9391692
3.7104878681350786e-05,7.494031509684912e-05,388,7008.184923410416,3.783543641549834e-05,7005.540801048279,65,0.005576195326328815,1744680973.1504455
