loss_interior,time,l2_error,loss_boundary,step,_runtime,loss,_step,_timestamp
0.0001010050750142179,0.38031578063964844,1.1217651981584478,2.9756952897845945,0,3.2515244483947754,2.9757962948596086,0,1753913827.2475905
0.04108316067019862,0.7009785175323486,0.6013876801124537,1.0521282244358863,1,3.352339744567871,1.093211385106085,1,1753913827.3484058
0.005703121245942893,0.8000812530517578,0.950422661935467,0.4373389606515303,2,3.4514217376708984,0.4430420818974732,2,1753913827.4474878
0.001686629126414575,0.8988783359527588,0.9353260603387066,0.9274477041919397,3,3.550112247467041,0.9291343333183543,3,1753913827.5461783
0.0006116184743514475,0.9984214305877686,0.9013360732392148,0.6456182770108561,4,3.649824619293213,0.6462298954852075,4,1753913827.6458907
0.0009447767264788583,1.097311019897461,0.8767297318262404,0.5297319089102044,5,3.748563766479492,0.5306766856366832,5,1753913827.7446299
0.0018550504418198381,1.1957728862762451,0.82907531215363,0.529322499286796,6,3.8481016159057617,0.5311775497286159,6,1753913827.8441677
0.0019774510845701025,1.295456886291504,0.7770377343128951,0.5101174991110063,7,3.9467039108276367,0.5120949501955765,7,1753913827.94277
0.001582499104912176,1.3941724300384521,0.7271025328958071,0.39758852053952054,8,4.04546046257019,0.3991710196444327,8,1753913828.0415266
0.0016365938466829282,1.493126630783081,0.6711291028244425,0.3878629031460926,9,4.144526720046997,0.38949949699277553,9,1753913828.1405928
0.0012953094124757165,1.5925304889678955,0.6188657478660186,0.30057097605347016,10,4.243838310241699,0.3018662854659459,10,1753913828.2399044
0.0011963461765428368,1.6917965412139893,0.5744534132590439,0.27593221470664053,11,4.34308934211731,0.2771285608831834,11,1753913828.3391554
0.0010786597793821788,1.7912356853485107,0.5345657715184302,0.20954736437075525,12,4.442576885223389,0.21062602415013743,12,1753913828.438643
0.0010358519331421603,1.890676736831665,0.49642130930302986,0.202925219220407,13,4.542056560516357,0.20396107115354914,13,1753913828.5381227
0.0007991211605419521,1.9912314414978027,0.463700589980408,0.17039591735875598,14,4.642657279968262,0.17119503851929793,14,1753913828.6387234
0.0007674719886925478,2.0913922786712646,0.43254867837693545,0.13731384989126275,15,4.742725372314453,0.13808132187995528,15,1753913828.7387915
0.0006434610560285946,2.191073417663574,0.4023701569838002,0.11147369590472414,16,4.842226028442383,0.11211715696075274,16,1753913828.8382921
0.00043015939663570843,2.290738821029663,0.37570599644880953,0.09780157192808801,17,4.942094087600708,0.09823173132472372,17,1753913828.9381602
0.00034007994630010655,2.390448570251465,0.3510539458335915,0.1024263186922257,18,5.041629791259766,0.1027663986385258,18,1753913829.037696
0.0002802334866633169,2.489898443222046,0.32864541768156696,0.08836812748078181,19,5.1412482261657715,0.08864836096744512,19,1753913829.1373143
0.00018641769057395373,2.5896224975585938,0.30829234865543076,0.07865978076348461,20,5.2409138679504395,0.07884619845405856,20,1753913829.23698
0.00017218284324199706,2.689711093902588,0.288532311581264,0.07172245270054585,21,5.341091871261597,0.07189463554378785,21,1753913829.337158
0.00012475834438704827,2.7900588512420654,0.27053654123930204,0.05246867809898775,22,5.441418886184692,0.0525934364433748,22,1753913829.437485
0.00011786837372364359,2.8897483348846436,0.2533629177520671,0.04571124123653728,23,5.541141748428345,0.045829109610260925,23,1753913829.5372078
9.227890881774133e-05,2.9890763759613037,0.23815756755498782,0.0435572304101736,24,5.640409708023071,0.04364950931899134,24,1753913829.6364758
6.111980003791438e-05,3.088129758834839,0.22432076851537888,0.04126790546919496,25,5.739417791366577,0.04132902526923288,25,1753913829.735484
6.791376212684025e-05,3.186483144760132,0.21112398277847638,0.03532747454872667,26,5.837740182876587,0.035395388310853516,26,1753913829.8338063
6.0270161637545935e-05,3.2845091819763184,0.19861799028395816,0.030522129081727776,27,5.935806512832642,0.03058239924336532,27,1753913829.9318726
4.3432418270000206e-05,3.3833725452423096,0.18683415475905532,0.027177505467564124,28,6.034769773483276,0.027220937885834125,28,1753913830.0308359
5.490852159321028e-05,3.4823105335235596,0.176401769168352,0.02454835718574822,29,6.133640289306641,0.024603265707341428,29,1753913830.1297064
4.224484408061597e-05,3.580933094024658,0.16638945929876806,0.02052071423426165,30,6.232221603393555,0.020562959078342265,30,1753913830.2282877
3.116603304762864e-05,3.679297685623169,0.15709353859700323,0.018262397322489573,31,6.330520868301392,0.018293563355537203,31,1753913830.326587
2.562467906140492e-05,3.777890682220459,0.14833390121591397,0.017436431746328335,32,6.429271459579468,0.01746205642538974,32,1753913830.4253376
4.6651577919950445e-05,3.8772268295288086,0.14010679291464026,0.014914710057554147,33,6.528554201126099,0.014961361635474096,33,1753913830.5246203
3.330827410303189e-05,3.9767253398895264,0.13288917280492551,0.01291412518904175,34,6.628052473068237,0.01294743346314478,34,1753913830.6241186
2.717633652132224e-05,4.0766942501068115,0.12601271733268804,0.012350978628043829,35,6.7281694412231445,0.01237815496456515,35,1753913830.7242355
3.530130045371235e-05,4.177297592163086,0.11924856706092071,0.010890371191165503,36,6.828480958938599,0.010925672491619215,36,1753913830.824547
2.844616239095519e-05,4.276684761047363,0.11307414484729203,0.011308095745073717,37,6.928001403808594,0.011336541907464671,37,1753913830.9240675
2.8385633727925944e-05,4.37627911567688,0.10718904984739541,0.008061070909786106,38,7.027607679367065,0.008089456543514032,38,1753913831.0236738
2.3721476010854752e-05,4.475922584533691,0.10176069787050891,0.007164664788317665,39,7.127264022827148,0.00718838626432852,39,1753913831.12333
1.772222841874674e-05,4.575943470001221,0.09678772029026587,0.00730552429623055,40,7.227185249328613,0.007323246524649297,40,1753913831.2232513
