_timestamp,l2_error,loss,step,time,_runtime,loss_boundary,loss_interior,_step
1746079185.8674886,2.052805294899846,124.79941088089237,0,1.591468095779419,4.303200721740723,1.5480622822617889,123.25134859863059,0
1746079186.1196575,1.6975427478193719,127.4709880516981,1,2.039853572845459,4.55536961555481,2.5315552778533004,124.9394327738448,1
1746079186.375814,1.665734722874144,113.35575062567723,2,2.2931718826293945,4.81152606010437,1.7830319918013693,111.57271863387587,2
1746079186.6319368,1.6178307856995042,115.9547644214597,3,2.551964282989502,5.067648887634277,1.7112630219243303,114.24350139953538,3
1746079186.880208,1.5864352176150713,114.09966048731289,4,2.8002865314483643,5.315920114517212,1.5270243222217952,112.5726361650911,4
1746079187.1287122,1.5596175406060349,109.20597553272697,5,3.0475680828094482,5.564424276351929,1.4763206406317468,107.72965489209523,5
1746079187.3795855,1.535925190518396,109.781875956001,6,3.2996292114257812,5.815297603607178,1.4224734881862253,108.35940246781477,6
1746079187.6253412,1.5111154293584819,103.47721714348337,7,3.545351982116699,6.061053276062012,1.4990951812689837,101.97812196221439,7
1746079187.874649,1.4876611641374602,98.86809753526457,8,3.794689416885376,6.31036114692688,1.347269946987672,97.5208275882769,8
1746079188.1226544,1.4650966935288747,92.5402348039523,9,4.04278302192688,6.558366537094116,1.320577708047564,91.21965709590474,9
1746079188.369351,1.4432596737012207,95.76606455953046,10,4.289332151412964,6.805063009262085,1.286107367382809,94.47995719214765,10
1746079188.6257784,1.4219210988554023,91.54016736412804,11,4.545657396316528,7.061490535736084,1.1723063696899818,90.36786099443806,11
1746079188.873998,1.4013307528681949,87.42500378623056,12,4.79405665397644,7.3097100257873535,1.141436830386756,86.28356695584381,12
1746079189.1223493,1.3812276262950118,86.9299193712544,13,5.042388677597046,7.558061361312866,1.0793382964136369,85.85058107484076,13
1746079189.3716807,1.3613796981756092,87.0709564311977,14,5.291780233383179,7.807392835617065,1.1589391034220344,85.91201732777567,14
1746079189.6233423,1.3420147566275875,83.73736817599891,15,5.543400526046753,8.059054374694824,1.0911315965589947,82.64623657943991,15
1746079189.8681772,1.3230898028876659,80.63597765552738,16,5.788167953491211,8.303889274597168,1.070097801103209,79.56587985442418,16
1746079190.1132536,1.304295527409266,78.14219594195835,17,6.033278465270996,8.548965692520142,0.9502636658008659,77.19193227615749,17
1746079190.3590994,1.2858841933305698,74.98334449060981,18,6.279120445251465,8.794811487197876,0.9588294943540804,74.02451499625573,18
1746079190.6155524,1.2678089154941892,73.6994868135039,19,6.535513877868652,9.051264524459839,0.8497333011356871,72.84975351236821,19
1746079190.8609288,1.2500260042031521,69.76585011666864,20,6.781038045883179,9.296640872955322,0.9195585034055312,68.84629161326312,20
1746079191.1062295,1.2325119330942416,66.61137829446831,21,7.026271104812622,9.54194164276123,0.9191532908716799,65.69222500359663,21
1746079191.351581,1.2152944882406633,66.93008272381255,22,7.271615505218506,9.787293195724487,0.9224801138289008,66.00760260998365,22
1746079191.596845,1.1982984136131105,64.97754710407969,23,7.516852140426636,10.032557010650635,0.9350985815654517,64.04244852251423,23
1746079191.8417842,1.1815794250182434,63.221295424436114,24,7.761805772781372,10.277496337890625,0.8733697158083817,62.347925708627734,24
1746079192.0864468,1.165121186887142,61.58357556904894,25,8.006404161453247,10.522158861160278,0.8348740358631336,60.74870153318581,25
1746079192.3313649,1.1488775134135016,61.87833149518028,26,8.25140380859375,10.767076969146729,0.8110190079436255,61.06731248723665,26
1746079192.5766273,1.1329919203596426,59.973592773783075,27,8.496599197387695,11.012339353561401,0.7207067313554885,59.25288604242758,27
1746079192.8219335,1.1172632583198667,56.85126593951967,28,8.741986751556396,11.257645606994629,0.7391520881807603,56.11211385133891,28
1746079193.06848,1.101720337787078,55.034270216581056,29,8.988425016403198,11.504192113876343,0.7647112547343263,54.26955896184673,29
1746079193.3130827,1.0864216650754372,53.323872941920186,30,9.233130931854248,11.748794794082642,0.8115123117283893,52.51236063019179,30
1746079193.560837,1.0712163725985375,50.67658725862107,31,9.48075795173645,11.996549129486084,0.6686628076100126,50.00792445101106,31
1746079193.8110256,1.0562755593346553,48.93745177250402,32,9.730982065200806,12.246737718582153,0.6183417040262038,48.31911006847781,32
1746079194.058299,1.0415660608866026,51.386692966856224,33,9.978344678878784,12.494011163711548,0.6795063072088164,50.707186659647405,33
1746079194.3060253,1.0271020440450207,45.99586174390897,34,10.226076364517212,12.741737365722656,0.6198320177749908,45.37602972613398,34
1746079194.563345,1.0127354880546424,47.440848044016676,35,10.48369574546814,12.999057054519653,0.6560347641821866,46.78481327983449,35
1746079194.815131,0.998633226380088,45.022102697272175,36,10.735151529312134,13.250843048095703,0.6416359703049206,44.380466726967256,36
1746079195.0618436,0.9847110580760825,44.12327529052414,37,10.98178768157959,13.49755573272705,0.6084851692763011,43.51479012124784,37
1746079195.318623,0.970959342908906,42.88944941218637,38,11.238646268844604,13.754335165023804,0.5655692764432431,42.32388013574313,38
1746079195.5657344,0.9574495216765173,40.817992124094395,39,11.48574686050415,14.00144648551941,0.5413612408770965,40.2766308832173,39
1746079195.8101363,0.9441105527386728,41.29377959984697,40,11.73013424873352,14.245848417282104,0.501431347940875,40.7923482519061,40
1746079196.2972012,0.9180323789011883,37.84382092089991,42,12.21710205078125,14.732913255691528,0.5064550344857287,37.33736588641418,41
1746079197.26411,0.8680262608875062,36.29334704282732,46,13.184113502502441,15.699822187423706,0.4171865228303004,35.87616051999702,42
1746079198.232091,0.8207092496056297,30.84317377152888,50,14.152024984359741,16.667803049087524,0.40794437290461416,30.435229398624266,43
