loss_interior,step,time,_step,_timestamp,_runtime,loss_boundary,loss,l2_error
123.25134859863059,0,2.9394779205322266,0,1744697364.5801446,6.850568532943726,1.5480622822617889,124.79941088089237,4.4796674563618515
38835580.773253836,1,5.300697326660156,1,1744697366.09099,8.361413955688477,11.078982690480574,38835591.852236524,4.25659998833635
54314948.17960275,2,6.800868988037109,2,1744697367.5920742,9.862498044967651,9.424698714655761,54314957.60430147,4.038427643226446
37668743.83389842,3,8.302907943725586,3,1744697369.0932877,11.363711595535278,8.70624465412008,37668752.54014307,3.8313567900432313
29131149.954394702,4,9.785480499267578,4,1744697370.5775223,12.847946166992188,8.515044375117538,29131158.469439078,3.6364544681262605
45975040.81874651,5,11.271321058273315,5,1744697372.0622106,14.332634449005127,7.567182703204998,45975048.38592921,3.45801343891277
25983609.973637287,6,12.768190383911133,6,1744697373.5590088,15.829432725906372,6.445206010640936,25983616.418843295,3.28257577447753
29184036.090515297,7,14.264267206192017,7,1744697375.054593,17.325016975402832,5.079022183337453,29184041.16953748,3.117161680460885
23675025.46286797,8,15.770632028579712,8,1744697376.5612419,18.831665754318237,5.2583505434193585,23675030.721218515,2.9628960485666296
16684003.172577234,9,17.270507097244263,9,1744697378.060822,20.33124589920044,4.84846822706795,16684008.021045461,2.8183214212285734
15632238.835917892,10,18.767473220825195,10,1744697379.5580726,21.82849645614624,4.34809979535725,15632243.184017688,2.680035613183868
14463922.149788503,11,20.26217246055603,11,1744697381.0527885,23.323212385177612,3.89794795753284,14463926.04773646,2.547555079344018
9723113.012047281,12,21.753472566604614,12,1744697382.5441926,24.814616441726685,3.3805865780646456,9723116.392633859,2.4212533349041117
10223101.73218356,13,23.254566192626953,13,1744697384.0452347,26.315658569335938,3.1099373181803083,10223104.842120878,2.302724751438157
18175002.91306196,14,24.74360704421997,14,1744697385.533893,27.804316997528076,2.6900062264535536,18175005.603068188,2.190329301061344
9984002.905917052,15,26.236297130584717,15,1744697387.027101,29.29752492904663,2.5748993359020065,9984005.480816389,2.083203039928122
8501609.509884542,16,27.745089292526245,16,1744697388.5356758,30.80609965324402,2.36525570476024,8501611.875140246,1.9827687492895607
16246844.258390889,18,30.733795642852783,17,1744697391.5249114,33.79533529281616,1.9631553610132337,16246846.22154625,1.7926846385665227
6069223.3607113315,20,33.714637756347656,18,1744697394.5056791,36.776103019714355,1.657581558532503,6069225.01829289,1.6257669423908097
4562624.381577906,22,36.6875946521759,19,1744697397.4780834,39.748507261276245,1.2523798736246126,4562625.63395778,1.469290704660518
3731379.162432921,24,39.64852452278137,20,1744697400.4391172,42.7095410823822,1.1191251189804226,3731380.28155804,1.3310775884022172
4465143.040880107,26,42.58468294143677,21,1744697403.3752637,45.64568758010864,0.8221883330436506,4465143.86306844,1.2050713196760268
3025583.305505151,29,47.030380725860596,22,1744697407.8212044,50.091628313064575,0.6624216446768649,3025583.9679267956,1.040436537449352
1801436.7425878798,31,49.998326778411865,23,1744697410.7886965,53.059120416641235,0.4986153340180423,1801437.2412032138,0.9434856894850762
2213794.548602297,35,55.90994095802307,24,1744697416.700616,58.97103977203369,0.3471465672951072,2213794.8957488644,0.7780515995067431
1841078.6153925606,38,60.365581035614014,25,1744697421.1562507,63.426674604415894,0.2372975611195734,1841078.8526901216,0.672638259976686
1162909.9889280088,42,66.31709265708923,26,1744697427.107965,69.37838888168335,0.1816996330253438,1162910.170627642,0.5551779921333948
929376.1013779535,46,72.25715208053589,27,1744697433.0494921,75.31991600990295,0.12337567703024749,929376.2247536306,0.4596881601277627
353694.377261083,50,78.17747044563293,28,1744697438.9679956,81.23841953277588,0.08397002945098818,353694.4612311124,0.3814256964871775
337003.64103753853,55,85.59363150596619,29,1744697446.383975,88.65439891815186,0.056340640747181196,337003.6973781793,0.30410528513635543
576611.6142089082,61,94.47820115089417,30,1744697455.2691336,97.53955745697021,0.027290703764540767,576611.6414996119,0.23330162960602424
92001.82689526145,67,103.32597398757935,31,1744697464.116994,106.38741779327393,0.017013463872724184,92001.84390872532,0.18002890736462462
34055.50414522232,73,112.28467297554016,32,1744697473.075341,115.34576487541199,0.01176103227228656,34055.51590625459,0.1395746880054572
17320.002785817796,81,124.11106944084167,33,1744697484.9018583,127.1722822189331,0.005587899624923046,17320.00837371742,0.10045950400318004
20202.64510550819,89,135.92384505271912,34,1744697496.715415,138.98583889007568,0.003445404822726781,20202.64855091301,0.07381041284707994
5955.909583413154,98,149.127760887146,35,1744697509.918643,152.18906688690186,0.0016121656540744591,5955.9111955788085,0.053469384262069854
1519.3513185614922,107,162.32324862480164,36,1744697523.1138,165.38422393798828,0.0010636143799732435,1519.3523821758722,0.041531667246873155
1044.1435335481056,118,178.4471824169159,37,1744697539.2382514,181.50867533683777,0.0008258396959374825,1044.1443593878014,0.036089055444851206
413.80455360935036,130,196.20876812934875,38,1744697557.000981,199.27140498161316,0.001032563854526465,413.8055861732049,0.03545168522096875
51.070441206237376,143,215.42631244659424,39,1744697576.218094,218.48851799964905,0.0006994623783993576,51.071140668615776,0.03284609844878019
89.60840663618698,157,236.09714674949646,40,1744697596.8878899,239.1583137512207,0.00047869000964977895,89.60888532619663,0.028999035149387262
3.611486790866774,172,258.1664209365845,41,1744697618.9580917,261.228515625,0.00026109975396975657,3.6117478906207436,0.019606272396942598
4.2030539903702335,190,284.7695860862732,42,1744697645.5602403,287.83066415786743,0.00019141575556844175,4.203245406125802,0.01991334033297189
0.4605841543662388,208,311.47571897506714,43,1744697672.2665694,314.536993265152,0.0016407244115862034,0.462224878777825,0.06055982429668938
