loss,step,_step,l2_error,loss_boundary,loss_interior,time,_runtime,_timestamp
124.79941088089237,0,0,1.6661887752747113,1.5480622822617889,123.25134859863059,2.8951940536499023,7.224844932556152,1746103464.372755
130.272042344524,1,1,1.6539846138550458,1.7564686911651017,128.5155736533589,4.258682012557983,7.488241195678711,1746103464.6361513
122.48287507548437,2,2,1.6510570936795779,1.7740017535552814,120.70887332192909,4.51820969581604,7.747812986373901,1746103464.895723
123.07732405161369,3,3,1.6285709573288596,1.6743265247300292,121.40299752688365,4.774638652801514,8.004185676574707,1746103465.1520958
123.58015729361584,4,4,1.6102002934415387,1.5619666018629752,122.01819069175286,5.03258204460144,8.262090921401978,1746103465.410001
119.35164949870249,5,5,1.5925741085963818,1.5242268940823438,117.82742260462014,5.292949676513672,8.522502899169922,1746103465.670413
122.19781127008454,6,6,1.5789976166956194,1.5061717465386715,120.69163952354587,5.5569748878479,8.787887811660767,1746103465.935798
116.77824600328837,7,7,1.5696730304964057,1.571819211777507,115.20642679151086,5.818545818328857,9.048067331314087,1746103466.1959774
113.34257665870942,8,8,1.5536014135677936,1.4600409993936887,111.88253565931574,6.078794479370117,9.311640501022339,1746103466.4595506
107.68819453822583,9,9,1.543468261339778,1.4367596052727183,106.25143493295312,6.335155487060547,9.564677953720093,1746103466.712588
112.83242607751895,10,10,1.533763077291199,1.3969148957154087,111.43551118180353,6.600353717803955,9.830026626586914,1746103466.9779367
109.17945890783987,11,11,1.5210126868048368,1.3152167316831451,107.86424217615672,6.8647825717926025,10.094372272491455,1746103467.2422824
105.70587662172477,12,12,1.509097593635312,1.3193721782549679,104.3865044434698,7.12718653678894,10.356905221939087,1746103467.5048153
106.47931994125125,13,13,1.4947818707199034,1.2709104842599837,105.20840945699126,7.376131772994995,10.605904340744019,1746103467.7538145
107.9850705146627,14,14,1.484389180346104,1.379866529325449,106.60520398533724,7.644851922988892,10.874473094940186,1746103468.0223832
105.18498418738437,15,15,1.472193574970464,1.313529728547368,103.87145445883701,7.908620119094849,11.138144493103027,1746103468.2860546
102.69833144385593,16,16,1.4618334901749914,1.2864227442413585,101.41190869961457,8.166908740997314,11.39647388458252,1746103468.544384
100.79372959434207,17,17,1.4531543046571689,1.1591232538864082,99.63460634045566,8.41601276397705,11.645619630813599,1746103468.7935297
98.16324590481813,18,18,1.4415676856082054,1.1856257217372754,96.97762018308084,8.660672903060913,11.890164852142334,1746103469.038075
97.31748834919773,19,19,1.4301806844823155,1.073427094096285,96.24406125510144,8.904529571533203,12.133998155593872,1746103469.2819083
93.45965028257586,20,20,1.4174216072845338,1.1707868132510397,92.28886346932482,9.152242660522461,12.381746530532837,1746103469.5296566
90.72844582624845,21,21,1.4056649707890518,1.183296999782908,89.54514882646554,9.397073030471802,12.62685513496399,1746103469.7747653
92.01057892880631,22,22,1.3963867552263107,1.190078512943076,90.82050041586324,9.658182382583618,12.88791561126709,1746103470.0358257
90.45869048630907,23,23,1.3854278362050785,1.2308054132342314,89.22788507307483,9.918539047241211,13.148130655288696,1746103470.2960408
89.21467117231353,24,24,1.3765800405806163,1.1439052268419128,88.07076594547162,10.177348613739014,13.406972408294678,1746103470.5548825
88.07775163669884,25,25,1.365952126570296,1.1229720398608702,86.95477959683797,10.44615650177002,13.675725936889648,1746103470.823636
89.60736081870965,26,26,1.3563612976812578,1.1095080097279895,88.49785280898166,10.704256772994995,13.933717727661133,1746103471.0816278
87.8849153279347,27,27,1.345611784324374,0.9987290161630709,86.88618631177164,10.96553349494934,14.19501280784607,1746103471.342923
84.23034836908468,28,28,1.33502397737832,1.044440963305135,83.18590740577955,11.226637363433838,14.456117868423462,1746103471.604028
82.4360912806496,29,29,1.3237125745407148,1.0765914247057204,81.35949985594388,11.469932556152344,14.699517011642456,1746103471.8474271
81.23951101015618,30,30,1.3139229434048632,1.1609550238094248,80.07855598634676,11.713859558105469,14.943334341049194,1746103472.0912445
77.80040368304199,31,31,1.3055146653617058,0.9812655105583781,76.81913817248362,11.967442274093628,15.196954488754272,1746103472.3448646
76.22890107726097,32,32,1.2952817673124166,0.9148949861224898,75.31400609113848,12.22396206855774,15.453415393829346,1746103472.6013255
81.30472835146342,33,33,1.285757839334123,1.0253039170764742,80.27942443438695,12.483237028121948,15.712805032730103,1746103472.8607152
73.43951627177611,34,34,1.2776138625969866,0.9487338760280596,72.49078239574806,12.726598501205444,15.956127882003784,1746103473.104038
77.02104742060554,35,35,1.2672806111014994,1.0061330969839408,76.0149143236216,12.969973802566528,16.199455976486206,1746103473.347366
74.02527329127905,36,36,1.2569707393265475,0.9902510605609045,73.03502223071814,13.219681978225708,16.449097871780396,1746103473.597008
73.08312477142829,37,37,1.2462249810017876,0.9691282028314089,72.11399656859687,13.462767124176025,16.692280769348145,1746103473.840191
72.30486109874589,38,38,1.2373084328640558,0.90401604026867,71.40084505847722,13.706277847290039,16.93598484992981,1746103474.083895
69.70232504326337,39,39,1.227616731738147,0.8851093077654518,68.81721573549792,13.965527057647705,17.195111513137817,1746103474.3430216
71.27719909893683,40,40,1.218225528369343,0.824580749349762,70.45261834958707,14.209082126617432,17.438759088516235,1746103474.5866692
66.95616647038814,42,41,1.2001911067888784,0.8466934767790161,66.10947299360913,14.693014144897461,17.92258071899414,1746103475.0704908
67.56855996458633,46,42,1.1633180330832678,0.7491557187412127,66.81940424584512,15.676062107086182,18.905572652816772,1746103476.0534828
60.35839949629755,50,43,1.1266807523196032,0.7619386578456313,59.59646083845192,16.632835865020752,19.8623206615448,1746103477.0102308
