_timestamp,loss_interior,loss,step,l2_error,time,_runtime,loss_boundary,_step
1746100331.8892682,123.25134859863059,124.79941088089237,0,1.6412322538312136,1.5035202503204346,4.280437231063843,1.5480622822617889,0
1746100332.1256006,119.84184013758991,121.54502532211549,1,1.5738082872892338,1.9723577499389648,4.516769647598267,1.7031851845255832,1
1746100332.3671842,114.66464749300829,116.29303240661301,2,1.5142711674238296,2.2139177322387695,4.758353233337402,1.6283849136047193,2
1746100332.6087062,112.96517609606757,114.37930748173956,3,1.5236226887546216,2.455348491668701,4.99987530708313,1.414131385671989,3
1746100332.830781,114.613018041286,115.99737691171174,4,1.529906924142627,2.677506685256958,5.221950054168701,1.3843588704257408,4
1746100333.0640962,112.23216175669494,113.6290696810424,5,1.4911308049852938,2.910855770111084,5.455265283584595,1.3969079243474616,5
1746100333.2877176,113.54242168865962,114.903829784214,6,1.4990245183060067,3.1330714225769043,5.678886651992798,1.3614080955543841,6
1746100333.5117888,109.96037499188763,111.37263466749346,7,1.4696506328040504,3.3585455417633057,5.902957916259766,1.4122596756058248,7
1746100333.7342885,105.70814474328728,107.0198137908328,8,1.4778185950983267,3.581111431121826,6.125457525253296,1.3116690475455184,8
1746100333.9573023,101.90160471753694,103.22555767916575,9,1.4569602263350805,3.803955554962158,6.348471403121948,1.3239529616288084,9
1746100334.1832721,106.23687674639983,107.51007746127456,10,1.4557390077396548,4.029938697814941,6.574441194534302,1.273200714874731,10
1746100334.406833,104.2366190057786,105.43754624589724,11,1.441950801995455,4.253594636917114,6.798002004623413,1.2009272401186348,11
1746100334.6305563,100.46041251821235,101.66797105065542,12,1.4378478127552414,4.477341890335083,7.021725416183472,1.2075585324430698,12
1746100334.8545103,102.69592628242545,103.89082385130588,13,1.4290211062796259,4.701247453689575,7.2456793785095215,1.1948975688804413,13
1746100335.0779128,104.26229519386543,105.54223946593903,14,1.422413689329681,4.924576044082642,7.469081878662109,1.2799442720736038,14
1746100335.3013728,102.7421508667882,103.98033424065173,15,1.415943003075367,5.148030519485474,7.692541837692261,1.238183373863542,15
1746100335.5255086,100.2372951573228,101.43134531440393,16,1.4087839097861095,5.372268438339233,7.916677713394165,1.1940501570811175,16
1746100335.7480285,99.43899426517592,100.5344933945251,17,1.4020307744489668,5.594739198684692,8.139197587966919,1.0954991293491836,17
1746100335.9750984,97.50277901134807,98.60723392934695,18,1.395839397058678,5.821771621704102,8.366267442703247,1.1044549179988845,18
1746100336.2070572,97.49656282128936,98.53721353553364,19,1.3895435670897474,6.053748846054077,8.598226308822632,1.040650714244283,19
1746100336.4305096,93.77003786733444,94.91002213425558,20,1.3833283232298754,6.277233123779297,8.821678638458252,1.1399842669211435,20
1746100336.6537156,91.52311790489198,92.65395133292647,21,1.377462033384102,6.500328779220581,9.04488468170166,1.1308334280344856,21
1746100336.8769748,93.60686276028245,94.76045152214265,22,1.3721446549083378,6.72374415397644,9.268143892288208,1.1535887618601939,22
1746100337.1003778,92.72193247693932,93.9192984812284,23,1.3673589507601573,6.947044849395752,9.491546869277954,1.1973660042890748,23
1746100337.3237567,91.98478718402501,93.12241789759324,24,1.3625934628974565,7.170515537261963,9.714925765991211,1.1376307135682262,24
1746100337.549195,91.93745715892105,93.04012260968956,25,1.3575042123507204,7.3958399295806885,9.940364122390747,1.1026654507685134,25
1746100337.772305,93.62974914730653,94.72034091930914,26,1.3522296765903878,7.618992805480957,10.163474082946777,1.0905917720026077,26
1746100337.996008,92.41534066085386,93.43751583310515,27,1.3468284886069695,7.84276270866394,10.387176990509033,1.0221751722512937,27
1746100338.2213655,89.47898459077844,90.54810397022567,28,1.341738048123624,8.068057537078857,10.612534523010254,1.0691193794472242,28
1746100338.446893,88.54713310341498,89.6493554486114,29,1.3365140816216088,8.293643951416016,10.838062047958374,1.1022223451964261,29
1746100338.6838298,87.48436015348489,88.66267223406766,30,1.331178392138567,8.530609846115112,11.07499885559082,1.178312080582766,30
1746100338.921096,84.66857243641797,85.67773127387217,31,1.325911715574707,8.767886400222778,11.312265157699585,1.0091588374541904,31
1746100339.1440063,83.84427364784474,84.80787954866472,32,1.3205808454538404,8.990703582763672,11.535175323486328,0.963605900819978,32
1746100339.3714654,89.60476647538854,90.68579740551223,33,1.3154275215937332,9.218265771865845,11.762634515762329,1.0810309301236876,33
1746100339.594728,81.63130910417108,82.6479305968244,34,1.3100037089541392,9.441437005996704,11.985897064208984,1.0166214926533113,34
1746100339.818335,85.72744537083362,86.8135593318216,35,1.3048526757761463,9.664979934692383,12.209504127502441,1.0861139609879673,35
1746100340.0413375,83.10064353104892,84.16841850401234,36,1.2996600855724227,9.887938261032104,12.432506561279297,1.0677749729634152,36
1746100340.2667625,83.06077541310354,84.08850544441162,37,1.2944743294091636,10.113413333892822,12.657931566238403,1.027730031308081,37
1746100340.490152,82.50742446798101,83.50153226972591,38,1.2893117448662372,10.336904287338257,12.88132095336914,0.9941078017448997,38
1746100340.7136059,80.50384140371027,81.48160377201646,39,1.2842644766504376,10.560262203216553,13.104774951934814,0.9777623683061937,39
1746100340.9371645,83.00148113410276,83.91158603743602,40,1.2792015041857097,10.783833265304565,13.328333616256714,0.9101049033332688,40
1746100341.3797824,78.9512531545337,79.91971215900428,42,1.2690407130884267,11.22651720046997,13.770951509475708,0.9684590044705733,41
1746100342.262826,82.44312687039722,83.33606649662416,46,1.2493489194951,12.109438419342041,14.653995037078857,0.8929396262269313,42
1746100343.142589,75.61194472312953,76.53011660334191,50,1.2300710663160352,12.989217281341553,15.533758163452148,0.9181718802123822,43
