loss,_step,_runtime,l2_error,step,_timestamp,loss_boundary,loss_interior,time
124.79941088089237,0,5.6037819385528564,1.5955035372057322,0,1744698292.614109,1.5480622822617889,123.25134859863059,2.8624141216278076
124.61162139831737,1,7.108757972717285,1.5954964004870085,1,1744698294.119085,1.5983162761704575,123.01330512214692,4.614191770553589
119.25006705315289,2,8.618715047836304,1.5954899502704922,2,1744698295.6290421,1.6723202308994392,117.57774682225345,6.124150514602661
121.57682034357252,3,10.12666392326355,1.5954838852189221,3,1744698297.136991,1.55288318996921,120.02393715360331,7.630897045135498
123.93218163308156,4,11.631091117858887,1.5954780473199857,4,1744698298.6414182,1.5275695612867533,122.4046120717948,9.136579275131226
122.5528307029317,5,13.136327266693115,1.5954721083180599,5,1744698300.1466544,1.5092942678934238,121.04353643503828,10.641757488250732
127.02935604444284,6,14.625956773757935,1.5954661708751319,6,1744698301.6362839,1.5473814969601323,125.48197454748271,12.131363153457642
123.46165787605615,7,16.116562366485596,1.5954601606683456,7,1744698303.1268895,1.5985990243121269,121.86305885174403,13.62203574180603
121.53262214476665,8,17.61526107788086,1.5954539066117168,8,1744698304.6255882,1.5518848303876802,119.98073731437897,15.120723485946655
117.29935701422814,9,19.10634756088257,1.5954472859378965,9,1744698306.1166747,1.5413025710880743,115.75805444314007,16.611830234527588
124.86173956207509,10,20.597663164138794,1.5954401511444025,10,1744698307.6079903,1.5083857975939037,123.35335376448118,18.103084802627563
122.87956297454559,11,22.088876724243164,1.5954327853120367,11,1744698309.0992038,1.452785366297673,121.42677760824792,19.59433627128601
120.88773713052561,12,23.590380430221558,1.5954249895327715,12,1744698310.6007075,1.490667809041698,119.39706932148391,21.095853090286255
123.85330940730725,13,25.094797611236572,1.5954168720025577,13,1744698312.1051247,1.4794942500073898,122.37381515729986,22.60015368461609
127.6794023124441,14,26.602404832839966,1.5954082502887381,14,1744698313.612732,1.6037205089448856,126.07568180349921,24.107874393463135
126.54299413921997,15,28.100947618484497,1.5953993293102295,15,1744698315.1112747,1.5541007760513181,124.98889336316866,25.606334924697876
125.17057714368595,16,29.58988094329834,1.595389646908755,16,1744698316.600208,1.4992370493737535,123.6713400943122,27.095376014709473
123.38350933334783,17,32.551976442337036,1.5953690728486876,18,1744698319.5623035,1.4035142319679863,121.97999510137984,30.057443618774414
121.34949686554799,18,35.504066944122314,1.5953468352412778,20,1744698322.514394,1.499065733874224,119.85043113167377,33.009554386138916
123.2367217363993,19,38.45737338066101,1.5953223635954912,22,1744698325.4677005,1.5292188641947992,121.7075028722045,35.96278762817383
123.157127130194,20,41.40874981880188,1.5952956793398971,24,1744698328.419077,1.5319558796226367,121.62517125057136,38.914162158966064
127.29669669790476,21,44.35967016220093,1.5952673544500295,26,1744698331.3699973,1.497787427125235,125.79890927077953,41.86503338813782
123.43927926580183,22,48.782620668411255,1.5952209572695246,29,1744698335.7929478,1.5448109132829655,121.89446835251887,46.28793001174927
119.99489124401387,23,51.74248933792114,1.5951871584248645,31,1744698338.7528164,1.4492439430366468,118.54564730097722,49.24795341491699
125.622572821665,24,57.6467719078064,1.5951097958974358,35,1744698344.657099,1.5955262130364443,124.02704660862855,55.15191984176636
123.61596818945198,25,62.082053661346436,1.5950412443008297,38,1744698349.0923808,1.5089418709824736,122.10702631846951,59.587421894073486
122.06879681571318,26,68.03657603263855,1.594932884608017,42,1744698355.0469031,1.490228752965488,120.57856806274769,65.54199862480164
131.25556427716936,27,73.99123454093933,1.5948006127147085,46,1744698361.0015616,1.4578716568452137,129.79769262032414,71.49668526649475
124.37239861109313,28,79.9456775188446,1.5946446240756946,50,1744698366.9560046,1.5392776161904222,122.83312099490271,77.45112752914429
124.22207495221365,29,87.34982204437256,1.5944191885334789,55,1744698374.3601491,1.45922151520931,122.76285343700434,84.85471415519714
122.84625708524732,30,96.22519850730896,1.594104866017941,61,1744698383.2355256,1.5207362974118193,121.3255207878355,93.73063611984253
128.51507069985746,31,105.11282062530518,1.5937347554056698,67,1744698392.1231477,1.431813556934508,127.08325714292296,102.61821866035461
126.22640142342424,32,114.05344462394714,1.593295558345125,73,1744698401.0637717,1.4789812474694581,124.74742017595477,111.55799460411072
124.28835722630284,33,126.00098705291748,1.5925822653177657,81,1744698413.0113142,1.4590219646871052,122.82933526161573,123.50592303276062
120.6868379507964,34,137.81436204910278,1.591691913287677,89,1744698424.8246891,1.576907091292147,119.10993085950426,135.31953954696655
123.63036397704558,35,151.0956199169159,1.5904299194639786,98,1744698438.105947,1.548536536875098,122.08182744017047,148.60104751586914
120.97654762924435,36,164.405592918396,1.5888012979620343,107,1744698451.41592,1.5433420926556969,119.43320553658866,161.91063117980957
123.65321465246517,37,180.65031361579895,1.5861797168527931,118,1744698467.6606407,1.4256565904104577,122.22755806205471,178.15542554855347
121.78233951713314,38,198.50102043151855,1.5822631103330163,130,1744698485.5113475,1.53767959357494,120.2446599235582,196.00614595413208
120.60393537959348,39,217.90360188484192,1.5763157250278301,143,1744698504.913929,1.3697462381552112,119.23418914143826,215.40860509872437
120.61805601529609,40,238.79484844207764,1.5670247468068634,157,1744698525.8051755,1.4140043074155881,119.20405170788051,236.29982471466064
116.42258778752988,41,261.1933171749115,1.5522705176180078,172,1744698548.2036443,1.562491646875038,114.86009614065485,258.69826436042786
114.12025607864376,42,287.96315741539,1.5259022236859365,190,1744698574.9734845,1.287292434259676,112.8329636443841,285.4681477546692
109.20172803226862,43,314.64696168899536,1.485934455794355,208,1744698601.6572888,1.3108659988753921,107.89086203339323,312.14931869506836
