_timestamp,loss,_runtime,time,l2_error,loss_boundary,loss_interior,step,_step
1746100260.1057336,124.79941088089237,4.408697605133057,1.6830768585205078,1.5731498659534697,1.5480622822617889,123.25134859863059,0,0
1746100260.4222631,199.86641402987698,4.725227117538452,2.199392318725586,1.5667187078920402,1.5454413270960827,198.3209727027809,1,1
1746100260.735087,189.35107628073726,5.038050889968872,2.512105941772461,1.5611625367419815,1.4934490029128986,187.85762727782435,2,2
1746100261.045877,186.555966793615,5.348840951919556,2.8229987621307373,1.5526336338567095,1.4872636286422898,185.0687031649727,3,3
1746100261.357402,192.33865863897338,5.660366058349609,3.134503126144409,1.5446870949075264,1.4302276588365164,190.90843098013687,4,4
1746100261.6697206,189.67312902451917,5.972684621810913,3.446850538253784,1.5354838394355503,1.4670867716601619,188.20604225285902,5,5
1746100261.9817321,196.3566331038567,6.284696102142334,3.757524251937866,1.5275711956474471,1.3703835674634657,194.98624953639322,6,6
1746100262.2927303,183.3671327507976,6.595694303512573,4.069822072982788,1.5208830779847367,1.4108172976189972,181.9563154531786,7,7
1746100262.6059098,184.33221650981073,6.908873796463013,4.383041143417358,1.5123161380627004,1.381943438592017,182.95027307121873,8,8
1746100262.9167,187.13087368518114,7.219663858413696,4.693771839141846,1.5061321404095285,1.4778356782693887,185.65303800691174,9,9
1746100263.2280385,182.19962420171493,7.531002521514893,5.0050976276397705,1.5006499448495896,1.4237661757431885,180.77585802597173,10,10
1746100263.539461,186.8812598394523,7.8424248695373535,5.316555738449097,1.4948876283774475,1.4224643392309286,185.45879550022136,11,11
1746100263.8503141,175.70964190534266,8.153278112411499,5.6274330615997314,1.4900238537436408,1.2997210962859718,174.4099208090567,12,12
1746100264.1608245,182.94036719847162,8.463788509368896,5.937961101531982,1.48460959413636,1.3047596258146925,181.63560757265694,13,13
1746100264.4742172,188.3202900670683,8.777181148529053,6.251363277435303,1.4789438351177293,1.3168169192264336,187.00347314784187,14,14
1746100264.7873976,180.8543062066493,9.090361595153809,6.564260482788086,1.473428850206695,1.321583982034457,179.53272222461484,15,15
1746100265.0979402,173.6009664487036,9.400904178619385,6.875077486038208,1.4675645936410546,1.2143496460003034,172.3866168027033,16,16
1746100265.4085648,171.91385033238947,9.711528778076172,7.185614824295044,1.4628561096153414,1.3227668047072485,170.59108352768223,17,17
1746100265.7214794,161.0303282846686,10.02444338798523,7.498540163040161,1.4581636114497254,1.1243878233671245,159.90594046130147,18,18
1746100266.0337644,167.36016052311032,10.33672833442688,7.810818672180176,1.4539902911909168,1.2418197523008243,166.1183407708095,19,19
1746100266.3467696,163.90770846708787,10.649733543395996,8.123833179473877,1.448837440286041,1.284604826206942,162.62310364088094,20,20
1746100266.6600971,165.61646977364634,10.963061094284058,8.437137365341187,1.4436718930086725,1.2130324707474442,164.4034373028989,21,21
1746100266.9723122,165.16536926052828,11.275276184082031,8.749336957931519,1.4389824540392973,1.2132892739065544,163.95207998662173,22,22
1746100267.2831035,165.79730426541624,11.58606743812561,9.060106039047241,1.435172493971281,1.2343063090617343,164.5629979563545,23,23
1746100267.5947025,155.96793961125388,11.897666454315186,9.371803998947144,1.4312907425391581,1.3766353610825488,154.59130425017133,24,24
1746100267.905212,159.49254723476818,12.208175897598267,9.682310581207275,1.426796312314966,1.1666661231297808,158.3258811116384,25,25
1746100268.2183766,170.4527161055251,12.521340608596802,9.995516777038574,1.4223933337053452,1.2056805971693925,169.2470355083557,26,26
1746100268.5348558,164.79487423034703,12.837819814682007,10.311901330947876,1.4179435377752367,1.2929960177517172,163.50187821259533,27,27
1746100268.8471372,162.14801790361128,13.15010118484497,10.624153137207031,1.414406804202346,1.163919447994356,160.98409845561693,28,28
1746100269.1640503,164.95887424361044,13.46701431274414,10.941126585006714,1.4102506869185112,1.1885213224676154,163.77035292114283,29,29
1746100269.4838626,159.10171068961273,13.786826610565186,11.260973930358887,1.4067669513142969,1.2640441588483105,157.8376665307644,30,30
1746100269.796944,163.1755400114159,14.099907875061035,11.573960781097412,1.4034083005896039,1.1014154750902188,162.07412453632568,31,31
1746100270.1104083,148.53410443565022,14.413372278213501,11.887310981750488,1.3997144173266332,1.141123981837434,147.39298045381278,32,32
1746100270.4231062,170.58321227324038,14.726070165634155,12.200206995010376,1.3960863619477588,1.2351079944863872,169.348104278754,33,33
1746100270.734877,152.1755374141285,15.037841081619263,12.511929988861084,1.3916567195313478,1.22320042509575,150.95233698903277,34,34
1746100271.047012,157.0836909460025,15.349976062774658,12.824108362197876,1.387025156738638,1.2240723100681403,155.85961863593434,35,35
1746100271.3583438,153.51012799207305,15.66130781173706,13.135452032089233,1.382856621528602,1.206052074127209,152.30407591794585,36,36
1746100271.6767304,148.61524833345115,15.979694366455078,13.453837394714355,1.3790819356399402,1.078251886088301,147.53699644736284,37,37
1746100271.9873013,156.67130132028203,16.290265321731567,13.76444935798645,1.3754368900543477,1.1053344791378659,155.56596684114416,38,38
1746100272.2978294,148.44070695999284,16.60079336166382,14.074988603591919,1.3717035457695903,1.1630811896289224,147.27762577036393,39,39
1746100272.6141677,146.2448526871055,16.917131662368774,14.391273736953735,1.367566938482001,1.0091031147449316,145.23574957236056,40,40
1746100273.237887,141.1878030146493,17.54085087776184,15.015126705169678,1.3596276873046573,1.1447404774474654,140.04306253720182,42,41
1746100274.4718907,149.84224888869232,18.77485466003418,16.248955726623535,1.3430780773444992,1.0925984663905728,148.74965042230176,46,42
1746100275.716248,141.3033257967893,20.019212007522583,17.49321722984314,1.329056300328596,1.0957497376391794,140.2075760591501,50,43
